"","compute_version","gpu_id","gpu_name","l1_cache_used","max_clock_rate","num_of_cores","L2","bus","memory_clock","bandwith","AppName","AppId","Input.Size","Device","Context","Stream","Kernel","Multiprocessor.Activity","Achieved.Occupancy","Executed.IPC","Issued.IPC","Instructions.per.warp","Branch.Efficiency","Warp.Execution.Efficiency","Warp.Non.Predicated.Execution.Efficiency","Instruction.Replay.Overhead","Issue.Slot.Utilization","Shared.Memory.Load.Transactions.Per.Request","Shared.Memory.Store.Transactions.Per.Request","Local.Memory.Load.Transactions.Per.Request","Local.Memory.Store.Transactions.Per.Request","Global.Load.Transactions.Per.Request","Global.Store.Transactions.Per.Request","Shared.Store.Transactions","Shared.Load.Transactions","Local.Load.Transactions","Local.Store.Transactions","Global.Load.Transactions","Global.Store.Transactions","Device.Memory.Read.Transactions","Device.Memory.Write.Transactions","Global.Hit.Rate","Local.Hit.Rate","Requested.Global.Load.Throughput","Requested.Global.Store.Throughput","Global.Load.Throughput","Global.Store.Throughput","Device.Memory.Read.Throughput","Device.Memory.Write.Throughput","Unified.Cache.Throughput","Local.Memory.Load.Throughput","Local.Memory.Store.Throughput","Shared.Memory.Load.Throughput","Shared.Memory.Store.Throughput","Global.Memory.Load.Efficiency","Global.Memory.Store.Efficiency","Unified.Cache.Transactions","Control.Flow.Function.Unit.Utilization","Texture.Function.Unit.Utilization","Load.Store.Function.Unit.Utilization","Double.Precision.Function.Unit.Utilization","Special.Function.Unit.Utilization","Single.Precision.Function.Unit.Utilization","Floating.Point.Operations.Double.Precision.","Floating.Point.Operations.Double.Precision.Add.","Floating.Point.Operations.Double.Precison.FMA.","Floating.Point.Operations.Double.Precision.Mul.","Floating.Point.Operations.Single.Precision.","Floating.Point.Operations.Single.Precision.Add.","Floating.Point.Operations.Single.Precision.FMA.","Floating.Point.Operation.Single.Precision.Mul.","Floating.Point.Operations.Single.Precision.Special.","Instructions.Executed","Instructions.Issued","Device.Memory.Utilization","Unified.Cache.Utilization","Shared.Memory.Efficiency","Shared.Memory.Utilization","FP.Instructions.Single.","FP.Instructions.Double.","Integer.Instructions","Bit.Convert.Instructions","Control.Flow.Instructions","Load.Store.Instructions","Misc.Instructions","Inter.Thread.Instructions","Issue.Slots","Issued.Control.Flow.Instructions","Executed.Control.Flow.Instructions","Issued.Load.Store.Instructions","Executed.Load.Store.Instructions","Atomic.Transactions","Atomic.Transactions.Per.Request","Issue.Stall.Reasons..Instructions.Fetch.","Issue.Stall.Reasons..Execution.Dependency.","Issue.Stall.Reasons..Data.Request.","Issue.Stall.Reasons..Texture.","Issue.Stall.Reasons..Synchronization.","Issue.Stall.Reasons..Other.","Issue.Stall.Reasons..Immediate.constant.","Issue.Stall.Reasons..Pipe.Busy.","Issue.Stall.Reasons..Memory.Throttle.","Issue.Stall.Reasons..Not.Selected.","System.Memory.Read.Transactions","System.Memory.Write.Transactions","L2.Read.Transactions","L2.Write.Transactions","ECC.Transactions","Local.Memory.Overhead","Unified.Cache.Hit.Rate","L2.Hit.Rate..Texture.Reads.","L2.Hit.Rate..Texture.Writes.","L2.Throughput..Texture.Reads.","L2.Throughput..Texture.Writes.","L2.Transactions..Texture.Reads.","L2.Transactions..Texture.Writes.","L2.Throughput..Reads.","L2.Throughput..Writes.","System.Memory.Read.Throughput","System.Memory.Write.Throughput","L2.Cache.Utilization","L2.Throughput..Atomic.requests.","L2.Transactions..Atomic.requests.","System.Memory.Utilization","ECC.Throughput","Eligible.Warps.Per.Active.Cycle","FLOP.Efficiency.Peak.Single.","FLOP.Efficiency.Peak.Double.","Device","Context","Stream","Kernel","tex0_cache_sector_queries","tex1_cache_sector_queries","tex0_cache_sector_misses","tex1_cache_sector_misses","fb_subp0_read_sectors","fb_subp1_read_sectors","fb_subp0_write_sectors","fb_subp1_write_sectors","l2_subp0_write_sector_misses","l2_subp1_write_sector_misses","l2_subp0_read_sector_misses","l2_subp1_read_sector_misses","l2_subp0_read_tex_sector_queries","l2_subp1_read_tex_sector_queries","l2_subp0_write_tex_sector_queries","l2_subp1_write_tex_sector_queries","l2_subp0_read_tex_hit_sectors","l2_subp1_read_tex_hit_sectors","l2_subp0_write_tex_hit_sectors","l2_subp1_write_tex_hit_sectors","l2_subp0_total_read_sector_queries","l2_subp1_total_read_sector_queries","l2_subp0_total_write_sector_queries","l2_subp1_total_write_sector_queries","l2_subp0_read_sysmem_sector_queries","l2_subp1_read_sysmem_sector_queries","l2_subp0_write_sysmem_sector_queries","l2_subp1_write_sysmem_sector_queries","elapsed_cycles_sm","gld_inst_8bit","gld_inst_16bit","gld_inst_32bit","gld_inst_64bit","gld_inst_128bit","gst_inst_8bit","gst_inst_16bit","gst_inst_32bit","gst_inst_64bit","gst_inst_128bit","prof_trigger_00","prof_trigger_01","prof_trigger_02","prof_trigger_03","prof_trigger_04","prof_trigger_05","prof_trigger_06","prof_trigger_07","warps_launched","inst_issued0","inst_issued1","inst_issued2","inst_executed","thread_inst_executed","not_predicated_off_thread_inst_executed","local_store","local_load","shared_load","shared_store","shared_atom_cas","shared_atom","global_atom_cas","atom_count","gred_count","global_load","global_store","divergent_branch","branch","active_cycles","active_warps","active_ctas","sm_cta_launched","shared_ld_bank_conflict","shared_st_bank_conflict","shared_ld_transactions","shared_st_transactions","Start","Duration","Grid.X","Grid.Y","Grid.Z","Block.X","Block.Y","Block.Z","Registers.Per.Thread","Static.SMem","Dynamic.SMem"
"1508",5.2,9,"GTX-980",0,1216,2048,2,256,3505,"224,32","matrix_sum_normal",5,256,"GeForce GTX 980 (0)",1,7,"matSum(float*, float*, float*, int)",59.581529,0.716683,0.605082,0.605865,33,100,100,96.969697,0.023378,14.124576,0,0,0,0,16,16,0,0,0,0,65536,32768,24,399,50,0,58.985413,29.492707,117.970826,117.970826,88.478119,1.436473,58.985413,0,0,0,0,50,25,16384,"Low (1)","Low (2)","Low (1)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,65536,65536,0,0,0,67584,69164,"Low (1)","Low (1)",0,"Idle (0)",65536,0,1376256,0,65536,196608,393216,0,64705,4096,4096,32768,14336,0,0,1.657274,3.819585,55.921253,0.750852,0,1.700272,1.461702,0.066706,33.93714,0.685215,0,5,32935,32774,0,0,33.333333,100,100,117.970826,117.970826,32768,32768,118.572057,117.992427,0,18.432941,"Mid (4)",0,0,"Low (1)",0,0.846691,0.134771,0,"GeForce GTX 980 (0)",1,7,"matSum(float*, float*, float*, int)",49104,49200,32768,32768,0,0,2,12,8,6,0,0,16384,16384,16384,16384,16384,16384,16384,16384,16416,16423,16385,16389,0,0,5,0,189556,0,0,131072,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,366870,60237,4459,67584,2162688,2097152,0,0,0,0,0,0,0,0,0,4096,2048,0,4096,110405,4933664,2671426,1024,0,0,0,0,0.260139,8.447e-06,32,32,1,8,8,1,10,0,0
"1509",5.2,9,"GTX-980",0,1216,2048,2,256,3505,"224,32","matrix_sum_normal",5,512,"GeForce GTX 980 (0)",1,7,"matSum(float*, float*, float*, int)",87.395134,0.840119,0.514092,0.524904,33,100,100,96.969697,0.012828,12.309195,0,0,0,0,16,16,0,0,0,0,262144,131072,45816,32808,50,0,67.35146,33.67573,134.702921,134.702921,47.085182,33.716838,67.35146,0,0,0,0,50,25,65536,"Low (1)","Low (1)","Low (1)","Idle (0)","Idle (0)","Low (1)",0,0,0,0,262144,262144,0,0,0,270336,272486,"Mid (4)","Low (1)",0,"Idle (0)",262144,0,5505024,0,262144,786432,1572864,0,255596,16384,16384,131072,57344,0,0,0.552109,2.638188,65.957869,0.810758,0,1.536433,0.495997,0.070385,27.815365,0.122895,0,5,131239,131078,0,0,33.333333,65.707397,93.75,134.702921,134.702921,131072,131072,134.874547,134.709087,0,5.261832,"Mid (5)",0,0,"Low (1)",0,0.556785,0.172301,0,"GeForce GTX 980 (0)",1,7,"matSum(float*, float*, float*, int)",196608,196608,131072,131072,23300,23824,16412,16394,16394,16416,23512,23276,65536,65536,65536,65536,42004,41884,61440,61440,65632,65607,65541,65537,0,0,1,4,589604,0,0,524288,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,1746257,238679,16877,270336,8650752,8388608,0,0,0,0,0,0,0,0,0,16384,8192,0,16384,511353,27273372,14295689,4096,0,0,0,0,0.240806,3.0526e-05,64,64,1,8,8,1,10,0,0
"1510",5.2,9,"GTX-980",0,1216,2048,2,256,3505,"224,32","matrix_sum_normal",5,768,"GeForce GTX 980 (0)",1,7,"matSum(float*, float*, float*, int)",96.095649,0.80555,0.350648,0.351372,33,100,100,96.969697,0.003554,8.246594,0,0,0,0,16,16,0,0,0,0,589824,294912,139148,75716,50,0,48.246487,24.123243,96.492974,96.492974,45.528172,24.773702,48.246487,0,0,0,0,50,25,147456,"Low (1)","Low (1)","Low (1)","Idle (0)","Idle (0)","Low (1)",0,0,0,0,589824,589824,0,0,0,608256,610418,"Mid (4)","Low (1)",0,"Idle (0)",589824,0,12386304,0,589824,1769472,3538944,0,573044,36864,36864,294912,129024,0,0,0.427015,1.699981,67.035043,1.012712,0,0.829179,0.148394,0.022875,28.77702,0.047781,0,5,294983,294918,0,0,33.333333,52.855428,93.75,96.492974,96.492974,294912,294912,96.516204,96.494937,0,1.675224,"Mid (4)",0,0,"Low (1)",0,0.354785,0.124755,0,"GeForce GTX 980 (0)",1,7,"matSum(float*, float*, float*, int)",442224,442512,295008,294816,72565,69438,37545,37970,37635,37708,72637,72548,147456,147456,147456,147456,77892,77888,138240,138240,156664,156677,147457,147461,0,0,1,4,1912112,0,0,1179648,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,18432,6503907,536440,37710,608256,19464192,18874368,0,0,0,0,0,0,0,0,0,36864,18432,0,36864,1834565,97556320,50907303,9216,0,0,0,0,0.25761,9.1677e-05,96,96,1,8,8,1,10,0,0
"1511",5.2,9,"GTX-980",0,1216,2048,2,256,3505,"224,32","matrix_sum_normal",5,1024,"GeForce GTX 980 (0)",1,7,"matSum(float*, float*, float*, int)",97.059224,0.860684,0.446674,0.390932,33,100,100,96.969697,0.003194,9.177571,0,0,0,0,16,16,0,0,0,0,1048576,524288,257832,137643,50,0,59.893438,29.946719,119.786875,119.786875,58.908252,31.44803,59.893438,0,0,0,0,50,25,262144,"Low (1)","Low (1)","Low (1)","Idle (0)","Idle (0)","Low (1)",0,0,0,0,1048576,1048576,0,0,0,1081344,1083504,"Mid (5)","Low (1)",0,"Idle (0)",1048576,0,22020096,0,1048576,3145728,6291456,0,1017460,65536,65536,524288,229376,0,0,0.490086,2.20841,67.239191,0.760963,0,0.920056,0.11,0.028861,28.189971,0.05246,0,5,524359,524294,0,0,33.333333,50.8461,93.75,119.786875,119.786875,524288,524288,119.803097,119.788246,0,1.169793,"Mid (5)",0,0,"Low (1)",0,0.390686,0.168204,0,"GeForce GTX 980 (0)",1,7,"matSum(float*, float*, float*, int)",786288,786576,524256,524320,128888,128788,68844,65648,68398,68444,128836,128792,262144,262144,262144,262144,133496,133488,245760,245760,302432,302445,262148,262146,0,0,4,1,2697824,0,0,2097152,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,9626175,951394,66035,1081344,34603008,33554432,0,0,0,0,0,0,0,0,0,65536,32768,0,65536,2626074,139738994,66295184,16384,0,0,0,0,0.263003,0.000129499,128,128,1,8,8,1,10,0,0
"1512",5.2,9,"GTX-980",0,1216,2048,2,256,3505,"224,32","matrix_sum_normal",5,1280,"GeForce GTX 980 (0)",1,7,"matSum(float*, float*, float*, int)",98.737442,0.805954,0.282569,0.286961,33,100,100,96.969697,0.001274,6.736615,0,0,0,0,16,16,0,0,0,0,1638400,819200,406917,207365,50,0,40.734369,20.367184,81.468738,81.468738,40.467547,20.622271,40.734369,0,0,0,0,50,25,409600,"Low (1)","Low (1)","Low (1)","Idle (0)","Idle (0)","Low (1)",0,0,0,0,1638400,1638400,0,0,0,1689600,1691753,"Low (3)","Low (1)",0,"Idle (0)",1638400,0,34406400,0,1638400,4915200,9830400,0,1588848,102400,102400,819200,358400,0,0,0.268812,1.397986,67.425122,1.105342,0,0.525585,0.044786,0.018046,29.184478,0.029843,0,5,819271,819206,0,0,33.333333,50.3396,93.749878,81.468738,81.468738,819200,819200,81.475799,81.469334,0,521.399414,"Low (3)",0,0,"Low (1)",0,0.284989,0.107393,0,"GeForce GTX 980 (0)",1,7,"matSum(float*, float*, float*, int)",1228848,1228752,819232,819168,203413,203624,104512,104020,104205,104403,203492,203478,409600,409600,409600,409600,206125,206096,384000,384000,409632,409639,409601,409605,0,0,1,4,5354020,0,0,3276800,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,51200,19365992,1485899,102886,1689600,54067200,52428800,0,0,0,0,0,0,0,0,0,102400,51200,0,102400,5282396,289365026,172902356,25600,0,0,0,0,0.283016,0.000302805,160,160,1,8,8,1,10,0,0
"1513",5.2,9,"GTX-980",0,1216,2048,2,256,3505,"224,32","matrix_sum_normal",5,1536,"GeForce GTX 980 (0)",1,7,"matSum(float*, float*, float*, int)",99.112888,0.826977,0.295175,0.296406,33,100,100,96.969697,0.000873,6.959205,0,0,0,0,16,16,0,0,0,0,2359296,1179648,587928,297925,50,0,42.128217,21.064109,84.256434,84.256434,41.992795,21.279312,42.128217,0,0,0,0,50,25,589824,"Low (1)","Low (1)","Low (1)","Idle (0)","Idle (0)","Low (1)",0,0,0,0,2359296,2359296,0,0,0,2433024,2435147,"Mid (4)","Low (1)",0,"Idle (0)",2359296,0,49545216,0,2359296,7077888,14155776,0,2287191,147456,147456,1179648,516096,0,0,0.292668,1.431411,70.268284,1.082063,0,0.575098,0.13081,0.018134,26.171367,0.030165,0,5,1179815,1179654,0,0,33.333333,50.025431,93.75,84.256434,84.256434,1179648,1179648,84.268362,84.256863,0,374.472656,"Low (3)",0,0,"Low (1)",0,0.294149,0.110053,0,"GeForce GTX 980 (0)",1,7,"matSum(float*, float*, float*, int)",1769520,1769424,1179744,1179552,293961,294039,148539,148672,148697,148722,293933,293897,589824,589824,589824,589824,295864,295854,552960,552960,589920,589895,589825,589829,0,0,5,0,7394480,0,0,4718592,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,73728,27119985,2139238,147955,2433024,77856768,75497472,0,0,0,0,0,0,0,0,0,147456,73728,0,147456,7324183,394675194,208584044,36864,0,0,0,0,0.300173,0.000421872,192,192,1,8,8,1,10,0,0
"1514",5.2,9,"GTX-980",0,1216,2048,2,256,3505,"224,32","matrix_sum_normal",5,1792,"GeForce GTX 980 (0)",1,7,"matSum(float*, float*, float*, int)",99.366827,0.815983,0.290214,0.286989,33,100,100,96.969697,0.001075,6.739097,0,0,0,0,16,16,0,0,0,0,3211264,1605632,801609,403837,50,0,41.253552,20.626776,82.507104,82.507104,41.191529,20.751593,41.253552,0,0,0,0,50,25,802816,"Low (1)","Low (1)","Low (1)","Idle (0)","Idle (0)","Low (1)",0,0,0,0,3211264,3211264,0,0,0,3311616,3313731,"Low (3)","Low (1)",0,"Idle (0)",3211264,0,67436544,0,3211264,9633792,19267584,0,3112529,200704,200704,1605632,702464,0,0,0.268464,1.410807,68.994512,1.165649,0,0.540749,0.046473,0.018307,27.530443,0.024596,0,5,1606376,1605638,0,0,33.333333,50.067388,93.75,82.507104,82.507104,1605632,1605632,82.545335,82.507412,0,269.410156,"Low (3)",0,0,"Low (1)",0,0.282229,0.10793,0,"GeForce GTX 980 (0)",1,7,"matSum(float*, float*, float*, int)",2408544,2408352,1605568,1605696,400701,401106,202235,201512,201884,201962,400861,400844,802816,802816,802816,802816,401971,401894,752639,752639,802912,802887,802820,802818,0,0,4,1,10253596,0,0,6422528,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,100352,37911017,2911323,201200,3311616,105971712,102760448,0,0,0,0,0,0,0,0,0,200704,100352,0,200704,10180698,537928630,300266816,50176,0,0,0,0,0.324278,0.000580937,224,224,1,8,8,1,10,0,0
"1515",5.2,9,"GTX-980",0,1216,2048,2,256,3505,"224,32","matrix_sum_normal",5,2048,"GeForce GTX 980 (0)",1,7,"matSum(float*, float*, float*, int)",99.404735,0.806107,0.319488,0.3368,33,100,100,96.969697,0.000494,7.908986,0,0,0,0,16,16,0,0,0,0,4194304,2097152,1047464,528551,50,0,48.403235,24.201618,96.806471,96.806471,48.351904,24.398402,48.403235,0,0,0,0,50,25,1048576,"Low (1)","Low (1)","Low (1)","Idle (0)","Idle (0)","Low (1)",0,0,0,0,4194304,4194304,0,0,0,4325376,4327491,"Mid (4)","Low (1)",0,"Idle (0)",4194304,0,88080384,0,4194304,12582912,25165824,0,4064850,262144,262144,2097152,917504,0,0,0.305998,1.562872,70.001076,0.807096,0,0.565744,0.01901,0.019741,26.688838,0.029623,0,5,2097319,2097158,0,0,33.333333,50.060797,93.75,96.806471,96.806471,2097152,2097152,96.81418,96.806748,0,242.015625,"Mid (4)",0,0,"Low (1)",0,0.332512,0.120369,0,"GeForce GTX 980 (0)",1,7,"matSum(float*, float*, float*, int)",3145536,3145920,2097088,2097216,523756,523728,264354,264168,263633,263747,523770,523737,1048576,1048576,1048576,1048576,524880,524860,983040,983040,1143860,1143821,1048581,1048577,0,0,5,0,11650116,0,0,8388608,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,38541920,3802209,262644,4325376,138412032,134217728,0,0,0,0,0,0,0,0,0,262144,131072,0,262144,11580321,622402154,287842051,65536,0,0,0,0,0.348178,0.000631623,256,256,1,8,8,1,10,0,0
"1516",5.2,9,"GTX-980",0,1216,2048,2,256,3505,"224,32","matrix_sum_normal",5,2304,"GeForce GTX 980 (0)",1,7,"matSum(float*, float*, float*, int)",99.593382,0.872146,0.287291,0.288792,33,100,100,96.969697,0.000393,6.781427,0,0,0,0,16,16,0,0,0,0,5308416,2654208,1327289,665108,50,0,41.293016,20.646508,82.586032,82.586032,41.298772,20.694923,41.293016,0,0,0,0,50,25,1327104,"Low (1)","Low (1)","Low (1)","Idle (0)","Idle (0)","Low (1)",0,0,0,0,5308416,5308416,0,0,0,5474304,5476457,"Low (3)","Low (1)",0,"Idle (0)",5308416,0,111476736,0,5308416,15925248,31850496,0,5144175,331776,331776,2654208,1161216,0,0,0.269606,1.385342,67.959032,1.163545,0,0.515403,0.013167,0.018172,28.654115,0.021617,0,5,2654279,2654214,0,0,33.333333,50.004898,93.749058,82.586032,82.586032,2654208,2654208,82.588242,82.586219,0,163.132812,"Low (3)",0,0,"Low (1)",0,0.2827,0.108898,0,"GeForce GTX 980 (0)",1,7,"matSum(float*, float*, float*, int)",3981408,3981216,2654208,2654208,663321,741655,332229,332434,332401,332150,663617,663653,1327104,1327104,1327104,1327104,663641,663589,1244149,1244148,1327136,1327143,1327108,1327106,0,0,0,5,16930568,0,0,10616832,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,165888,62641637,4812632,332608,5474304,175177728,169869312,0,0,0,0,0,0,0,0,0,331776,165888,0,331776,16862107,921560184,480389495,82944,0,0,0,0,0.3794,0.00100364,288,288,1,8,8,1,10,0,0
"1517",5.2,9,"GTX-980",0,1216,2048,2,256,3505,"224,32","matrix_sum_normal",5,2560,"GeForce GTX 980 (0)",1,7,"matSum(float*, float*, float*, int)",99.706149,0.865095,0.274129,0.265807,33,100,100,96.969697,0.00052,6.241843,0,0,0,0,16,16,0,0,0,0,6553600,3276800,1749361,823666,50,0,39.169794,19.584897,78.339588,78.339588,41.822577,19.691667,39.169794,0,0,0,0,50,25,1638400,"Low (1)","Low (1)","Low (1)","Idle (0)","Idle (0)","Low (1)",0,0,0,0,6553600,6553600,0,0,0,6758400,6761912,"Low (3)","Low (1)",0,"Idle (0)",6553600,0,137625600,0,6553600,19660800,39321600,0,6351486,409600,409600,3276800,1433600,0,0,0.249402,1.279741,68.157331,1.075165,0,0.478612,0.010075,0.016145,28.710743,0.022786,0,5,3276871,3276806,0,0,33.333333,49.979919,93.744843,78.339588,78.339588,3276800,3276800,78.341285,78.339731,0,125.342773,"Low (3)",0,0,"Low (1)",0,0.261635,0.103531,0,"GeForce GTX 980 (0)",1,7,"matSum(float*, float*, float*, int)",4915152,4915248,3276736,3276864,929675,930179,411771,411615,411839,411751,929798,929755,1638400,1638400,1638400,1638400,818869,818872,1535898,1535894,1638432,1638439,1638400,1638406,0,0,4,1,22622328,0,0,13107200,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,204800,83522877,5940340,410109,6758400,216268800,209715200,0,0,0,0,0,0,0,0,0,409600,204800,0,409600,22551637,1165972832,652358703,102400,0,0,0,0,0.413461,0.001246767,320,320,1,8,8,1,10,0,0
