128,"Tesla K20c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,0,0,6436,8282,1905,1850,1898,1906,0,0,0,0,2048,2048,2048,2048,278528,278528,278528,278528,278528,278528,278528,278528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,278591,278551,278548,278553,2053,2048,2053,2049,2417181,0,0,4194304,0,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,16384,734208,1330239,239758,23494656,0,0,0,0,131072,512,2329544,89219196,64,23445504,0,0,0,0,0,0,1114112,8192,0,0,983040,7680,0,0,0,0,1115063,8192,0,0
256,"Tesla K20c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,7951,5095,16977,29557,7872,7857,7831,7715,1100,1052,1112,1066,8192,8192,8192,8192,2228224,2228224,2228224,2228224,2227080,2227192,2227184,2227164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2228247,2228247,2228287,2228244,8197,8196,8197,8192,20657613,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048,65536,5820416,10569831,1912506,186253312,0,0,0,0,1048576,2048,18456252,1053098502,256,186056704,0,0,0,0,0,0,8912896,32768,0,0,7864320,30720,0,0,0,0,8922253,32768,0,0
512,"Tesla K20c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,132239,130475,35430,36034,9053,9219,9290,9232,29941,35370,31047,34061,32768,32768,32768,32768,17825792,17825792,17825792,17825792,17795268,17791355,17795704,17791686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,17825815,17826064,17825812,17825815,33212,33295,33246,33302,147843150,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,262144,46350336,84232872,15257555,1483210752,0,0,0,0,8388608,8192,147087267,8997008698,1024,1482424320,0,0,0,0,0,0,71303168,131072,0,0,62914560,122880,0,0,0,0,71371452,131072,0,0
1024,"Tesla K20c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,7666109,7810731,170879,172978,45887,46598,46433,45498,1981625,1910813,1969055,1974171,131072,131072,131072,131072,142606336,142606336,142606336,142606336,140642710,140633082,140645627,140655919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,142608912,142607476,142607345,142607512,138737,138000,138489,138358,1182014598,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,1048576,369950720,674986683,121876467,11838423040,0,0,0,0,67108864,32768,1177628471,72892267104,4096,11835277312,0,0,0,0,0,0,570425344,524288,0,0,503316480,491520,0,0,0,0,573271554,524288,0,0
2048,"Tesla K20c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,163380907,170219367,1367415,1376387,425546,423035,430376,427736,40277443,40803162,42866219,41675043,524288,524288,524288,524288,1140850688,1140850688,1140850688,1140850688,1099339198,1098187023,1099263524,1097525149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1140861964,1140861836,1140862192,1140861324,881667,884838,875572,887102,9494070235,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,4194304,2956197888,5439873122,973168865,94598332416,0,0,0,0,536870912,131072,9473099514,555913563614,16384,94585749504,0,0,0,0,0,0,4563402752,2097152,0,0,4026531840,1966080,0,0,0,0,4631939576,2097152,0,0
4096,"Tesla K20c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,1329524509,1248440909,5077589,4936182,1590396,1610183,1567701,1635195,341969557,347774680,330424570,355661994,2097152,2097152,2097152,2097152,9126805504,9126805504,9126805504,9126805504,8805768406,8778016655,8763161167,8794923916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9126902391,9126901671,9126898944,9126896989,3448726,3440119,3384079,3307807,"<OVERFLOW>",0,0,137438953472,0,0,0,0,16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524288,16777216,23635951616,43527250070,7788872515,"<OVERFLOW>",0,0,0,0,4294967296,524288,"<OVERFLOW>","<OVERFLOW>",65536,"<OVERFLOW>",0,0,0,0,0,0,36507222016,8388608,0,0,32212254720,7864320,0,0,0,0,37027609190,8388608,0,0
8192,"Tesla K20c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,14377350786,14305204415,21686646,21666751,6743576,6722019,6755227,6764850,3567615453,3546222962,3564508089,3601653611,8388608,8388608,8388608,8388608,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",14186865,14260056,14180123,14092281,"<OVERFLOW>",0,0,"<OVERFLOW>",0,0,0,0,67108864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2097152,67108864,189033086976,"<OVERFLOW>",62317447769,"<OVERFLOW>",0,0,0,0,34359738368,2097152,"<OVERFLOW>","<OVERFLOW>",262144,"<OVERFLOW>",0,0,0,0,0,0,"<OVERFLOW>",33554432,0,0,"<OVERFLOW>",31457280,0,0,0,0,"<OVERFLOW>",33554432,0,0
