256,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,4103,4096,6977,6978,3497,3520,3508,3548,2052,2051,2048,2048,4096,4096,4096,4096,524288,524288,524288,524288,522240,520516,522240,522228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524308,524340,524304,524304,4100,4097,4097,4100,9517864,0,0,8388608,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,4096,65536,6684672,8277419,299264,1310720,524288,0,0,524288,4096,9461279,150187286,4096,266240,0,0,0,0,0,0,0,2097152,16384,262144,0,1572864,12288,0,0,1572864,524288,2097152,16384,0,0
512,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,2113507,2113508,16796,16782,8389,8401,8388,8388,1056752,1056755,1056744,1056752,16384,16384,16384,16384,4194304,4194304,4194304,4194304,3137540,3137540,3137544,3137536,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4194363,4194320,4194324,4194322,16384,16384,16388,16388,87759372,0,0,67108864,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,16384,262144,52953088,67402237,2244864,10485760,4194304,0,0,4194304,16384,87710568,1396936446,16384,2113536,0,0,0,0,0,0,0,16777216,65536,2097152,0,12582912,49152,0,0,12582912,4194304,16777217,65536,0,0
768,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,7144127,7148772,37853,37893,18950,18957,18927,18900,3572160,3574327,3562544,3568544,36864,36864,36864,36864,14155776,14155776,14155776,14155776,10590808,10588640,10581084,10589984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14155796,14155794,14155792,14155792,36868,36868,36864,36864,296422188,0,0,226492416,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,0,36864,589824,178126848,227176505,7409920,35389440,14155776,0,0,14155776,36864,296333842,4733584052,36864,7114752,0,0,0,0,0,0,0,56623104,147456,7077888,0,42467328,110592,0,0,42467328,14155776,56623104,147456,0,0
1024,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,16858431,16864084,67334,67407,33693,33620,33657,33649,8429252,8432019,8429752,8430868,65536,65536,65536,65536,33554432,33554432,33554432,33554432,25123104,25125304,25126340,25121864,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33554452,33554448,33554450,33554450,65536,65537,65536,65537,702638796,0,0,536870912,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,0,65536,1048576,421527552,538197952,17367296,83886080,33554432,0,0,33554432,65536,702551202,11222913150,65536,16842752,0,0,0,0,0,0,0,134217728,262144,16777216,0,100663296,196608,0,0,100663296,33554432,134217728,262144,0,0
1280,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,33032443,32995652,105005,105047,52497,52538,52564,52549,16516364,16498079,16539576,16522712,102400,102400,102400,102400,65536000,65536000,65536000,65536000,49015984,49037644,49011248,49040816,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,65536016,65536018,65536020,65536016,102401,102401,102404,102400,1376814034,0,0,1048576000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,0,102400,1638400,822476800,1050677129,33689856,163840000,65536000,0,0,65536000,102400,1376659560,22004829090,102400,32870400,0,0,0,0,0,0,0,262144000,409600,32768000,0,196608000,307200,0,0,196608000,65536000,262144000,409600,0,0
1536,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,57389579,57511176,151947,151901,75914,75957,76020,75940,28694468,28755191,28698956,28677476,147456,147456,147456,147456,113246208,113246208,113246208,113246208,84615300,84548788,84587160,84540792,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,113246228,113246226,113246226,113246224,147456,147460,147457,147456,2378753520,0,0,1811939328,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,0,147456,2359296,1420296192,1814878623,57950464,283115520,113246208,0,0,113246208,147456,2378518569,38027229540,147456,56770560,0,0,0,0,0,0,0,452984832,589824,56623104,0,339738624,442368,0,0,339738624,113246208,452984832,589824,0,0
1792,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,90751863,90762728,205735,205714,102861,102836,102914,102900,45374564,45382595,45404108,45404628,200704,200704,200704,200704,179830784,179830784,179830784,179830784,134470196,134390164,134414796,134435476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179830834,179830800,179830800,179830800,200708,200704,200705,200705,3793204768,0,0,2877292544,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,0,200704,3211264,2254307328,2882005251,91721984,449576960,179830784,0,0,179830784,200704,3793107064,60652815658,200704,90116096,0,0,0,0,0,0,0,719323136,802816,89915392,0,539492352,602112,0,0,539492352,179830784,719323137,802816,0,0
2048,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,136523059,136581984,268637,268918,134301,134385,134452,134309,68266608,68287019,68242512,68151832,262144,262144,262144,262144,268435456,268435456,268435456,268435456,200268396,200225316,200241144,200255860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,268435472,268435472,268435506,268435472,262144,262148,262145,262144,5648556616,0,0,4294967296,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,0,262144,4194304,3363831808,4301037508,136577280,671088640,268435456,0,0,268435456,262144,5648384091,90328691250,262144,134479872,0,0,0,0,0,0,0,1073741824,1048576,134217728,0,805306368,786432,0,0,805306368,268435456,1073741824,1048576,0,0
2304,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,195590559,195510744,339786,339625,169857,169873,170073,169784,97794992,97755115,98089808,97800464,331776,331776,331776,331776,382205952,382205952,382205952,382205952,284401220,284496372,284243708,284487068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,382205970,382205968,382205970,382205968,331780,331777,331776,331780,8060623632,0,0,6115295232,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,0,331776,5308416,4788191232,6122109534,194089216,955514880,382205952,0,0,382205952,331776,8060280772,128912354940,331776,191434752,0,0,0,0,0,0,0,1528823808,1327104,191102976,0,1146617856,995328,0,0,1146617856,382205952,1528823808,1327104,0,0
2560,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,269837919,269970780,419116,419011,209598,209516,209641,209609,134918480,134983891,134887988,134940340,409600,409600,409600,409600,524288000,524288000,524288000,524288000,389360592,389347164,389274476,389365836,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,524288050,524288048,524288020,524288016,409600,409604,409600,409600,11065334454,0,0,8388608000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,0,409600,6553600,6566707200,8396035827,265830656,1310720000,524288000,0,0,524288000,409600,11065019353,176975428012,409600,262553600,0,0,0,0,0,0,0,2097152000,1638400,262144000,0,1572864000,1228800,0,0,1572864000,524288000,2097152000,1638400,0,0
2816,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,361650331,361578140,507061,507007,253519,253374,253535,253505,180802360,180807255,180700276,180755928,495616,495616,495616,495616,697827328,697827328,697827328,697827328,517041340,517001792,517025864,517010444,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,697827376,697827346,697827344,697827346,495617,495617,495617,495616,14735992848,0,0,11165237248,0,0,0,0,7929856,0,0,0,0,0,0,0,0,0,0,0,495616,7929856,8738701312,11174039489,353374464,1744568320,697827328,0,0,697827328,495616,14735717376,235696299696,495616,349409280,0,0,0,0,0,0,0,2791309312,1982464,348913664,0,2093481984,1486848,0,0,2093481984,697827328,2791309312,1982464,0,0
3072,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,471140403,470710292,606123,606179,303093,302807,303216,302807,235567380,235363879,235300572,235328216,589824,589824,589824,589824,905969664,905969664,905969664,905969664,670742012,670504140,670990480,670836620,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,905969680,905969680,905969680,905969684,589824,589825,589824,589828,19114033904,0,0,14495514624,0,0,0,0,9437184,0,0,0,0,0,0,0,0,0,0,0,589824,9437184,11343495168,14503692128,458293504,2264924160,905969664,0,0,905969664,589824,19113918378,"<OVERFLOW>",589824,453574656,0,0,0,0,0,0,0,3623878656,2359296,452984832,0,2717908992,1769472,0,0,2717908992,905969664,3623878656,2359296,0,0
3328,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,604263051,604060572,707328,707384,353691,353683,353748,353689,302111336,302050315,302014008,302016080,692224,692224,692224,692224,1151860736,1151860736,1151860736,1151860736,849864300,849877792,850071116,849918932,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1151860857,1151860754,1151860784,1151860752,692225,692228,692228,692225,24363014972,0,0,18429771776,0,0,0,0,11075584,0,0,0,0,0,0,0,0,0,0,0,692224,11075584,14420410368,18437917114,582160640,2879651840,1151860736,0,0,1151860736,692224,24362766038,"<OVERFLOW>",692224,576622592,0,0,0,0,0,0,0,4607442944,2768896,575930368,0,3455582208,2076672,0,0,3455582208,1151860736,4607442944,2768896,0,0
3584,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,759319731,758331632,821656,821819,410905,410948,410923,410854,379668508,379160383,379240800,379314832,802816,802816,802816,802816,1438646272,1438646272,1438646272,1438646272,1059287716,1059728856,1059397700,1059483752,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,1438646292,1438646292,1438646292,1438646288,802821,802816,802816,802817,30376500980,0,0,23018340352,0,0,0,0,12845056,0,0,0,0,0,0,0,0,0,0,0,802816,12845056,18008768512,23025647678,726548736,3596615680,1438646272,0,0,1438646272,802816,30376371171,"<OVERFLOW>",802816,720125952,0,0,0,0,0,0,0,5754585088,3211264,719323136,0,4315938816,2408448,0,0,4315938816,1438646272,5754585097,3211264,0,0
