256,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.443861,0.706451,0.247852,28.170004,225.360035,99.443861,0.706451,0.327958,0.039216,0.237132,0.000000,0.000000,0.000000,225.662642,385.824523,450.720070,56.340009,0.000000,31.250000,50.000000,50.000000,99.594116,0.000000,56.340009,0.000000,0.000189,0.938137,1632.000000,22.662757,0.000000,0.000000,1.200000,1.000000,4.000000,4.000000,0,0,1572864,524288,2097152,16384,0,13,0,8203,14025,2097226,16398,0.000000,0.000000,338.040053,112.680018,56.341997,451.105206,0.000000,366.209961,794624,540672,4292162,2637824,33554432,0,0,16777216,0,0,0,0,0,"Low (3)","Low (2)","Idle (0)","Low (1)","Low (1)","Mid (5)","Low (2)","Low (1)","Idle (0)",6684672,8876967,8577703,0.000000,16777216,0,38797312,0,4194304,37814272,9240576,0,0.000000,0,0.000000,0,0.000000,2097152,16388,0,450.830109,0,0.918329,0.000000,1.175943,0.000000
512,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.926179,0.602934,0.248908,24.395035,97.580139,99.926179,0.602934,0.357663,0.039604,0.238552,0.000000,0.000000,0.000000,12.292610,99.905887,195.160278,48.790070,0.000000,31.250000,50.000000,50.000000,74.805069,0.000000,48.790070,0.000000,0.002137,0.818581,3232.000000,19.825515,0.000000,0.000000,1.200000,1.000000,4.000000,4.000000,0,0,12582912,4194304,16777216,65536,0,2,0,4227003,33549,16777388,65545,0.000000,0.000000,292.740418,97.580139,48.790570,195.187079,0.000000,6.098633,6324224,4259840,35732271,21037056,268435456,0,0,134217728,0,0,0,0,0,"Low (3)","Low (1)","Idle (0)","Low (1)","Low (1)","Mid (5)","Low (2)","Low (1)","Idle (0)",52953088,71892440,69647576,0.000000,134217728,0,306184192,0,33554432,302252032,70516736,0,0.000000,0,0.000000,0,0.000000,16777216,65896,0,196.232326,0,0.795365,0.000000,0.977491,0.000000
768,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.967626,0.601172,0.249599,24.381863,65.018301,99.967626,0.601172,0.358504,0.039735,0.239031,0.000000,0.000000,0.000000,12.299917,66.699140,130.036603,48.763726,0.000000,31.250000,50.000000,50.000000,74.788751,0.000000,48.763726,0.000000,0.000099,0.816695,4832.000000,19.792171,0.000000,0.000000,1.200000,1.000000,4.000000,4.000000,0,0,42467328,14155776,56623104,147456,0,4,0,14282327,75634,56623238,147617,0.000000,0.000000,292.582357,97.527452,48.763842,130.178583,0.000000,3.611328,21307392,14303232,120525459,70926336,905969664,0,0,452984832,0,0,0,0,0,"Low (3)","Low (1)","Idle (0)","Low (1)","Low (1)","Mid (5)","Low (2)","Low (1)","Idle (0)",178126848,241986068,234576148,0.000000,452984832,0,1028653056,0,113246208,1019805696,234160128,0,0.000000,0,0.000000,0,0.000000,56623104,147512,0,130.085987,0,0.795997,0.000000,0.975117,0.000000
1024,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.990957,0.600171,0.249631,24.411804,48.823607,99.990957,0.600171,0.359178,0.039801,0.239272,0.000000,0.000000,0.000000,12.270263,50.109459,97.647216,48.823608,0.000000,31.250000,50.000000,50.000000,74.880767,0.000000,48.823608,0.000000,0.000018,0.815740,6432.000000,19.775306,0.000000,0.000000,1.200000,1.000000,4.000000,4.000000,0,0,100663296,33554432,134217728,262144,0,5,0,33731363,134524,134217862,262149,0.000000,0.000000,292.941648,97.647216,48.823657,97.649078,0.000000,1.906250,50462720,33816576,285680935,168034304,2147483648,0,0,1073741824,0,0,0,0,0,"Low (3)","Low (1)","Idle (0)","Low (1)","Low (1)","Mid (5)","Low (2)","Low (1)","Idle (0)",421527552,572931045,555563749,0.000000,1073741824,0,2432696320,0,268435456,2416967680,550502400,0,0.000000,0,0.000000,0,0.000000,134217728,262168,0,97.656156,0,0.796175,0.000000,0.976332,0.000000
1280,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.993172,0.596799,0.249762,24.301743,38.882789,99.993172,0.596799,0.359475,0.039841,0.239417,0.000000,0.000000,0.000000,12.231815,39.876503,77.765578,48.603487,0.000000,31.250000,50.000000,50.000000,74.823117,0.000000,48.603487,0.000000,0.000000,0.811333,8032.000000,19.672183,0.000000,0.000000,1.200000,1.000000,4.000000,4.000000,0,0,196608000,65536000,262144000,409600,0,2,0,65972567,210034,262144106,409605,0.000000,0.000000,291.620922,97.206974,48.603507,77.766528,0.000000,398.000000,98508800,65945600,557838805,328089600,4194304000,0,0,2097152000,0,0,0,0,0,"Low (3)","Low (1)","Idle (0)","Low (1)","Low (1)","Mid (5)","Low (2)","Low (1)","Idle (0)",822476800,1118136440,1084446584,0.000000,2097152000,0,4744806400,0,524288000,4720230400,1069875200,0,0.000000,0,0.000000,0,0.000000,262144000,409600,0,77.765578,0,0.792508,0.000000,0.970406,0.000000
1536,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.991491,0.597021,0.249804,24.322194,32.429592,99.991491,0.597021,0.359476,0.039867,0.239514,0.000000,0.000000,0.000000,12.298694,33.382756,64.859184,48.644388,0.000000,31.250000,50.000000,50.000000,74.678757,0.000000,48.644388,0.000000,0.000000,0.811635,9632.000000,19.681901,0.000000,0.000000,1.200000,1.000000,4.000000,4.000000,0,0,339738624,113246208,452984832,589824,0,3,0,114527531,303580,452984968,589833,0.000000,0.000000,291.866330,97.288777,48.644403,64.860173,0.000000,345.000000,170164224,113836032,963550160,566820864,7247757312,0,0,3623878656,0,0,0,0,0,"Low (3)","Low (1)","Idle (0)","Low (1)","Low (1)","Mid (5)","Low (2)","Low (1)","Idle (0)",1420296192,1930858696,1872908232,0.000000,3623878656,0,8191475712,0,905969664,8156086272,1842610176,0,0.000000,0,0.000000,0,0.000000,452984832,589824,0,64.859184,0,0.793316,0.000000,0.970825,0.000000
1792,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.992564,0.594516,0.249854,24.221467,27.681677,99.992564,0.594516,0.359795,0.039886,0.239583,0.000000,0.000000,0.000000,12.230916,28.374601,55.363354,48.442935,0.000000,31.250000,50.000000,50.000000,74.748327,0.000000,48.442935,0.000000,0.000000,0.808420,11232.000000,19.605761,0.000000,0.000000,1.200000,1.000000,4.000000,4.000000,0,0,539492352,179830784,719323136,802816,0,8,0,181615355,411456,719323302,802816,0.000000,0.000000,290.657608,96.885869,48.442946,55.363354,0.000000,578.000000,270147584,180633600,1530691182,899956736,11509170176,0,0,5754585088,0,0,0,0,0,"Low (3)","Low (1)","Idle (0)","Low (1)","Low (1)","Mid (5)","Low (2)","Low (1)","Idle (0)",2254307328,3065396246,2973674262,0.000000,5754585088,0,12999196672,0,1438646272,12951027712,2919038976,0,0.000000,0,0.000000,0,0.000000,719323136,802816,0,55.363354,0,0.790371,0.000000,0.967766,0.000000
2048,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.996925,0.592467,0.249873,24.347981,24.347980,99.996925,0.592467,0.359761,0.039900,0.239635,0.000000,0.000000,0.000000,12.374406,25.014535,48.695961,48.695962,0.000000,31.250000,50.000000,50.000000,74.584052,0.000000,48.695962,0.000000,0.000000,0.805613,12832.000000,19.538941,0.000000,0.000000,1.200000,1.000000,4.000000,4.000000,0,0,805306368,268435456,1073741824,1048576,0,4,0,272854599,538641,1073741896,1048585,0.000000,0.000000,292.175771,97.391924,48.695965,48.696380,0.000000,194.000000,403177472,269484032,2284142260,1343225856,17179869184,0,0,8589934592,0,0,0,0,0,"Low (3)","Low (1)","Idle (0)","Low (1)","Low (1)","Mid (5)","Low (2)","Low (1)","Idle (0)",3363831808,4574006090,4437428810,0.000000,8589934592,0,19394461696,0,2147483648,19331547136,4349493248,0,0.000000,0,0.000000,0,0.000000,1073741824,1048576,0,48.695961,0,0.787961,0.000000,0.965960,0.000000
2304,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.998508,0.593830,0.249895,24.240167,21.546815,99.998508,0.593830,0.359658,0.039911,0.239676,0.000000,0.000000,0.000000,12.390414,22.057664,43.093631,48.480335,0.000000,31.250000,50.000000,50.000000,74.421755,0.000000,48.480335,0.000000,0.000000,0.807406,14432.000000,19.583366,0.000000,0.000000,1.200000,1.000000,4.000000,4.000000,0,0,1146617856,382205952,1528823808,1327104,0,5,0,390730791,679284,1528823912,1327105,0.000000,0.000000,290.882009,96.960670,48.480338,43.093663,0.000000,170.000000,573972480,383533056,3251103893,1912356864,24461180928,0,0,12230590464,0,0,0,0,0,"Low (3)","Low (1)","Idle (0)","Low (1)","Low (1)","Mid (5)","Low (2)","Low (1)","Idle (0)",4788191232,6510301217,6316212001,0.000000,12230590464,0,27603763200,0,3057647616,27524136960,6184304640,0,0.000000,0,0.000000,0,0.000000,1528823808,1327104,0,43.093631,0,0.790006,0.000000,0.966445,0.000000
2560,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.998074,0.593323,0.249909,24.246434,19.397147,99.998074,0.593323,0.359570,0.039920,0.239708,0.000000,0.000000,0.000000,12.480810,19.852928,38.794294,48.492869,0.000000,31.250000,50.000000,50.000000,74.259764,0.000000,48.492869,0.000000,0.000000,0.806665,16032.000000,19.566147,0.000000,0.000000,1.200000,1.000000,4.000000,4.000000,0,0,1572864000,524288000,2097152000,1638400,0,1,0,539752683,838449,2097152100,1638408,0.000000,0.000000,290.957214,96.985738,48.492871,38.794484,0.000000,24.000000,787251200,525926400,4458651648,2623078400,33554432000,0,0,16777216000,0,0,0,0,0,"Low (3)","Low (1)","Idle (0)","Low (1)","Low (1)","Mid (5)","Low (2)","Low (1)","Idle (0)",6566707200,8927897917,8662067261,0.000000,16777216000,0,37853593600,0,4194304000,37755289600,8473804800,0,0.000000,0,0.000000,0,0.000000,2097152000,1638400,0,38.794294,0,0.789504,0.000000,0.965661,0.000000
