3168,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.969433,1.221483,0.843072,35.687581,138.424556,99.969433,1.221483,0.155296,0.085382,0.042853,0.000000,0.000000,0.000000,22.637872,138.424556,138.424556,35.687581,0.000000,65.784476,100.000000,100.000000,35.634510,0.000000,35.687581,0.000000,0.000000,1.411174,9276.000000,31.773313,0.000000,0.000000,1.200000,1.001444,2.500000,2.500000,0,0,1490379264,82918371,206997120,784080,0,1,0,210088739,1254528,331195462,1254533,0.000000,0.000000,1284.752915,71.478194,35.687589,138.425108,0.000000,115.000000,126128209,84053376,1613197042,1656871233,63589515264,0,0,31794757632,0,0,0,0,0,"High (7)","Low (1)","Idle (0)","Low (2)","Low (1)","High (7)","Low (2)","Low (1)","Idle (0)",2909250432,3361046120,3027027176,0.000000,31794757632,0,12083613696,0,1324781568,45052609536,2820178944,0,0.000000,0,0.000000,0,0.000000,331195392,1254528,0,138.424556,0,6.950686,0.000000,8.650152,0.000000
3456,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.977767,1.218328,0.843125,35.798602,127.283917,99.977767,1.218328,0.156281,0.085409,0.042853,0.000000,0.000000,0.000000,23.141225,127.283917,127.283917,35.798602,0.000000,65.784663,100.000000,100.000000,37.693287,0.000000,35.798602,0.000000,0.000000,1.408729,10116.000000,31.722563,0.000000,0.000000,1.200000,1.001389,2.500000,2.500000,0,0,1934917632,107644777,268738560,933120,0,10,0,277952285,1492992,429981808,1492998,0.000000,0.000000,1288.749670,71.696680,35.798611,127.284429,0.000000,893.000000,163540833,108988416,2095186259,2150962284,82556485632,0,0,41278242816,0,0,0,0,0,"High (7)","Low (1)","Idle (0)","Low (2)","Low (1)","High (7)","Low (2)","Low (1)","Idle (0)",3775776768,4365857196,3932515404,0.000000,41278242816,0,15670444032,0,1719926784,58489454592,3642900480,0,0.000000,0,0.000000,0,0.000000,429981696,1492992,0,127.283917,0,6.935555,0.000000,8.611254,0.000000
3744,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.987613,1.218807,0.843209,35.848757,117.657459,99.987613,1.218807,0.156416,0.085433,0.042853,0.000000,0.000000,0.000000,23.664435,117.657459,117.657459,35.848757,0.000000,65.783442,100.000000,100.000000,35.115585,0.000000,35.848757,0.000000,0.000000,1.409447,10956.000000,31.740285,0.000000,0.000000,1.200000,1.001742,2.500000,2.500000,0,0,2460077568,136909067,341677440,1095120,0,6,0,360876261,1752192,546683974,1752202,0.000000,0.000000,1290.555258,71.822417,35.848762,117.658131,0.000000,422.000000,207720331,138423168,2662550021,2734711711,104963309568,0,0,52481654784,0,0,0,0,0,"High (7)","Low (1)","Idle (0)","Low (2)","Low (1)","High (7)","Low (2)","Low (1)","Idle (0)",4799253888,5549933036,4999305836,0.000000,52481654784,0,19904901120,0,2186735616,74363028480,4611769344,0,0.000000,0,0.000000,0,0.000000,546683904,1752192,0,117.657459,0,6.940865,0.000000,8.636657,0.000000
4032,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.979623,1.217348,0.843259,35.800235,109.105476,99.979623,1.217348,0.156822,0.085453,0.042854,0.000000,0.000000,0.000000,23.595258,109.105476,109.105476,35.800235,0.000000,65.783838,100.000000,100.000000,34.638520,0.000000,35.800235,0.000000,0.000000,1.408255,11796.000000,31.715634,0.000000,0.000000,1.200000,1.001628,2.500000,2.500000,0,0,3072577536,170976596,426746880,1270080,0,4,0,450017285,2032128,682795076,2032133,0.000000,0.000000,1288.808444,71.717012,35.800238,109.105744,0.000000,225.000000,259198499,172730880,3327368906,3415473914,131096641536,0,0,65548320768,0,0,0,0,0,"High (7)","Low (1)","Idle (0)","Low (2)","Low (1)","High (7)","Low (2)","Low (1)","Idle (0)",5992745472,6932541987,6245173827,0.000000,65548320768,0,24840732672,0,2731180032,92876378112,5738729472,0,0.000000,0,0.000000,0,0.000000,682795008,2032128,0,109.105476,0,6.933631,0.000000,8.623990,0.000000
4320,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.985761,1.219304,0.843299,35.852921,101.981643,99.985761,1.219304,0.156323,0.085470,0.042854,0.000000,0.000000,0.000000,23.950127,101.981643,101.981643,35.852921,0.000000,65.783043,100.000000,100.000000,33.409793,0.000000,35.852921,0.000000,0.000000,1.409910,12636.000000,31.752236,0.000000,0.000000,1.200000,1.001857,2.500000,2.500000,0,0,3779136000,210341972,524880000,1458000,0,1,0,561000542,2332800,839808118,2332804,0.000000,0.000000,1290.705168,71.839032,35.852926,101.981817,0.000000,45.000000,318567435,212284800,4091308465,4200837211,161243136000,0,0,80621568000,0,0,0,0,0,"High (7)","Low (1)","Idle (0)","Low (2)","Low (1)","High (7)","Low (2)","Low (1)","Idle (0)",7369315200,8521312129,7676254465,0.000000,80621568000,0,30531686400,0,3359232000,114232550400,7035724800,0,0.000000,0,0.000000,0,0.000000,839808000,2332800,0,101.981643,0,6.946613,0.000000,8.648039,0.000000
4608,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.988024,1.213299,0.843334,35.737066,95.298842,99.988024,1.213299,0.158089,0.085485,0.042854,0.000000,0.000000,0.000000,23.651670,95.298842,95.298842,35.737066,0.000000,65.785126,100.000000,100.000000,33.191840,0.000000,35.737066,0.000000,0.000000,1.405109,13476.000000,31.650156,0.000000,0.000000,1.200000,1.001256,2.500000,2.500000,0,0,4586471424,255123918,637009920,1658880,0,2,0,674542142,2654208,1019216084,2654209,0.000000,0.000000,1286.534381,71.563880,35.737074,95.298879,0.000000,75.000000,386307994,257458176,4976018278,5098015858,195689447424,0,0,97844723712,0,0,0,0,0,"High (7)","Low (1)","Idle (0)","Low (2)","Low (1)","High (7)","Low (2)","Low (1)","Idle (0)",8942026752,10355666901,9330478197,0.000000,97844723712,0,37031510016,0,4076863488,"<OVERFLOW>",8514699264,0,0.000000,0,0.000000,0,0.000000,1019215872,2654208,0,95.298842,0,6.913789,0.000000,8.581589,0.000000
4896,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.990504,1.216707,0.843364,35.778042,89.795871,99.990504,1.216707,0.156963,0.085499,0.042854,0.000000,0.000000,0.000000,23.968404,89.795871,89.795871,35.778042,0.000000,65.783598,100.000000,100.000000,33.474073,0.000000,35.778042,0.000000,0.000000,1.407685,14316.000000,31.705428,0.000000,0.000000,1.200000,1.001697,2.500000,2.500000,0,0,5501302272,306146563,764069760,1872720,0,8,0,818984225,2996352,1222511686,2996357,0.000000,0.000000,1288.009528,71.677518,35.778044,89.796021,0.000000,251.000000,463123218,308624256,5961978334,6114906782,234722230272,0,0,117361115136,0,0,0,0,0,"High (7)","Low (1)","Idle (0)","Low (2)","Low (1)","High (7)","Low (2)","Low (1)","Idle (0)",10723943808,12407202766,11177948494,0.000000,117361115136,0,44393951232,0,4890046464,"<OVERFLOW>",10187596800,0,0.000000,0,0.000000,0,0.000000,1222511616,2996352,0,89.795871,0,6.934470,0.000000,8.630897,0.000000
5184,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.988478,1.214333,0.843386,35.764806,84.775835,99.988478,1.214333,0.157529,0.085511,0.042854,0.000000,0.000000,0.000000,24.046457,84.775835,84.775835,35.764806,0.000000,"<OVERFLOW>",100.000000,100.000000,32.417255,0.000000,35.764806,0.000000,0.000000,1.405626,15156.000000,31.661330,0.000000,0.000000,1.200000,1.001439,2.500000,2.500000,0,0,6530347008,363319174,906992640,2099520,0,4,0,975705998,3359232,1451188344,3359237,0.000000,0.000000,1287.533003,71.632553,35.764809,84.775961,0.000000,105.000000,549426602,366156288,7076698950,7258481991,"<OVERFLOW>",0,0,"<OVERFLOW>",0,0,0,0,0,"High (7)","Low (1)","Idle (0)","Low (2)","Low (1)","High (7)","Low (2)","Low (1)","Idle (0)",12728130048,14733181696,13274434336,0.000000,"<OVERFLOW>",0,52672757760,0,5804752896,"<OVERFLOW>",12066361344,0,0.000000,0,0.000000,0,0.000000,1451188224,3359232,0,84.775835,0,"<OVERFLOW>",0.000000,8.599991,0.000000
5472,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.990655,1.215026,"<OVERFLOW>",35.726517,80.227966,99.990655,1.215026,0.157401,0.085521,0.042854,0.000000,0.000000,0.000000,24.528918,80.227966,80.227966,35.726517,0.000000,"<OVERFLOW>",100.000000,100.000000,32.193350,0.000000,35.726517,0.000000,0.000000,1.406272,15996.000000,31.676013,0.000000,0.000000,1.200000,1.001668,2.500000,2.500000,0,0,7680324096,427396439,1066711680,2339280,0,10,0,1171803412,3742848,1706738852,3742848,0.000000,0.000000,1286.154595,71.572226,35.726520,80.227966,0.000000,224.000000,645916593,430427520,8330558235,8536685571,"<OVERFLOW>",0,0,"<OVERFLOW>",0,0,0,0,0,"High (7)","Low (1)","Idle (0)","Low (2)","Low (1)","High (7)","Low (2)","Low (1)","Idle (0)",14967649152,17323567182,15608406222,0.000000,"<OVERFLOW>",0,61921677312,0,6826954752,"<OVERFLOW>",14162936832,0,0.000000,0,0.000000,0,0.000000,1706738688,3742848,0,80.227966,0,"<OVERFLOW>",0.000000,8.620169,0.000000
5760,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.989539,1.213637,"<OVERFLOW>",35.683986,76.125836,99.989539,1.213637,0.157813,0.085531,0.042855,0.000000,0.000000,0.000000,24.470727,76.125836,76.125836,35.683986,0.000000,"<OVERFLOW>",100.000000,100.000000,32.765198,0.000000,35.683986,0.000000,0.000000,1.405165,16836.000000,31.652784,0.000000,0.000000,1.200000,1.001439,2.500000,2.500000,0,0,8957952000,498380283,1244160000,2592000,0,9,0,1365116510,4147200,1990657000,4147202,0.000000,0.000000,1284.623504,71.470692,35.684004,76.125874,0.000000,173.000000,752978888,501811200,9726837399,9956500687,"<OVERFLOW>",0,0,"<OVERFLOW>",0,0,0,0,0,"High (7)","Low (1)","Idle (0)","Low (2)","Low (1)","High (7)","Low (2)","Low (1)","Idle (0)",17455564800,20210283276,18210295212,0.000000,"<OVERFLOW>",0,72194457600,0,7962624000,"<OVERFLOW>",16489267200,0,0.000000,0,0.000000,0,0.000000,1990656000,4147200,0,76.125836,0,"<OVERFLOW>",0.000000,8.602080,0.000000
