288,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,7335,7144,5184,5184,2592,2592,2592,2592,3660,3583,3620,3504,2592,2592,2592,2592,62208,62208,62208,62208,58536,58532,58716,58736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,62226,62224,62224,62272,2592,2596,2592,2592,1801474,0,0,1990656,0,0,0,0,82944,0,0,0,0,0,0,0,0,0,0,0,2592,82944,2270592,2060219,273024,933120,62208,0,0,62208,2592,1740759,91349056,144,33696,0,0,0,0,0,0,0,155520,6480,186624,0,93312,3888,0,0,1119744,62656,156934,6480,0,0
576,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,526973,523089,20736,20736,10368,10368,10368,10368,263546,261469,261245,261002,10368,10368,10368,10368,497664,497664,497664,497664,236620,235048,235739,236225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,497728,497682,497684,497682,10372,10368,10368,10545,14375584,0,0,15925248,0,0,0,0,331776,0,0,0,0,0,0,0,0,0,0,0,10368,331776,17791488,16355840,2084832,7464960,497664,0,0,497664,10368,14092281,753615060,576,259200,0,0,0,0,0,0,0,1244160,25920,1492992,0,746496,15552,0,0,8957952,497871,1267727,25922,0,0
864,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,1761884,1757612,46656,46656,23328,23328,23328,23328,880578,879326,878372,881384,23328,23376,23328,23328,1679616,1679616,1679616,1679616,801108,800667,804336,800064,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1679634,1679636,1679634,1679632,23328,23328,23328,23332,48044840,0,0,53747712,0,0,0,0,746496,0,0,0,0,0,0,0,0,0,0,0,23328,746496,59626368,54920111,6929280,25194240,1679616,0,0,1679616,23328,47823406,2568517840,1296,863136,0,0,0,0,0,0,0,4199040,58320,5038848,0,2519424,34992,0,0,30233088,1680545,4288503,58320,0,0
1152,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,4283186,4290826,82944,82944,41472,41472,41472,41472,2140556,2147137,2137777,2147348,41472,41472,41472,41472,3981312,3981312,3981312,3981312,1841482,1834706,1830620,1844285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3981328,3981328,3981332,3981328,41472,41472,41477,41476,114169640,0,0,127401984,0,0,0,0,1327104,0,0,0,0,0,0,0,0,0,0,0,41472,1327104,140838912,129794351,16299360,59719680,3981312,0,0,3981312,41472,113870492,6128351412,2304,2032128,0,0,0,0,0,0,0,9953280,103680,11943936,0,5971968,62208,0,0,71663616,3984658,10253100,103680,0,0
1440,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,8863719,8833122,129600,129600,64800,64800,64800,64800,4432224,4413473,4443314,4494613,64800,64800,64800,64800,7776000,7776000,7776000,7776000,3270852,3357938,3291058,3345784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7776016,7776018,7776020,7776020,64801,64800,64801,64800,222808504,0,0,248832000,0,0,0,0,2073600,0,0,0,0,0,0,0,0,0,0,0,64800,2073600,274492800,253261694,31688064,116640000,7776000,0,0,7776000,64800,222667442,11994959336,3600,3952800,0,0,0,0,0,0,0,19440000,162000,23328000,0,11664000,97200,0,0,139968000,7785610,20297820,162001,0,0
1728,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,15845144,15827554,186624,186624,93312,93312,93312,93312,7900274,7939578,7684016,7774465,93312,93312,93312,93312,13436928,13436928,13436928,13436928,5482602,5706167,5557861,5568155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13436946,13436948,13436948,13436944,93312,93313,93312,93313,385815676,0,0,429981696,0,0,0,0,2985984,0,0,0,0,0,0,0,0,0,0,0,93312,2985984,473651712,437186575,54588384,201553920,13436928,0,0,13436928,93312,385508667,20778690220,5184,6811776,0,0,0,0,0,0,0,33592320,233280,40310784,0,20155392,139968,0,0,241864704,13453790,35163706,233280,0,0
2016,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,25917420,25952610,254016,254016,127008,127008,127008,127008,12948478,12998521,13230099,12202487,127008,127008,127008,127008,21337344,21337344,21337344,21337344,8460334,8206305,8557412,8508915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21337364,21337360,21337364,21337360,127012,127008,127009,127008,613336506,0,0,682795008,0,0,0,0,4064256,0,0,0,0,0,0,0,0,0,0,0,127008,4064256,751379328,693654886,86493312,320060160,21337344,0,0,21337344,127008,613109554,33058318658,7056,10795680,0,0,0,0,0,0,0,53343360,317520,64012032,0,32006016,190512,0,0,384072192,21370498,56439377,317522,0,0
2304,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,38991978,39542106,331776,331776,165888,165888,165888,165888,19497513,19766563,19465242,19431606,165888,165888,165888,165888,31850496,31850496,31850496,31850496,12062172,12378672,13381416,12552931,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,31850560,31850512,31850514,31850512,165888,165892,165888,165889,916009680,0,0,1019215872,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,0,165888,5308416,1120739328,1036298170,128895840,477757440,31850496,0,0,31850496,165888,915537614,49378592534,9216,16091136,0,0,0,0,0,0,0,79626240,414720,95551488,0,47775744,248832,0,0,573308928,31898744,84958621,414725,0,0
2592,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,56898746,56752266,419904,419904,209952,209952,209952,209952,28434310,28422378,28718794,28569978,209952,209952,209952,209952,45349632,45349632,45349632,45349632,16577095,16294301,17859804,16888857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45349650,45349648,45349648,45349650,209952,209952,209953,209952,1303748308,0,0,1451188224,0,0,0,0,6718464,0,0,0,0,0,0,0,0,0,0,0,209952,6718464,1594795392,1475717541,183288960,680244480,45349632,0,0,45349632,209952,1303250160,70302059040,11664,22884768,0,0,0,0,0,0,0,113374080,524880,136048896,0,68024448,314928,0,0,816293376,45421636,121145354,524884,0,0
2880,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,81405024,76589869,518400,518400,259200,259200,259200,259200,40677915,38336029,38348312,39181117,259200,259200,259200,259200,62208000,62208000,62208000,62208000,22598792,22362276,22736944,22930382,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,62208020,62208018,62208068,62208016,259204,259200,259201,259200,1791968458,0,0,1990656000,0,0,0,0,8294400,0,0,0,0,0,0,0,0,0,0,0,259200,8294400,2186611200,2023702518,251165664,933120000,62208000,0,0,62208000,259200,1791331959,96646093318,14400,31363200,0,0,0,0,0,0,0,155520000,648000,186624000,0,93312000,388800,0,0,1119744000,62314152,167658226,648013,0,0
