256,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",68.898010,0.000000,88.950209,1.775913,0.858718,102.288796,727.386992,88.950209,1.775913,0.211264,0.000000,0.086445,0.081179,0.000000,0.000000,407.379336,1.061433,727.386992,545.540245,0.000000,0.000000,18.750000,100.000000,100.000000,0.000000,171.170855,0.000000,"<INVALID>",100.000000,0.000000,2.153945,2973.000000,44.055915,0.000000,0.000000,0.000000,0.000000,1.500000,2.000000,0,0,0,0,1572864,4096,0,4,0,4588,12241,1989769,8403,0.000000,0.000000,0.000000,0.000000,172.535430,746.122180,0.000000,363.693359,99.899092,285523,270336,2114416,1050624,33554432,0,0,16777216,0,0,0,0,0,6.843810,18.435476,8.439400,0.000000,0.000000,1.068912,"Low (3)","Mid (4)","Idle (0)","Low (1)","Low (1)","High (7)","High (8)","Low (1)","Idle (0)",6088704,7376883,6035352,0.000000,0,0.000000,0.000000,0.000000,0.000000,16777216,0,126484480,0,8454144,33619968,9306112,0,0.000000,0,0.000000,1974032,8716,0,773.914188,0,6775,601.568222,19.505860,0.108725,2.269485,0.000000,35.904509,9.693307,6.927348,0.000000
512,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",54.279995,0.000000,96.258587,1.649120,0.924632,101.728020,361.699626,96.258587,1.649120,0.270080,0.000000,0.086699,0.118803,0.000000,0.000000,915.254148,542.240370,361.699626,542.549440,0.000000,0.000000,18.750000,100.000000,98.991414,0.000000,247.630299,0.000000,"<INVALID>",100.000000,0.000000,2.083329,5917.000000,43.051902,0.000000,0.000000,0.000000,0.000000,1.500000,2.000000,0,0,0,0,12582912,16384,0,4,0,82917,49124,22829231,32860,0.000000,0.000000,0.000000,0.000000,246.087442,362.715140,0.000000,45.211914,99.949299,2259933,2129920,18548309,8396800,268435456,0,0,134217728,0,0,0,0,0,6.297273,16.663727,12.406278,0.000000,0.000000,1.092922,"Low (3)","Mid (5)","Idle (0)","Low (1)","Low (1)","High (7)","High (8)","Low (1)","Idle (0)",48472064,61563404,50885752,0.000000,0,0.000000,0.000000,0.000000,0.000000,134217728,0,1009254400,0,67371008,268697600,70778880,0,0.000000,0,0.000000,22972360,33132,0,365.717529,0,32463,358.332976,13.589327,0.017962,2.274748,0.000000,41.873150,8.059361,6.290642,0.000000
768,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",55.765425,0.000000,98.613791,1.648084,0.940570,103.881544,246.237733,98.613791,1.648084,0.262776,0.000000,0.086785,0.116264,0.000000,0.000000,11.257998,367.142304,246.237733,554.034901,0.000000,0.000000,18.750000,100.000000,96.361120,0.000000,242.444345,0.000000,2.348119,100.000000,0.000000,2.096133,8861.000000,43.271181,0.000000,0.000000,0.000000,0.000000,1.500000,2.000000,0,0,0,0,42467328,36864,0,0,0,3451747,109929,76029005,74082,0.000000,0.000000,0.000000,0.000000,247.971348,247.420027,0.000000,0.000000,99.966144,7484948,7151616,61867017,28329984,905969664,0,0,452984832,0,0,0,0,0,6.394923,16.518421,11.707357,0.000000,0.000000,1.071062,"Low (3)","Mid (5)","Idle (0)","Low (1)","Idle (0)","High (7)","High (8)","Low (1)","Idle (0)",163325952,205944021,170054867,0.000000,0,0.000000,0.000000,0.000000,0.000000,452984832,0,3403284480,0,227082240,906559488,234749952,0,0.000000,0,0.000000,74334404,74080,0,247.413347,0,743017,2.423377,11.489967,0.005260,2.368044,0.000000,45.870053,6.942958,5.746060,0.000000
1024,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",65.799151,0.000000,99.315044,1.764428,0.975941,115.497323,205.328574,99.315044,1.764428,0.231615,0.000000,0.086828,0.092951,0.000000,0.000000,17.987166,301.883384,205.328574,615.985723,0.000000,0.000000,18.750000,100.000000,89.413518,0.000000,214.703538,0.000000,5.898152,100.000000,0.000000,2.197564,11805.000000,45.246756,0.000000,0.000000,0.000000,0.000000,1.500000,2.000000,0,0,0,0,100663296,65536,0,4,0,11757723,192708,142529117,131087,0.000000,0.000000,0.000000,0.000000,218.043479,205.352072,0.000000,6.416016,99.974587,17262125,16908288,142197058,67141632,2147483648,0,0,1073741824,0,0,0,0,0,6.678392,16.475787,9.756842,0.000000,0.000000,1.033157,"Low (3)","Mid (5)","Idle (0)","Low (1)","Low (1)","High (7)","High (8)","Low (1)","Idle (0)",386826240,478928607,394436055,0.000000,0,0.000000,0.000000,0.000000,0.000000,1073741824,0,8063549440,0,537919488,2148532224,551550976,0,0.000000,0,0.000000,140345888,131072,0,205.328574,0,2455373,3.756272,16.345616,0.002345,2.548499,0.000000,41.092440,8.615420,6.977166,0.000000
1280,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",55.745180,0.000000,99.639644,1.609146,0.957731,104.616798,148.788335,99.639644,1.609146,0.267856,0.000000,0.086853,0.115220,0.000000,0.000000,18.877742,221.880605,148.788335,557.956259,0.000000,0.000000,18.750000,100.000000,94.669188,0.000000,252.058491,0.000000,"<INVALID>",100.000000,0.000000,2.052822,14749.000000,42.460950,0.000000,0.000000,0.000000,0.000000,1.500000,2.000000,0,0,0,0,196608000,102400,0,8,0,26607929,305408,358302488,204810,0.000000,0.000000,0.000000,0.000000,254.207758,148.795600,0.000000,5.951172,99.979660,34366396,32972800,291175671,131123200,4194304000,0,0,2097152000,0,0,0,0,0,6.089275,15.677967,12.580676,0.000000,0.000000,1.024343,"Low (3)","Mid (5)","Idle (0)","Low (1)","Low (1)","High (7)","High (8)","Low (1)","Idle (0)",755148800,957420280,791861236,0.000000,0,0.000000,0.000000,0.000000,0.000000,2097152000,0,15745024000,0,1050214400,4195942400,1071513600,0,0.000000,0,0.000000,355273124,204800,0,148.788335,0,5339524,3.788275,10.478766,0.001333,2.328707,0.000000,47.881429,6.266211,5.446329,0.000000
1536,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",52.615214,0.000000,99.668050,1.583988,0.954062,102.269295,121.208053,99.668050,1.583988,0.282973,0.000000,0.086871,0.127356,0.000000,0.000000,27.661580,180.295088,121.208053,547.229114,0.000000,0.000000,18.688570,100.000000,92.367253,0.000000,261.247440,0.000000,"<INVALID>",100.000000,0.000000,2.023110,17693.000000,41.904447,0.000000,0.000000,0.000000,0.000000,1.500000,2.000000,0,0,0,0,339738624,147456,0,9,0,68918831,438677,658087796,294955,0.000000,0.000000,0.000000,0.000000,264.133151,121.225725,0.000000,3.787109,99.983044,59593656,56918016,510286561,226566144,7247757312,0,0,3623878656,0,0,0,0,0,5.994194,15.593613,12.937151,0.000000,0.000000,1.010951,"Low (3)","Mid (5)","Idle (0)","Low (2)","Low (1)","High (7)","High (7)","Low (1)","Idle (0)",1304469504,1669809421,1383462781,0.000000,0,0.000000,0.000000,0.000000,0.000000,3623878656,0,27202682880,0,1814298624,7250116608,1844969472,0,0.000000,0,0.000000,650898048,295108,0,121.288609,0,13907973,5.582168,10.005178,0.000619,2.279192,0.000000,48.320221,6.138072,5.306759,0.000000
1792,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",49.070046,0.000000,99.740161,1.539426,0.956185,100.051879,101.640004,99.740161,1.539426,0.288659,0.000000,0.086883,0.132674,0.000000,0.000000,28.275195,151.636571,101.640004,533.610022,0.000000,0.000000,18.750000,100.000000,90.440669,0.000000,273.684544,0.000000,1.274154,100.000000,0.000000,1.971977,20637.000000,40.920753,0.000000,0.000000,0.000000,0.000000,1.500000,2.000000,0,0,0,0,539492352,200704,0,4,0,114347562,598860,1099406824,401502,0.000000,0.000000,0.000000,0.000000,271.854873,101.663805,0.000000,1.037109,99.985463,94580152,90316800,823958725,359761920,11509170176,0,0,5754585088,0,0,0,0,0,5.874234,15.324532,13.766380,0.000000,0.000000,1.006835,"Low (2)","Mid (6)","Idle (0)","Low (2)","Low (1)","High (7)","High (7)","Low (1)","Idle (0)",2070964224,2674999189,2220370487,0.000000,0,0.000000,0.000000,0.000000,0.000000,5754585088,0,43191500800,0,2880503808,11512381440,2922250240,0,0.000000,0,0.000000,1106806188,401536,0,101.672415,0,22867396,5.654516,8.908618,0.000380,2.203743,0.000000,49.525656,5.593365,4.916029,0.000000
2048,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",46.581165,0.000000,99.840995,1.484951,0.965547,94.735419,84.209261,99.840995,1.484951,0.303675,0.000000,0.086892,0.140182,0.000000,0.000000,22.982586,125.663556,84.209261,505.255568,0.000000,0.000000,18.750000,100.000000,92.864676,0.000000,271.493311,0.000000,"<INVALID>",100.000000,0.000000,1.932935,23581.000000,40.193702,0.000000,0.000000,0.000000,0.000000,1.500000,2.000000,0,0,0,0,805306368,262144,0,0,0,146524048,782383,1729112980,524315,0.000000,0.000000,0.000000,0.000000,271.214781,84.213597,0.000000,0.000000,99.987278,139904453,134742016,1282828497,537001984,17179869184,0,0,8589934592,0,0,0,0,0,5.603422,14.471820,12.810576,0.000000,0.000000,0.960364,"Low (2)","Mid (6)","Idle (0)","Low (1)","Idle (0)","High (7)","High (7)","Low (1)","Idle (0)",3090808832,4025138451,3347970766,0.000000,0,0.000000,0.000000,0.000000,0.000000,8589934592,0,64466452480,0,4299161600,17184063488,4353687552,0,0.000000,0,0.000000,1730888728,524288,0,84.209261,0,28993324,4.547660,8.255793,0.000294,2.145032,0.000000,52.471165,5.426566,4.867968,0.000000
2304,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",46.064526,0.000000,99.821540,1.498777,0.953956,96.094417,75.926453,99.821540,1.498777,0.296893,0.000000,0.086899,0.140547,0.000000,0.000000,42.721989,113.000488,75.926453,511.302201,0.000000,0.000000,18.794055,100.000000,87.217007,0.000000,275.741715,0.000000,0.932861,100.000000,0.000000,1.953078,26525.000000,40.557813,0.000000,0.000000,0.000000,0.000000,1.500000,2.000000,0,0,0,0,1146617856,331776,0,4,0,382325507,987557,2447578368,663565,0.000000,0.000000,0.000000,0.000000,273.498405,75.927940,0.000000,479.000000,99.988690,201102882,191766528,1776450783,764577792,24461180928,0,0,12230590464,0,0,0,0,0,5.719330,15.076565,14.687130,0.000000,0.000000,0.993929,"Low (2)","Mid (6)","Idle (0)","Low (2)","Low (1)","High (7)","High (7)","Low (1)","Idle (0)",4400179200,5706562926,4740546843,0.000000,0,0.000000,0.000000,0.000000,0.000000,12230590464,0,91782512640,0,6120603648,24466489344,6189613056,0,0.000000,0,0.000000,2467654084,663552,0,75.926453,0,76273074,8.522940,8.170771,0.000171,2.177414,0.000000,50.028776,5.323329,4.786837,0.000000
2560,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",46.178967,0.000000,99.913804,1.496339,0.958374,97.208303,69.125904,99.913804,1.496339,0.297984,0.000000,0.086905,0.140265,0.000000,0.000000,44.417979,102.884778,69.125904,518.205584,0.000000,0.000000,18.758637,100.000000,87.560119,0.000000,278.912489,0.000000,"<INVALID>",100.000000,0.000000,1.938499,29469.000000,40.271210,0.000000,0.000000,0.000000,0.000000,1.500000,2.000000,0,0,0,0,1572864000,409600,0,0,0,539023706,1219271,3407700482,819247,0.000000,0.000000,0.000000,0.000000,280.809852,69.129869,0.000000,0.000000,99.989820,275110516,262963200,2434294146,1048780800,33554432000,0,0,16777216000,0,0,0,0,0,5.685142,14.951844,14.809003,0.000000,0.000000,0.984984,"Low (2)","Mid (6)","Idle (0)","Low (2)","Idle (0)","High (7)","High (7)","Low (1)","Idle (0)",6035251200,7833831830,6509734463,0.000000,0,0.000000,0.000000,0.000000,0.000000,16777216000,0,125894656000,0,8395161600,33560985600,8480358400,0,0.000000,0,0.000000,3384675484,819200,0,69.125904,0,107979073,8.897961,7.729939,0.000125,2.160407,0.000000,50.739096,5.099867,4.647404,0.000000
