2816,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,634152936,633936533,2987699,2992739,816582,817046,813836,815086,253399885,253704700,252972942,253462623,991232,991232,991232,991232,9038662188,9039620252,9036169200,9023184236,8793105348,8791002796,8785451584,8779039436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9051596388,9049333568,9028122164,9029995136,1673260,1676002,1674825,1673745,39266210073,0,0,44660948992,0,0,0,0,7929856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247808,7929856,8032200704,27454922453,1769414833,257030422528,0,0,0,0,1395654656,247808,39242998291,2382732209744,30976,257006632960,0,0,0,0,2828002438,9035062138,0,3964928,0,0,10467409920,3717120,0,0,0,0,23797267422,4559350,0,0
3072,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,1862930486,1878191409,4041469,4045824,1076420,1077413,1076923,1076221,745603518,750798276,744137262,737132217,1179648,1179648,1179648,1179648,12265495892,12252242168,12248505868,12249237708,11532258328,11518710736,11506515480,11511720688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12276004612,12261431924,12247332024,12241056205,2160259,2164612,2163171,2167246,52236458286,0,0,57982058496,0,0,0,0,9437184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294912,9437184,10427203584,36940972382,2300285874,333670514688,0,0,0,0,1811939328,294912,52213410994,"<OVERFLOW>",36864,333642203136,0,0,0,0,3139367063,12262117225,0,4718592,0,0,13589544960,4423680,0,0,0,0,32174355168,5656452,0,0
3328,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,1211463076,1229922773,4443883,4455121,1197546,1200400,1197269,1196757,483816963,491234289,483682758,485571966,1384448,1384448,1384448,1384448,15286864076,15287555024,15278320020,15264361168,14793539648,14780786552,14785556496,14771269868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15282013084,15283749695,15266763588,15245667660,2434597,2430977,2432614,2431195,"<OVERFLOW>",0,0,73719087104,0,0,0,0,11075584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346112,11075584,13256435712,45408248438,2916931036,424205942784,0,0,0,0,2303721472,346112,"<OVERFLOW>","<OVERFLOW>",43264,424172716032,0,0,0,0,4313929751,15267702761,0,5537792,0,0,17277911040,5191680,0,0,0,0,39413551853,6315895,0,0
3584,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,2414709509,2425864917,5390433,5402484,1438425,1441189,1442192,1443145,965318396,967130043,973932041,974321789,1605632,1605640,1605632,1605632,19649941932,19630158792,19631345068,19608860572,18663391508,18653023404,18649963252,18634140304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,19633964207,19614205924,19619136564,19604325968,2905634,2910583,2908035,2907731,"<OVERFLOW>",0,0,92073361408,0,0,0,0,12845056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401408,12845056,16556072960,57773252757,3644529994,"<OVERFLOW>",0,0,0,0,2877292544,401408,"<OVERFLOW>","<OVERFLOW>",50176,"<OVERFLOW>",0,0,0,0,4824225241,19632761383,0,6422528,0,0,21579694080,6021120,0,0,0,0,50252990692,7464104,0,0
3840,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,3689044425,3651406059,6303540,6293994,1673016,1672027,1673088,1674664,1474103080,1462542286,1447463987,1474378949,1843200,1843200,1843200,1843200,24132894496,24124926456,24098679060,24101116184,22659562264,22642958360,22639368616,22622813680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,24133126249,24109113787,24082135141,24089981208,3375223,3373734,3374454,3374521,"<OVERFLOW>",0,0,113246208000,0,0,0,0,14745600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460800,14745600,20362291200,70982860615,4484924764,"<OVERFLOW>",0,0,0,0,3538944000,460800,"<OVERFLOW>","<OVERFLOW>",57600,"<OVERFLOW>",0,0,0,0,5988452199,24092571801,0,7372800,0,0,26542080000,6912000,0,0,0,0,61725770281,8490291,0,0
4096,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,2828250073,2789642541,7163828,7142446,1959203,1954524,1953886,1957597,1132506479,1117082418,1117830186,1125235550,2097152,2097152,2097152,2097152,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",3913409,3916643,3910932,3914656,"<OVERFLOW>",0,0,137438953472,0,0,0,0,16777216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524288,16777216,24711266304,86526763551,5462843457,"<OVERFLOW>",0,0,0,0,4294967296,524288,"<OVERFLOW>","<OVERFLOW>",65536,"<OVERFLOW>",0,0,0,0,7978340775,28528881241,0,8388608,0,0,32212254720,7864320,0,0,0,0,"<OVERFLOW>",10062914,0,0
4352,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,5088393288,5134955894,8223993,8224429,2177703,2176750,2175623,2177118,2034090720,2049552350,2038969264,2040869302,2367488,2367488,2367488,2367488,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",4372629,4370228,4364678,4368295,"<OVERFLOW>",0,0,164852924416,0,0,0,0,18939904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591872,18939904,29639174144,104292951346,6518416797,"<OVERFLOW>",0,0,0,0,5151653888,591872,"<OVERFLOW>","<OVERFLOW>",73984,"<OVERFLOW>",0,0,0,0,8280687350,35508370698,0,9469952,0,0,38637404160,8878080,0,0,0,0,"<OVERFLOW>",10996275,0,0
4608,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,8589520635,8564490182,9515989,9517411,2487899,2486923,2486478,2485065,3435350762,3424232389,3422716666,3417772588,2654208,2654208,2654208,2654208,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",4988934,4991383,4984590,4988751,"<OVERFLOW>",0,0,195689447424,0,0,0,0,21233664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663552,21233664,35182190592,124157891977,7729976748,"<OVERFLOW>",0,0,0,0,6115295232,663552,"<OVERFLOW>","<OVERFLOW>",82944,"<OVERFLOW>",0,0,0,0,9496935220,42483074252,0,10616832,0,0,45864714240,9953280,0,0,0,0,"<OVERFLOW>",12335243,0,0
4864,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,7356552974,7378180617,10434810,10433582,2769574,2769343,2770843,2769984,2939576812,2953209868,2945988782,2952953152,2957312,2957312,2957312,2957312,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",5551250,5554960,5555389,5556634,"<OVERFLOW>",0,0,230149849088,0,0,0,0,23658496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739328,23658496,41376491520,147068079918,9093744961,"<OVERFLOW>",0,0,0,0,7192182784,739328,"<OVERFLOW>","<OVERFLOW>",92416,"<OVERFLOW>",0,0,0,0,11728685462,49404868202,0,11829248,0,0,53941370880,11089920,0,0,0,0,"<OVERFLOW>",14034669,0,0
5120,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,10655071415,10684868243,11884998,11888315,3111428,3109342,3112472,3110675,4260114064,4273114385,4268628944,4253374263,3276800,3276800,3276800,3276800,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",6233507,6228883,6229988,6225462,"<OVERFLOW>",0,0,"<OVERFLOW>",0,0,0,0,26214400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819200,26214400,48258252800,174435051485,10601542333,"<OVERFLOW>",0,0,0,0,8388608000,819200,"<OVERFLOW>","<OVERFLOW>",102400,"<OVERFLOW>",0,0,0,0,12302600534,59000567466,0,13107200,0,0,62914560000,12288000,0,0,0,0,"<OVERFLOW>",15576074,0,0
5376,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,12538413847,12459307262,12544692,12531097,3296533,3295351,3298702,3300761,5012823382,4982268590,5021398605,5036059063,3612672,3612672,3612672,3612672,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",6655310,6656906,6658449,6660673,"<OVERFLOW>",0,0,"<OVERFLOW>",0,0,0,0,28901376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903168,28901376,55863650304,190544473645,12257133336,"<OVERFLOW>",0,0,0,0,9710862336,903168,"<OVERFLOW>","<OVERFLOW>",112896,"<OVERFLOW>",0,0,0,0,16139970776,"<OVERFLOW>",0,14450688,0,0,"<OVERFLOW>",13547520,0,0,0,0,"<OVERFLOW>",15817402,0,0
5632,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,13031260749,13015894379,13886880,13891135,3668882,3670429,3669654,3674065,5210802368,5203705934,5219266306,5231662723,3964928,3964928,3964928,3964928,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",7376943,7384364,7381124,7377388,"<OVERFLOW>",0,0,"<OVERFLOW>",0,0,0,0,31719424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991232,31719424,64228859904,223570916596,14092005616,"<OVERFLOW>",0,0,0,0,11165237248,991232,"<OVERFLOW>","<OVERFLOW>",123904,"<OVERFLOW>",0,0,0,0,18451532113,"<OVERFLOW>",0,15859712,0,0,"<OVERFLOW>",14868480,0,0,0,0,"<OVERFLOW>",18043266,0,0
5888,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,16276609879,16225328371,15221816,15207743,4018737,4015021,4012452,4018402,6509974195,6489789254,6444308447,6504906708,4333568,4333568,4333568,4333568,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,1,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",8078971,8079087,8071660,8075217,"<OVERFLOW>",0,0,"<OVERFLOW>",0,0,0,0,34668544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083392,34668544,73390057472,"<OVERFLOW>",16109265151,"<OVERFLOW>",0,0,0,0,12758024192,1083392,"<OVERFLOW>","<OVERFLOW>",135424,"<OVERFLOW>",0,0,0,0,20795988993,"<OVERFLOW>",0,17334272,0,0,"<OVERFLOW>",16250880,0,0,0,0,"<OVERFLOW>",19563571,0,0
6144,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,24830696226,24985195393,17614554,17624179,4564002,4565408,4564255,4564505,9931477689,9989711070,9965201541,9957840315,4718592,4718592,4718592,4718592,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",9126143,9130306,9130119,9127566,"<OVERFLOW>",0,0,"<OVERFLOW>",0,0,0,0,37748736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179648,37748736,83383418880,"<OVERFLOW>",18303282012,"<OVERFLOW>",0,0,0,0,14495514624,1179648,"<OVERFLOW>","<OVERFLOW>",147456,"<OVERFLOW>",0,0,0,0,20853979017,"<OVERFLOW>",0,18874368,0,0,"<OVERFLOW>",17694720,0,0,0,0,"<OVERFLOW>",22657836,0,0
6400,"Tesla K40c (0)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,19738504571,19735595371,17958229,17959675,4730531,4728363,4730595,4732988,7892368908,7890379419,7911646296,7917258779,5120000,5120000,5120000,5120000,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",9517296,9520881,9522110,9524040,"<OVERFLOW>",0,0,"<OVERFLOW>",0,0,0,0,40960000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280000,40960000,94245120000,"<OVERFLOW>",20665324397,"<OVERFLOW>",0,0,0,0,16384000000,1280000,"<OVERFLOW>","<OVERFLOW>",160000,"<OVERFLOW>",0,0,0,0,26869230996,"<OVERFLOW>",0,20480000,0,0,"<OVERFLOW>",19200000,0,0,0,0,"<OVERFLOW>",22682536,0,0
