2048,"GeForce GTX 680 (0)","2","14","quicksort(int*, int)",0,0,0,0,0,0,0,0,68242,0,4055,4162,2062,2011,2066,2048,34110,0,45064,45064,2062,2011,2073,2089,11210,12073,11823,11156,11210,12073,11823,11156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11218,12085,11827,11164,2062,2011,2074,2089,92346072,0,0,46262,0,0,0,0,8235,0,0,0,0,0,0,0,0,0,0,0,1,1,659830,349224,201570,0,0,8188,13775,46262,10267,11539697,11539698,1,62611,0,8188,0,13775,0,0,0,46262,8235,0,0,0,0,8188,13775,0,0,46262,10267,0,0
4096,"GeForce GTX 680 (0)","2","14","quicksort(int*, int)",0,0,0,0,0,0,0,0,180260,180256,8276,8271,4136,4138,4113,4165,90132,90128,90128,45064,4185,4163,4136,4173,34422,33444,31848,32832,34422,33444,31848,32820,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,34430,33452,31854,32824,4189,4167,4144,4173,250991614,0,0,132534,0,0,0,0,16657,0,0,0,0,0,0,0,0,0,0,0,1,1,1729977,933275,530890,0,0,16380,28075,132534,20733,31370470,31370470,1,165491,0,16380,0,28075,0,0,0,132534,16657,0,0,0,0,16380,28075,0,0,132534,20733,0,0
8192,"GeForce GTX 680 (0)","2","14","quicksort(int*, int)",0,0,0,0,0,0,0,0,450650,540768,16934,16515,8408,8387,8360,8300,225330,270384,225320,225320,8456,8574,8418,8362,108101,105410,106690,115056,108101,105410,106690,115056,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,108113,105416,106696,115072,8456,8579,8418,8366,784443032,0,0,435257,0,0,0,0,33810,0,0,0,0,0,0,0,0,0,0,0,1,1,5176645,2883223,1581979,0,0,32764,56747,435257,41990,98051902,98051902,1,501752,0,32764,0,56747,0,0,0,435257,33810,0,0,0,0,32764,56747,0,0,435257,41990,0,0
16384,"GeForce GTX 680 (0)","2","14","quicksort(int*, int)",0,0,0,0,0,0,0,0,1622340,1622304,33099,33185,16518,16610,16582,16473,811188,811152,811152,811152,16616,16631,16677,16572,385482,377160,401704,396403,385482,377160,401704,396403,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,385486,377164,401708,396409,16613,16631,16672,16580,2711330344,0,0,1560749,0,0,0,0,66486,0,0,0,0,0,0,0,0,0,0,0,1,1,17217051,9930597,5203981,0,0,65532,114099,1560749,82856,338912807,338912806,1,1692692,0,65532,0,114099,0,0,0,1560749,66486,0,0,0,0,65532,114099,0,0,1560749,82856,0,0
32768,"GeForce GTX 680 (0)","2","14","quicksort(int*, int)",0,0,0,0,0,0,0,0,5858454,5948495,65669,66006,32663,33089,32960,32881,2929294,2974248,2930191,2974246,32931,33249,33140,33121,1424206,1446229,1471558,1454526,1424206,1446229,1471558,1454526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1424228,1446243,1471570,1454530,32933,33253,33135,33125,9852639758,0,0,5796519,0,0,0,0,132431,0,0,0,0,0,0,0,0,0,0,0,1,1,61264609,35824437,18516617,0,0,131068,228767,5796519,165177,1231576481,1231576480,1,6059938,0,131056,12,228748,0,0,0,5796519,132431,0,0,0,0,131068,228767,0,0,5796519,165177,0,0
