128,"GeForce GTX TITAN Black (1)","3","21","matMul(float*, float*, float*, int)",0.000000,0.000000,77.970598,0.394502,0.423656,22.398291,1.399893,77.970598,0.394502,1.246666,0.608501,0.570470,0.000000,0.000000,0.000000,0.000000,1.870853,5.599573,89.593165,0.000000,30.357143,25.000000,25.000000,100.000000,0.000000,89.593165,0.000000,0.000000,100.000000,0.000000,0.886314,447.000000,21.010534,0.000000,0.000000,2.400000,4.000000,16.000000,16.000000,0,0,196608,32768,131072,8192,0,0,0,0,2737,131262,10636,0.000000,0.000000,1075.117975,179.186329,89.723037,7.270148,0.000000,0.000000,99.552573,17380,13312,376783,98816,4194304,0,0,2097152,0,0,0,0,0,0.894651,7.411027,0.861655,0.000000,14.916834,0.274897,"Mid (4)","Low (2)","Idle (0)","Low (1)","Idle (0)","High (7)","Low (1)","Low (1)","Idle (0)",228864,514181,487557,0.000000,0,0.000000,0.000000,0.000000,0.000000,2097152,0,1441792,0,131072,3162112,458752,0,0.000000,0,0.000000,131072,8192,0,5.599573,0,0,0.000000,22.900799,0.987492,1.468017,0.000000,28.877444,22.875202,6.820391,0.000000
256,"GeForce GTX TITAN Black (1)","3","21","matMul(float*, float*, float*, int)",0.000000,0.000000,95.636265,0.409407,0.895547,28.210657,881.583018,95.636265,0.409407,1.249953,0.630359,0.573581,0.000000,0.000000,0.000000,3.336068,1.489931,3.526332,112.842626,0.000000,30.357143,25.000000,25.000000,99.821472,0.000000,112.842626,0.000000,0.000000,100.000000,0.000000,0.921528,863.000000,21.952937,0.000000,0.000000,2.400000,4.000000,16.000000,16.000000,0,0,1572864,262144,1048576,32768,0,1,0,31,13845,1048761,33609,0.000000,0.000000,1354.111516,225.685253,112.862535,3.616836,0.000000,107.615000,99.768250,134894,102400,2959889,788480,33554432,0,0,16777216,0,0,0,0,0,0.903985,3.641725,0.292714,0.000000,19.259160,0.243513,"Mid (5)","Low (2)","Idle (0)","Low (1)","Low (1)","High (7)","Low (1)","Low (1)","Idle (0)",1767424,3976621,3789293,0.000000,0,0.000000,0.000000,0.000000,0.000000,16777216,0,10485760,0,1048576,25231360,2883584,0,0.000000,0,0.000000,1048576,32768,0,3.526332,0,0,0.000000,31.681821,0.149052,1.936581,0.000000,14.656227,29.171802,17.424966,0.000000
512,"GeForce GTX TITAN Black (1)","3","21","matMul(float*, float*, float*, int)",0.000000,0.000000,97.380551,0.406588,0.981068,29.463434,460.366158,97.380551,0.406588,1.260640,0.641888,0.575221,0.000000,0.000000,0.000000,656.283092,885.960398,1.841465,117.853737,0.000000,30.357143,25.000000,25.000000,99.459600,0.000000,117.853737,0.000000,0.000000,100.000000,0.000000,0.919701,1695.000000,21.965742,0.000000,0.000000,2.400000,4.000000,16.000000,16.000000,0,0,12582912,2097152,8388608,131072,0,1,0,46713,63061,8389319,131822,0.000000,0.000000,1414.244840,235.707473,117.863726,1.852002,0.000000,14.049000,99.882006,1062763,802816,23531991,6299648,268435456,0,0,134217728,0,0,0,0,0,0.930266,3.347109,0.266302,0.000000,23.778290,0.221043,"Mid (5)","Low (2)","Idle (0)","Low (1)","Low (1)","High (7)","Low (1)","Low (1)","Idle (0)",13885440,31389975,29988183,0.000000,0,0.000000,0.000000,0.000000,0.000000,134217728,0,79691776,0,8388608,201588736,19922944,0,0.000000,0,0.000000,8388608,131072,0,1.841465,0,0,0.000000,29.888389,0.017483,1.994512,0.000000,13.615128,27.935989,18.157140,0.000000
1024,"GeForce GTX TITAN Black (1)","3","21","matMul(float*, float*, float*, int)",0.000000,0.000000,99.196193,0.394503,0.994011,29.272660,228.692653,99.196193,0.394503,1.325803,0.647812,0.576064,0.000000,0.000000,0.000000,13.253766,312.315035,914.770615,117.090639,0.000000,30.357143,25.000000,25.000000,88.936834,0.000000,117.090639,0.000000,0.000615,100.000000,0.000000,0.917537,3359.000000,21.966466,0.000000,0.000000,2.400000,4.000000,16.000000,16.000000,0,0,100663296,16777216,67108864,524288,0,11,0,7596211,178999,67110479,524513,0.000000,0.000000,1405.087665,234.181278,117.093457,915.163192,0.000000,19.192000,99.940458,8437853,6356992,194215530,50364416,2147483648,0,0,1073741824,0,0,0,0,0,0.924087,3.218061,0.314936,0.000000,25.670925,0.203239,"Mid (5)","Low (2)","Idle (0)","Low (1)","Low (1)","High (7)","Low (1)","Low (1)","Idle (0)",110067712,255995792,245148624,0.000000,0,0.000000,0.000000,0.000000,0.000000,1073741824,0,620756992,0,67108864,1611661312,146800640,0,0.000000,0,0.000000,67108864,524704,0,915.496446,0,0,0.000000,28.659229,0.001757,1.988311,0.000000,14.280219,26.727547,17.587776,0.000000
2048,"GeForce GTX TITAN Black (1)","3","21","matMul(float*, float*, float*, int)",0.000000,0.000000,99.897273,0.393746,0.998291,25.607877,100.030770,99.897273,0.393746,1.328614,0.650815,0.576492,0.000000,0.000000,0.000000,12.961326,144.828333,400.123080,102.431509,0.000000,30.357143,25.000000,25.000000,87.349199,0.000000,102.431509,0.000000,0.000062,100.000000,0.000000,0.916895,6687.000000,21.964052,0.000000,0.000000,2.400000,4.000000,16.000000,16.000000,0,0,805306368,134217728,536870912,2097152,0,1,0,67933772,759084,536882322,2097159,0.000000,0.000000,1229.178105,204.863017,102.433686,400.124416,0.000000,190.000000,99.970091,67241944,50593792,1550298978,402784256,17179869184,0,0,8589934592,0,0,0,0,0,0.922315,3.192894,0.307562,0.000000,26.305935,0.195919,"Mid (5)","Low (2)","Idle (0)","Low (1)","Low (1)","High (7)","Low (1)","Low (1)","Idle (0)",876478464,2040980252,1955651420,0.000000,0,0.000000,0.000000,0.000000,0.000000,8589934592,0,4898947072,0,536870912,12889096192,1124073472,0,0.000000,0,0.000000,536870912,2097488,0,400.187187,0,0,0.000000,28.499978,0.000207,2.007813,0.000000,14.194272,26.380920,17.485595,0.000000
4096,"GeForce GTX TITAN Black (1)","3","21","matMul(float*, float*, float*, int)",0.000000,0.000000,99.969093,0.393036,0.999380,25.611455,50.022373,99.969093,0.393036,1.332163,0.652327,0.576707,0.000000,0.000000,0.000000,13.500258,77.478491,200.089493,102.445821,0.000000,30.357143,25.000000,25.000000,86.825109,0.000000,102.445821,0.000000,0.000001,100.000000,0.000000,0.916618,13343.000000,21.964747,0.000000,0.000000,2.400000,4.000000,16.000000,16.000000,0,0,6442450944,1073741869,4294967296,8388608,0,2,0,565988599,3248230,4295059547,8388613,0.000000,0.000000,1229.349849,204.891650,102.448021,200.089612,0.000000,47.000000,99.985011,536894934,403701760,12405452961,3221749760,137438953472,0,0,68719476736,0,0,0,0,0,0.920423,3.176041,0.312268,0.000000,26.863146,0.191732,"Mid (5)","Low (2)","Idle (0)","Low (1)","Low (1)","High (7)","Low (1)","Low (1)","Idle (0)",6995574784,16314821949,15637965181,0.000000,0,0.000000,0.000000,0.000000,0.000000,68719476736,0,38923141120,0,4294967296,103095992320,8791261184,0,0.000000,0,0.000000,4294967296,8388648,0,200.090447,0,0,0.000000,28.211832,0.000026,2.010251,0.000000,14.203353,26.121178,17.388417,0.000000
8192,"GeForce GTX TITAN Black (1)","3","21","matMul(float*, float*, float*, int)",0.000000,0.000000,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",25.505647,24.907858,"<OVERFLOW>","<OVERFLOW>",1.337489,0.653086,0.576815,0.000000,0.000000,0.000000,16.682739,36.308839,99.631435,102.022590,0.000000,"<OVERFLOW>",25.000000,25.000000,83.636744,0.000000,102.022590,0.000000,0.000000,"<OVERFLOW>",0.000000,"<OVERFLOW>",26655.000000,"<OVERFLOW>",0.000000,0.000000,2.400000,4.000000,16.000000,16.000000,0,0,51539607552,8589935008,34359738368,33554432,0,2,0,5618505985,12228294,34360540492,33554447,0.000000,0.000000,1224.271075,204.045189,102.024971,99.631479,0.000000,5.000000,"<OVERFLOW>",4291054617,3225419776,99469863121,25771900928,"<OVERFLOW>",0,0,"<OVERFLOW>",0,0,0,0,0,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","Low (1)","Low (1)","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",55899586560,130664695733,125272916981,0.000000,0,0.000000,0.000000,0.000000,0.000000,"<OVERFLOW>",0,"<OVERFLOW>",0,34359738368,"<OVERFLOW>",69524783104,0,0.000000,0,0.000000,34359738368,33554432,0,99.631435,0,0,0.000000,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",0.000000
