256,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int)",96.666901,0.977383,0.595336,0.597480,960.000000,100.000000,100.000000,99.791667,0.001424,10.890110,4.000000,8.000000,0.000000,0.000000,32.000000,32.000000,524288,2621440,0,0,2097152,65536,0,18,90.281677,0.000000,42.175927,1.317998,337.407415,10.543982,0.000000,2.965494,42.175927,0.000000,0.000000,1687.037077,337.407415,12.500000,12.500000,262144,"Low (1)","Low (1)","Low (2)","Idle (0)","Idle (0)","Low (1)",0,0,0,0,33554432,0,16777216,0,0,1966080,1969152,"Low (1)","Low (1)",35.416667,"Max (10)",16777216,0,17039360,0,1048576,25231360,2686976,0,1435648,36864,36864,1064960,862208,0,0.000000,1.013082,51.503023,9.516800,0.000000,23.242385,10.965589,0.218567,2.974249,0.285688,0.280616,0,5,203527,65542,0,0.000000,87.522934,99.318662,100.000000,32.870142,10.543982,204304,65536,32.745132,10.544947,0.000000,843.517578,"Low (1)",0.000000,0,"Low (1)",0.000000,0.609764,3.859804,0.000000
512,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int)",99.485561,0.993192,0.598166,0.598162,1888.000000,100.000000,100.000000,99.894068,0.000181,10.866777,4.000000,8.000000,0.000000,0.000000,32.000000,32.000000,4194304,20971520,0,0,16777216,262144,31960,32789,89.564228,0.000000,46.723068,747.569092,373.784546,5.840384,729.135381,748.048185,46.723068,0.000000,0.000000,1868.922731,373.784546,12.500000,12.500000,2097152,"Low (1)","Low (1)","Low (2)","Idle (0)","Idle (0)","Low (1)",0,0,0,0,268435456,0,134217728,0,0,15466496,15469293,"Low (1)","Low (1)",35.416667,"Max (10)",134217728,0,131072000,0,8388608,201588736,19136512,0,11241197,278528,278528,8454144,6856704,0,0.000000,1.020734,51.885633,9.210501,0.000000,23.490556,11.060037,0.022871,2.968766,0.083742,0.257159,0,5,1742887,262150,0,0.000000,88.561448,100.841301,96.875000,37.583210,5.840384,1686912,262144,38.830294,5.840517,0.000000,116.807617,"Low (1)",0.000000,0,"Low (1)",0.000000,0.596816,4.029429,0.000000
768,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int)",99.198127,0.994295,0.595390,0.595416,2816.000000,100.000000,100.000000,99.928977,0.000059,10.804521,4.000000,8.000000,0.000000,0.000000,32.000000,32.000000,14155776,70778880,0,0,56623104,589824,1388548,98330,89.829069,0.000000,46.541494,496.442602,372.331952,3.878458,9.130562,662.098539,46.541494,0.000000,0.000000,1861.659760,372.331952,12.500000,12.500000,7077888,"Low (1)","Low (1)","Low (2)","Idle (0)","Idle (0)","Low (1)",0,0,0,0,905969664,0,452984832,0,0,51904512,51907312,"Low (1)","Low (1)",35.416667,"Max (10)",452984832,0,436469760,0,28311552,680067072,61931520,0,37676784,921600,921600,28459008,23095296,0,0.000000,1.004805,51.455811,10.473613,0.000000,23.131580,10.722702,0.006758,2.904199,0.047325,0.253208,0,5,6037344,589830,0,0.000000,88.613397,76.099185,95.834181,39.435394,3.878458,5997214,589824,39.699273,3.878497,0.000000,34.474609,"Low (1)",0.000000,0,"Low (1)",0.000000,0.591967,4.050520,0.000000
1024,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int)",99.866320,0.995940,0.593805,0.593747,3744.000000,100.000000,100.000000,99.946581,0.000025,10.767968,4.000000,8.000000,0.000000,0.000000,32.000000,32.000000,33554432,167772160,0,0,134217728,1048576,4316812,155677,89.821923,0.000000,47.092118,376.736945,376.736946,2.943257,12.116898,447.458476,47.092118,0.000000,0.000000,1883.684728,376.736946,12.500000,12.500000,16777216,"Low (1)","Low (1)","Low (2)","Idle (0)","Idle (0)","Low (1)",0,0,0,0,2147483648,0,1073741824,0,0,122683392,122686464,"Low (1)","Low (1)",35.416667,"Max (10)",1073741824,0,1027604480,0,67108864,1611661312,143654912,0,88999936,2162688,2162688,67371008,54689792,0,0.000000,0.999787,51.184426,11.042576,0.000000,22.908264,10.640829,0.002864,2.939455,0.027065,0.254733,0,5,13973401,1048582,0,0.000000,88.811558,67.497652,96.875000,39.537042,2.943257,14085616,1048576,39.222065,2.943274,0.000000,14.715820,"Low (1)",0.000000,0,"Low (1)",0.000000,0.591649,4.054516,0.000000
1280,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int)",99.895590,0.996812,0.592970,0.593092,4672.000000,100.000000,100.000000,99.957192,0.000013,10.752316,4.000000,8.000000,0.000000,0.000000,32.000000,32.000000,65536000,327680000,0,0,262144000,1638400,11061102,229560,89.561219,0.000000,47.098735,301.431902,376.789879,2.354937,15.898557,337.874548,47.098735,0.000000,0.000000,1883.949393,376.789879,12.500000,12.500000,32768000,"Low (1)","Low (1)","Low (2)","Idle (0)","Idle (0)","Low (1)",0,0,0,0,4194304000,0,2097152000,0,0,239206400,239209472,"Low (1)","Low (1)",35.416667,"Max (10)",2097152000,0,1998848000,0,131072000,3147366400,276889600,0,173467648,4198400,4198400,131481600,106752000,0,0.000000,0.995664,50.852824,11.829337,0.000000,22.718156,10.467110,0.001808,2.854570,0.030293,0.250237,0,5,27302562,1638406,0,0.000000,89.163204,61.542012,94.919556,38.732214,2.354937,26947161,1638400,39.243046,2.354945,0.000000,7.535156,"Low (1)",0.000000,0,"Low (1)",0.000000,0.588413,4.054471,0.000000
1536,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int)",99.651697,0.995858,0.592154,0.592157,5600.000000,100.000000,100.000000,99.964286,0.000007,10.732832,4.000000,8.000000,0.000000,0.000000,32.000000,32.000000,113246208,566231040,0,0,452984832,2359296,27782672,320778,88.454029,0.000000,44.026760,234.809384,352.214078,1.834448,21.602154,255.403934,44.026760,0.000000,0.000000,1761.070388,352.214078,12.500000,12.500000,56623104,"Low (1)","Low (1)","Low (2)","Idle (0)","Idle (0)","Low (1)",0,0,0,0,7247757312,0,3623878656,0,0,412876800,412879872,"Low (2)","Low (1)",35.416667,"Max (10)",3623878656,0,3444572160,0,226492416,5438177280,474218496,0,299337728,7225344,7225344,227082240,184393728,0,0.000000,0.991403,50.508072,12.646522,0.000000,22.451563,10.276178,0.000841,2.856253,0.018712,0.250457,0,5,52980516,2359302,0,0.000000,87.931020,47.897574,93.840663,41.410338,1.834448,53258107,2359296,41.194500,1.834453,0.000000,4.076172,"Low (1)",0.000000,0,"Low (1)",0.000000,0.587800,4.054593,0.000000
1792,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int)",99.788994,0.996279,0.591553,0.591580,6528.000000,100.000000,100.000000,99.969363,0.000004,10.720563,4.000000,8.000000,0.000000,0.000000,32.000000,32.000000,179830784,899153920,0,0,719323136,3211264,45853594,428213,88.266246,0.000000,43.929501,200.820577,351.436011,1.568911,22.402455,214.230862,43.929501,0.000000,0.000000,1757.180053,351.436011,12.500000,12.500000,89915392,"Low (1)","Low (1)","Low (2)","Idle (0)","Idle (0)","Low (1)",0,0,0,0,11509170176,0,5754585088,0,0,655097856,655100654,"Low (2)","Low (1)",35.416667,"Max (10)",5754585088,0,5459148800,0,359661568,8635088896,748224512,0,474867438,11440128,11440128,360464384,292726784,0,0.000000,0.991071,50.458713,12.808710,0.000000,22.386689,10.253505,0.000523,2.835448,0.015625,0.249716,0,5,85294095,3211270,0,0.000000,87.927251,47.194997,93.768497,41.048486,1.568911,84018497,3211264,41.671698,1.568914,0.000000,2.560547,"Low (1)",0.000000,0,"Low (1)",0.000000,0.586889,4.055304,0.000000
2048,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int)",99.809738,0.996946,0.591954,0.592000,7456.000000,100.000000,100.000000,99.973176,0.000003,10.726827,4.000000,8.000000,0.000000,0.000000,32.000000,32.000000,268435456,1342177280,0,0,1073741824,4194304,68864730,551059,88.081507,0.000000,42.458366,169.833463,339.666926,1.326824,21.784633,178.505436,42.458366,0.000000,0.000000,1698.334628,339.666926,12.500000,12.500000,134217728,"Low (1)","Low (1)","Low (2)","Idle (0)","Idle (0)","Low (1)",0,0,0,0,17179869184,0,8589934592,0,0,977272832,977275635,"Low (2)","Low (1)",35.416667,"Max (10)",8589934592,0,8136949760,0,536870912,12889096192,1111490560,0,708314867,17039360,17039360,537919488,436862976,0,0.000000,0.991848,50.924443,11.747390,0.000000,22.788241,10.429776,0.000439,2.858274,0.012311,0.247278,0,5,130508420,4194310,0,0.000000,87.614497,46.972884,93.750000,40.873692,1.326824,129208320,4194304,41.284965,1.326826,0.000000,1.658203,"Low (1)",0.000000,0,"Low (1)",0.000000,0.585632,4.058663,0.000000
2304,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int)",99.730193,0.996531,0.591281,0.591355,8384.000000,100.000000,100.000000,99.976145,0.000002,10.714075,4.000000,8.000000,0.000000,0.000000,32.000000,32.000000,382205952,1911029760,0,0,1528823808,5308416,98459005,699775,87.868071,0.000000,42.679752,151.750228,341.438015,1.185549,21.989223,160.034204,42.679752,0.000000,0.000000,1707.190073,341.438015,12.500000,12.500000,191102976,"Low (1)","Low (1)","Low (2)","Idle (0)","Idle (0)","Low (1)",0,0,0,0,24461180928,0,12230590464,0,0,1390804992,1390808064,"Low (2)","Low (1)",35.416667,"Max (10)",12230590464,0,11572346880,0,764411904,18351194112,1576599552,0,1007937536,24219648,24219648,765739008,621914112,0,0.000000,0.990514,50.484018,12.752929,0.000000,22.443848,10.233517,0.000304,2.834872,0.012001,0.247997,0,5,188718422,5308422,0,0.000000,87.489214,47.691290,93.750000,41.679351,1.185549,186623580,5308416,42.147200,1.185550,0.000000,1.170898,"Low (1)",0.000000,0,"Low (1)",0.000000,0.585675,4.056931,0.000000
2560,"GeForce GTX 980 (0)","2","14","matMul(float*, float*, float*, int)",99.865436,0.997636,0.591241,0.591278,9312.000000,100.000000,100.000000,99.978522,0.000001,10.711829,4.000000,8.000000,0.000000,0.000000,32.000000,32.000000,524288000,2621440000,0,0,2097152000,6553600,134974158,846141,87.740915,0.000000,42.385508,135.633626,339.084067,1.059638,21.823686,140.094204,42.385508,0.000000,0.000000,1695.420335,339.084067,12.500000,12.500000,262144000,"Low (1)","Low (1)","Low (2)","Idle (0)","Idle (0)","Low (1)",0,0,0,0,33554432000,0,16777216000,0,0,1907097600,1907100402,"Low (2)","Low (1)",35.416667,"Max (10)",16777216000,0,15859712000,0,1048576000,25172377600,2156134400,0,1381992178,33177600,33177600,1050214400,852992000,0,0.000000,0.991365,50.532792,12.668035,0.000000,22.490738,10.242466,0.000178,2.815134,0.011787,0.247504,0,5,259939234,6553606,0,0.000000,87.484679,48.735147,93.750000,41.510439,1.059638,256731909,6553600,42.029024,1.059639,0.000000,868.000000,"Low (1)",0.000000,0,"Low (1)",0.000000,0.585135,4.060379,0.000000
