256,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",3153920,3153920,1318912,1318912,0,0,313,35,346,377,0,0,1310720,1310720,4096,4096,1310720,1310720,4096,4096,1310893,942283,4097,4101,0,0,5,0,4800808,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,6988702,8436544,1190720,10815488,346095616,345899008,0,0,0,0,0,0,0,0,0,1048576,2048,0,141312,4204177,258353804,8289265,64,0,0,0,0
512,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",25198592,25198592,10518528,10518528,36796,38794,28562,21810,25189,25137,32582,32468,10485760,10485760,16384,16384,10453540,10453548,0,0,10485792,10485799,16388,16386,0,0,0,5,28134229,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,30098986,67298112,9478976,86253568,2760114176,2759327744,0,0,0,0,0,0,0,0,0,8388608,8192,0,1089536,26898401,1685668494,53941207,256,0,0,1,1
768,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",85008384,85008384,35463168,35463168,982976,736268,55658,42112,49038,48528,865016,864940,35389440,35389440,36864,36864,34530084,34530128,0,0,35389600,35389639,36865,26341,0,0,5,0,92293476,0,0,905969664,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,18432,106070003,226917184,31943488,290801664,9305653248,9303883776,0,0,0,0,0,0,0,0,0,28311552,18432,0,3631104,90996311,5649252854,181000436,576,0,0,0,0
1024,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",201457664,201457664,84017152,84017152,2513956,1892452,86653,66910,75999,54241,2204344,1575288,83886080,83886080,65536,65536,81690112,81690088,0,0,83886112,83886119,65541,65537,0,0,1,4,204391978,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,196737340,537625408,75662144,688947200,22046310400,22043164672,0,0,0,0,0,0,0,0,0,67108864,32768,0,8552448,202135066,12653952582,404672664,1024,0,0,0,0
1280,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",393420800,393420800,164044800,164044800,4879312,3650988,130886,99016,114917,114505,4277670,4276512,163840000,163840000,102400,102400,159596588,114011764,0,0,163845888,163845799,102400,102406,0,0,4,1,445248251,0,0,4194304000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,51200,577005877,1049754432,147712832,1345177600,43045683200,43040768000,0,0,0,0,0,0,0,0,0,131072000,51200,0,16640000,443395290,26856830408,888389186,1600,0,0,0,0
1536,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",679772160,679772160,283410432,283410432,8359068,6281688,181323,137542,158659,113256,7332297,5242996,283115520,283115520,147456,147456,275811096,275811336,0,0,283133120,283132839,147460,147458,0,0,4,1,713534488,0,0,7247757312,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,73728,785985487,1813635904,255173440,2323980288,74367369216,74360291328,0,0,0,0,0,0,0,0,0,226492416,73728,0,28680192,711577780,44271324282,1420983295,2304,0,0,0,0
1792,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",1079386112,1079386112,449978368,449978368,13222800,9934054,242208,183420,211983,151350,11600401,8293836,449576960,449576960,200704,200704,438016444,438017012,0,0,449600824,449600439,200705,200709,0,0,1,4,1120247758,0,0,11509170176,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,100352,1185015847,2879601472,405121856,3689842688,118074966016,118065332224,0,0,0,0,0,0,0,0,0,359661568,100352,0,45459456,1117113093,69722837774,2238175574,3136,0,0,0,0
2048,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",1611137024,1611137024,671612928,671612928,19692900,14821644,312522,235956,273484,195242,17269577,12346476,671088640,671088640,262144,262144,653867772,653868132,0,0,671123824,671123255,262145,262149,0,0,1,4,1584734549,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,1420948082,4297982784,604635968,5507252224,176232071168,176219488256,0,0,0,0,0,0,0,0,0,536870912,131072,0,67764224,1581836668,99332689322,3149054171,4096,0,0,0,0
2304,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",2293899264,2293899264,956178432,956178432,28141888,21238794,394366,295740,345046,344988,24679184,24677756,955514880,955514880,331776,236992,930919236,930920464,0,0,955567616,955566759,331781,331777,0,0,1,4,2406684725,0,0,24461180928,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,165888,2582710904,6119111488,860793664,7840696320,250902282240,250886356992,0,0,0,0,0,0,0,0,0,764411904,165888,0,96380928,2402386381,150075660244,4772200190,5184,0,0,0,0
2560,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",3146547200,3146547200,1311539200,1311539200,38887688,29355841,483226,360842,422842,422832,34088252,34095916,1310720000,936181760,409600,409600,1276800080,1276789948,0,0,1310790760,1310789615,409600,409606,0,0,0,5,3344444086,0,0,33554432000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,204800,3748007063,8393319232,1180672832,10754662400,344149196800,344129536000,0,0,0,0,0,0,0,0,0,1048576000,204800,0,132096000,3341587476,207723104242,6654072289,6400,0,0,0,0
