256,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",557056,557056,557056,557056,0,0,6,29,21,26,0,0,524288,524288,32768,32768,524288,524288,32768,32768,524457,377003,32772,32770,0,0,4,1,7183487,0,0,1048576,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,22691922,541504,533312,1605632,51380224,51249152,0,0,655360,32768,0,0,0,0,0,32768,2048,0,20480,5936665,354285162,10771053,64,3670016,1015808,4718592,1048576
512,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",4325376,4325376,4325376,4325376,19276,14560,21882,16732,19325,19333,16864,16872,4194304,4194304,131072,131072,4177416,4177412,126976,126976,4194336,4194343,131072,131078,0,0,4,1,47858355,0,0,8388608,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,179049058,4129600,4227904,12582912,402653184,402128896,0,0,5242880,262144,0,0,0,0,0,262144,8192,0,147456,46810869,2958317598,92752417,256,29360128,8126464,37748736,8388608
768,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",14450688,14450688,14450688,14450688,988880,757952,55858,42112,48993,49033,870936,870884,14155776,14155776,294912,294912,13285916,13286048,285696,285696,14155973,10113211,294917,294913,0,0,5,0,160586604,0,0,28311552,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,18432,605240510,13714240,14230336,42172416,1349517312,1348337664,0,0,17694720,884736,0,0,0,0,0,884736,18432,0,479232,158285197,10056648902,314711754,576,99090432,27426816,127401984,28311552
1024,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",34078720,34078720,34078720,34078720,2495980,1886332,89362,67018,78105,78205,2195968,2195688,33554432,33554432,524288,524288,31367328,31367372,507904,507904,33566176,33565991,524292,524290,0,0,4,1,377900561,0,0,67108864,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,1434505722,32244544,33686336,99614720,3187671040,3185573888,0,0,41943040,2097152,0,0,0,0,0,2097152,32768,0,1114112,374857034,23910455300,748247805,1024,234881024,65011712,301989888,67108864
1280,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",66355200,66355200,66355200,66355200,4844036,3671996,131406,98888,115126,115156,4255634,4255436,65536000,65536000,819200,819200,61293816,61293800,793600,793600,65553390,65553199,819201,819205,0,0,5,0,735633628,0,0,131072000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,51200,2802711030,62669632,65741632,194150400,6212812800,6209536000,0,0,81920000,4096000,0,0,0,0,0,4096000,51200,0,2150400,732261945,46719417008,1460968659,1600,458752000,126976000,589824000,131072000
1536,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",114425856,114425856,114425856,114425856,8478240,6404852,182582,137154,160025,159981,7448720,7447560,113246208,113246208,1179648,1179648,105945472,105945148,1142784,815920,113269664,113269287,1179652,1179650,0,0,4,1,1265232087,0,0,226492416,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,73728,4835812938,107938624,113541952,335020032,10720641024,10715922432,0,0,141557760,7077888,0,0,0,0,0,7077888,73728,0,3686400,1262761885,80668625414,2523157359,2304,792723456,219414528,1019215872,226492416
1792,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",181436416,181436416,181436416,181436416,13196560,10013668,243722,183242,213418,213536,11581408,11580756,179830784,179830784,1605632,1605632,168011460,168012164,1555456,1555456,179872048,179871367,1605633,1605637,0,0,5,0,2013704490,0,0,359661568,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,100352,7677766714,171000640,180233024,531464192,17006854144,17000431616,0,0,224788480,11239424,0,0,0,0,0,11239424,100352,0,5820416,2006952775,128217207064,4009656639,3136,1258815488,348422144,1618477056,359661568
2048,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",270532608,270532608,270532608,270532608,19724668,14891408,313964,235742,274730,274748,17316064,17315168,268435456,268435456,2097152,2097152,251178580,251178504,2031616,2031616,268494026,268493055,2097156,2097154,0,0,0,5,2998489798,0,0,536870912,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,11439016025,254804800,268960576,792723456,25367150592,25358761984,0,0,335544320,16777216,0,0,0,0,0,16777216,131072,0,8650752,2993511747,191326179928,5983629859,4096,1879048192,520093696,2415919104,536870912
2304,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",384860160,384860160,384860160,384860160,28946824,21414988,392389,295498,343265,245194,25429601,18190784,382205952,382205952,2654208,2654208,357148144,357149284,2571264,2571264,382288064,382286759,2654209,2654213,0,0,1,4,4262125593,0,0,764411904,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,165888,16309917170,362300224,382870336,1128038400,36097228800,36086611968,0,0,477757440,23887872,0,0,0,0,0,23887872,165888,0,12275712,4258547548,272219650764,8524719938,5184,2675441664,740524032,3439853568,764411904
2560,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",527564800,527564800,527564800,527564800,39294536,29652524,482674,362316,422565,422613,34505188,34501924,524288000,524288000,3276800,3276800,489989204,489990396,3174400,3174400,524405168,524403255,3276800,3276806,0,0,0,5,5856090730,0,0,1048576000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,204800,22379230369,496436032,525108032,1546649600,49492787200,49479680000,0,0,655360000,32768000,0,0,0,0,0,32768000,204800,0,16793600,5850336483,374019464210,11687315743,6400,3670016000,1015808000,4718592000,1048576000
