256,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",85.164778,0.921219,0.561966,0.562407,5281.000000,100.000000,100.000000,99.943193,0.000231,12.512596,0.000000,0.000000,0.000000,0.000000,18.000000,32.000000,0,0,0,0,18874368,65536,22,1361,8.333333,0.000000,51.274257,198.881965,410.194053,1.553765,546.924805,33.041791,99.440983,0.000000,0.000000,0.000000,0.000000,12.500000,12.500000,4194304,"Low (1)","Low (2)","Low (1)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,33554432,0,16777216,0,0,10815488,10817984,"Low (1)","Low (1)",0.000000,"Idle (0)",16777216,0,244121600,0,4325376,33619968,47054848,0,9627264,141312,141312,4210688,1058816,0,0.000000,0.294654,28.584103,5.292669,7.818152,0.000000,57.095767,0.020527,0.375832,0.347121,0.171175,0,5,17301863,65542,0,0.000000,8.304498,100.000000,100.000000,410.194053,1.553765,17301504,65536,410.202564,1.553908,0.000000,124.300781,"High (8)",0.000000,0,"Low (1)",0.000000,0.600844,0.585361,0.000000
512,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",97.486366,0.935982,0.557970,0.558327,10529.000000,100.000000,100.000000,99.971507,0.000029,12.424268,0.000000,0.000000,0.000000,0.000000,18.000000,32.000000,0,0,0,0,150994944,262144,44890,38516,8.333333,0.000000,58.466254,113.389097,467.730030,907.112784,155.335589,133.279251,113.389098,0.000000,0.000000,0.000000,0.000000,12.500000,12.500000,33554432,"Low (1)","Low (2)","Low (1)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,268435456,0,134217728,0,0,86253568,86256064,"Low (1)","Low (2)",0.000000,"Idle (0)",134217728,0,1949564928,0,34078720,268697600,372768768,0,76777088,1089536,1089536,33619968,8429568,0,0.000000,0.284086,28.996567,4.849625,7.988653,0.000000,57.123465,0.004264,0.371967,0.230027,0.151346,0,5,138423445,262150,0,0.000000,8.318891,99.975644,96.875000,467.730030,907.112784,138412032,262144,467.768597,907.133547,0.000000,17.716797,"High (9)",0.000000,0,"Low (1)",0.000000,0.586584,0.663276,0.000000
768,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",98.625121,0.939800,0.525522,0.524891,15777.000000,100.000000,100.000000,99.980985,0.000009,11.680844,0.000000,0.000000,0.000000,0.000000,18.000000,32.000000,0,0,0,0,509607936,589824,1768548,97274,8.333333,0.000000,55.203931,71.374780,441.631450,570.998238,1.671973,94.169248,107.062170,0.000000,0.000000,0.000000,0.000000,12.500000,12.500000,113246208,"Low (1)","Low (2)","Low (1)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,905969664,0,452984832,0,0,290801664,290804160,"Low (1)","Low (2)",0.000000,"Idle (0)",452984832,0,6575947776,0,114425856,906559488,1253965824,0,258860672,3631104,3631104,113393664,28403712,0,0.000000,0.267184,29.007508,4.535540,8.242317,0.000000,57.309688,0.001117,0.345624,0.162291,0.128731,0,5,467153257,589830,0,0.000000,8.323699,99.626507,96.875000,441.631450,570.998238,467140608,589824,441.643408,571.004046,0.000000,4.956055,"High (8)",0.000000,0,"Low (1)",0.000000,0.544089,0.631318,0.000000
1024,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",99.464920,0.936621,0.553859,0.550390,21025.000000,100.000000,100.000000,99.985731,0.000004,12.248628,0.000000,0.000000,0.000000,0.000000,18.000000,32.000000,0,0,0,0,1207959552,1048576,4401872,155900,8.333333,0.000000,58.179006,56.416005,465.432045,451.328043,1.850248,67.102471,112.832011,0.000000,0.000000,0.000000,0.000000,12.500000,12.500000,268435456,"Low (1)","Low (2)","Low (1)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,2147483648,0,1073741824,0,0,688947200,688949696,"Low (1)","Low (2)",0.000000,"Idle (0)",1073741824,0,15582887936,0,270532608,2148532224,2967470080,0,613287552,8552448,8552448,268697600,67272704,0,0.000000,0.281246,29.306878,5.075022,8.072815,0.000000,56.626665,0.000519,0.367762,0.124144,0.144950,0,5,1107343079,1048582,0,0.000000,8.326106,99.606358,96.875000,465.432045,451.328043,1107296256,1048576,465.451726,451.330626,0.000000,2.203125,"High (9)",0.000000,0,"Low (1)",0.000000,0.575461,0.670555,0.000000
1280,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",99.450381,0.941379,0.497662,0.496773,26273.000000,100.000000,100.000000,99.988581,0.000002,11.055574,0.000000,0.000000,0.000000,0.000000,18.000000,32.000000,0,0,0,0,2359296000,1638400,8547588,230453,8.333333,0.000000,53.000155,41.115271,424.001236,328.922171,1.675779,46.265320,102.788179,0.000000,0.000000,0.000000,0.000000,12.500000,12.500000,524288000,"Low (1)","Low (1)","Low (1)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,4194304000,0,2097152000,0,0,1345177600,1345180096,"Low (1)","Low (1)",0.000000,"Idle (0)",2097152000,0,30430003200,0,527564800,4195942400,5790105600,0,1197467264,16640000,16640000,524697600,131328000,0,0.000000,0.255768,29.098351,4.537338,8.455773,0.000000,57.107644,0.000246,0.327885,0.100827,0.116169,0,5,2162793039,1638406,0,0.000000,8.327550,99.609908,96.863342,424.001236,328.922171,2162688000,1638400,424.021830,328.923375,0.000000,1.027344,"High (8)",0.000000,0,"Low (1)",0.000000,0.511565,0.602301,0.000000
1536,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",99.669003,0.941842,0.522779,0.523902,31521.000000,100.000000,100.000000,99.990483,0.000001,11.659445,0.000000,0.000000,0.000000,0.000000,18.000000,32.000000,0,0,0,0,4076863488,2359296,14796773,322174,8.333333,0.000000,54.999436,35.555191,439.995491,284.441529,1.742118,38.841953,106.665574,0.000000,0.000000,0.000000,0.000000,12.500000,12.500000,905969664,"Low (1)","Low (2)","Low (1)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,7247757312,0,3623878656,0,0,2323980288,2323982784,"Low (1)","Low (2)",0.000000,"Idle (0)",3623878656,0,52576911360,0,910688256,7250116608,9998696448,0,2068809344,28680192,28680192,906559488,226861056,0,0.000000,0.265437,29.124818,4.490648,8.293239,0.000000,57.268152,0.000147,0.346262,0.084034,0.127264,0,5,3737299175,2359302,0,0.000000,8.328514,99.608913,96.827994,439.995491,284.441529,3737124864,2359296,440.016014,284.442252,0.000000,632.000000,"High (8)",0.000000,0,"Low (1)",0.000000,0.542490,0.634213,0.000000
1792,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",99.770078,0.936171,0.530607,0.530698,36769.000000,100.000000,100.000000,99.991841,0.000001,11.810766,0.000000,0.000000,0.000000,0.000000,18.000000,32.000000,0,0,0,0,6473908224,3211264,23674079,439643,8.333333,0.000000,55.683466,30.854907,445.467730,246.839261,1.777098,33.793905,107.992177,0.000000,0.000000,0.000000,0.000000,12.500000,12.500000,1438646272,"Low (1)","Low (2)","Low (1)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,11509170176,0,5754585088,0,0,3689842688,3689845184,"Low (1)","Low (2)",0.000000,"Idle (0)",5754585088,0,83483230208,0,1445068800,11512381440,15870066688,0,3284723328,45459456,45459456,1439449088,360163328,0,0.000000,0.268375,29.029404,4.791943,8.153455,0.000000,57.205146,0.000089,0.349880,0.071641,0.130067,0,5,5934695439,3211270,0,0.000000,8.329202,99.604584,96.501160,445.467730,246.839261,5934415872,3211264,445.488716,246.839723,0.000000,403.000000,"High (8)",0.000000,0,"Low (1)",0.000000,0.550014,0.645637,0.000000
2048,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",99.850105,0.929907,0.551648,0.549377,42017.000000,100.000000,100.000000,99.992860,0.000000,12.226535,0.000000,0.000000,0.000000,0.000000,18.000000,32.000000,0,0,0,0,9663676416,4194304,35745754,593334,8.333333,0.000000,57.190744,27.728846,457.525956,221.830766,1.846232,31.380589,110.915383,0.000000,0.000000,0.000000,0.000000,12.500000,12.500000,2147483648,"Low (1)","Low (2)","Low (1)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,17179869184,0,8589934592,0,0,5507252224,5507254720,"Low (1)","Low (2)",0.000000,"Idle (0)",8589934592,0,124608577536,0,2155872256,17184063488,23681040384,0,4902618752,67764224,67764224,2148532224,537526272,0,0.000000,0.281016,29.209252,5.310692,7.993501,0.000000,56.633729,0.000066,0.366330,0.062717,0.142697,0,5,8858776005,4194310,0,0.000000,8.335919,99.601765,112.252528,457.525956,190.121314,8858370048,3594752,457.546923,221.831083,0.000000,277.000000,"High (9)",0.000000,0,"Low (1)",0.000000,0.572829,0.668035,0.000000
2304,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",99.891506,0.937988,0.525924,0.525510,47265.000000,100.000000,100.000000,99.993653,0.000000,11.695422,0.000000,0.000000,0.000000,0.000000,18.000000,32.000000,0,0,0,0,13759414272,5308416,54701278,805692,8.333333,0.000000,55.155153,23.770571,441.241221,190.164566,1.913648,28.862483,106.967569,0.000000,0.000000,0.000000,0.000000,12.500000,12.500000,3057647616,"Low (1)","Low (2)","Low (1)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,24461180928,0,12230590464,0,0,7840696320,7840698816,"Low (1)","Low (2)",0.000000,"Idle (0)",12230590464,0,177412571136,0,3068264448,24466489344,33708441600,0,6979905152,96380928,96380928,3058974720,765241344,0,0.000000,0.265186,29.094180,4.621101,8.264502,0.000000,57.224718,0.000041,0.347012,0.055988,0.127272,0,5,12613389591,5308422,0,0.000000,8.330120,99.572644,95.301216,441.241221,190.164566,12612796416,5308416,441.261972,190.164781,0.000000,187.000000,"High (8)",0.000000,0,"Low (1)",0.000000,0.544057,0.639643,0.000000
2560,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",99.840797,0.942681,0.500380,0.500475,52513.000000,100.000000,100.000000,99.994287,0.000000,11.138295,0.000000,0.000000,0.000000,0.000000,18.000000,32.000000,0,0,0,0,18874368000,6553600,85297796,1105715,8.333333,0.000000,52.387538,20.320014,419.100303,162.560117,2.066198,27.426934,101.600073,0.000000,0.000000,0.000000,0.000000,12.500000,12.500000,4194304000,"Low (1)","Low (1)","Low (1)","Idle (0)","Idle (0)","Low (2)",0,0,0,0,33554432000,0,16777216000,0,0,10754662400,10754664896,"Low (1)","Low (1)",0.000000,"Idle (0)",16777216000,0,243354828800,0,4207411200,33560985600,46229094400,0,9573992064,132096000,132096000,4195942400,1049600000,0,0.000000,0.256487,29.145697,4.429156,8.343062,0.000000,57.326913,0.000030,0.330135,0.050637,0.117883,0,5,17302365095,6553606,0,0.000000,8.330441,99.519017,92.945618,419.100303,162.560117,17301504000,6553600,419.121161,162.560266,0.000000,130.000000,"High (8)",0.000000,0,"Low (1)",0.000000,0.515969,0.608529,0.000000
