256,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,97.746693,1.011716,0.467193,40.261487,429.455862,97.746693,1.011716,0.613895,0.000000,0.259334,0.000000,0.000000,0.000000,433.387648,429.455862,429.455862,134.204957,0.000000,0.000000,30.000000,100.000000,99.687500,0.000000,134.204957,0.000000,0.000000,100.000000,0.000000,1.626290,2973.000000,36.147844,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,2621440,8192,0,8,0,8267,8192,2621614,8194,0.000000,0.000000,0.000000,0.000000,134.213865,429.560709,0.000000,429.455078,99.899092,558542,270336,3086836,1050624,33554432,0,0,16777216,0,0,0,0,0,3.669497,25.339180,22.425098,0.000000,0.000000,1.248668,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",6088704,9826526,8737370,0.000000,0,0.000000,0.000000,0.000000,0.000000,16777216,0,126484480,0,8454144,33619968,9306112,0,0.000000,0,0.000000,2621440,8192,0,429.455862,0,0,0.000000,9.591834,0.059466,1.413718,0.000000,25.590745,12.075512,4.806872,0.000000
512,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.670469,1.033313,0.491194,42.093740,224.499949,99.670469,1.033313,0.613141,0.000000,0.260098,0.000000,0.000000,0.000000,3.170785,224.499949,224.499949,140.312468,0.000000,0.000000,30.000000,100.000000,97.746944,0.000000,140.312468,0.000000,0.001314,100.000000,0.000000,1.666300,5917.000000,37.097615,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,20971520,32768,0,5,0,473915,32768,20974588,32773,0.000000,0.000000,0.000000,0.000000,140.332995,224.534204,0.000000,35.077148,99.949299,4340617,2129920,24867502,8396800,268435456,0,0,134217728,0,0,0,0,0,3.566344,24.406706,23.686509,0.000000,0.000000,1.210004,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",48472064,78192260,69633798,0.000000,0,0.000000,0.000000,0.000000,0.000000,134217728,0,1009254400,0,67371008,268697600,70778880,0,0.000000,0,0.000000,20971520,33044,0,226.390878,0,0,0.000000,9.563506,0.007118,1.484317,0.000000,25.444772,12.115041,5.049121,0.000000
768,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.271301,1.040113,0.498715,42.289160,150.361459,99.271301,1.040113,0.584694,0.000000,0.260354,0.000000,0.000000,0.000000,12.919079,151.472936,150.361459,140.963868,0.000000,0.000000,30.000000,100.000000,90.834512,0.000000,140.963868,0.000000,0.000000,100.000000,0.000000,1.644450,8861.000000,36.745887,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,70778880,73728,0,8,0,6486754,74273,70783601,74035,0.000000,0.000000,0.000000,0.000000,140.973270,150.987556,0.000000,16.706055,99.966144,13265789,7151616,82461244,28329984,905969664,0,0,452984832,0,0,0,0,0,3.455396,23.767248,28.368508,0.000000,0.000000,1.108611,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",163325952,258618321,231157153,0.000000,0,0.000000,0.000000,0.000000,0.000000,452984832,0,3403284480,0,227082240,906559488,234749952,0,0.000000,0,0.000000,70778880,73728,0,150.361459,0,0,0.000000,8.420875,0.002132,1.489250,0.000000,24.303833,10.573396,4.623527,0.000000
1024,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.797808,1.042645,0.498533,42.670588,113.788235,99.797808,1.042645,0.578145,0.000000,0.260483,0.000000,0.000000,0.000000,13.995519,113.789971,113.788235,142.235294,0.000000,0.000000,30.000000,100.000000,90.171654,0.000000,142.235294,0.000000,0.000148,100.000000,0.000000,1.644170,11805.000000,36.757884,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,167772160,131072,0,8,0,16508269,131074,167783260,131779,0.000000,0.000000,0.000000,0.000000,142.244705,114.402006,0.000000,7.111328,99.974587,30889017,16908288,194135160,67141632,2147483648,0,0,1073741824,0,0,0,0,0,3.449472,23.753159,28.869495,0.000000,0.000000,1.095464,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",386826240,610480934,545928651,0.000000,0,0.000000,0.000000,0.000000,0.000000,1073741824,0,8063549440,0,537919488,2148532224,551550976,0,0.000000,0,0.000000,167772160,131320,0,114.003532,0,0,0.000000,8.295111,0.000896,1.503122,0.000000,24.086669,10.449734,4.593191,0.000000
1280,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.855422,1.042285,0.498704,42.746531,91.192599,99.855422,1.042285,0.576472,0.000000,0.260560,0.000000,0.000000,0.000000,14.294656,91.193045,91.192599,142.488437,0.000000,0.000000,30.000000,100.000000,89.990444,0.000000,142.488437,0.000000,0.000000,100.000000,0.000000,1.642900,14749.000000,36.739836,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,327680000,204800,0,13,0,32873354,204801,327703240,204909,0.000000,0.000000,0.000000,0.000000,142.498543,91.241135,0.000000,5.926758,99.979660,59907980,32972800,378713326,131123200,4194304000,0,0,2097152000,0,0,0,0,0,3.443140,23.720730,29.120449,0.000000,0.000000,1.087348,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",755148800,1190471083,1064892298,0.000000,0,0.000000,0.000000,0.000000,0.000000,2097152000,0,15745024000,0,1050214400,4195942400,1071513600,0,0.000000,0,0.000000,327680000,204800,0,91.192599,0,0,0.000000,8.232517,0.000457,1.505255,0.000000,24.028733,10.366624,4.569734,0.000000
1536,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.772457,1.039102,0.499667,42.619721,75.768392,99.772457,1.039102,0.578251,0.000000,0.260612,0.000000,0.000000,0.000000,14.431417,75.843669,75.768392,142.065736,0.000000,0.000000,30.000000,100.000000,89.866254,0.000000,142.065736,0.000000,0.000025,100.000000,0.000000,1.642059,17693.000000,36.728529,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,566231040,294912,0,5,0,57519262,295205,566253495,295060,0.000000,0.000000,0.000000,0.000000,142.071370,75.806416,0.000000,1.314453,99.983044,103367797,56918016,657401550,226566144,7247757312,0,0,3623878656,0,0,0,0,0,3.424769,23.588047,29.020116,0.000000,0.000000,1.080052,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",1304469504,2058779769,1841981413,0.000000,0,0.000000,0.000000,0.000000,0.000000,3623878656,0,27202682880,0,1814298624,7250116608,1844969472,0,0.000000,0,0.000000,566231040,295056,0,75.805388,0,0,0.000000,8.264710,0.000343,1.501732,0.000000,24.213108,10.408854,4.591018,0.000000
1792,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.917993,1.043480,0.499504,42.828058,65.261803,99.917993,1.043480,0.576303,0.000000,0.260648,0.000000,0.000000,0.000000,14.425791,65.261803,65.261803,142.760195,0.000000,0.000000,30.000000,100.000000,89.915593,0.000000,142.760195,0.000000,0.000004,100.000000,0.000000,1.644250,20637.000000,36.771545,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,899153920,401408,0,1,0,90858708,401408,899212872,401415,0.000000,0.000000,0.000000,0.000000,142.769555,65.262940,0.000000,170.000000,99.985463,164121826,90316800,1038385630,359761920,11509170176,0,0,5754585088,0,0,0,0,0,3.435662,23.709109,29.178847,0.000000,0.000000,1.086273,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",2070964224,3264467375,2920216497,0.000000,0,0.000000,0.000000,0.000000,0.000000,5754585088,0,43191500800,0,2880503808,11512381440,2922250240,0,0.000000,0,0.000000,899153920,401444,0,65.267655,0,0,0.000000,8.221750,0.000166,1.508334,0.000000,24.008347,10.359845,4.573131,0.000000
2048,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.949439,1.043044,0.499565,42.839422,57.119228,99.949439,1.043044,0.577061,0.000000,0.260676,0.000000,0.000000,0.000000,14.434590,57.119228,57.119228,142.798073,0.000000,0.000000,30.000000,100.000000,89.919501,0.000000,142.798073,0.000000,0.000007,100.000000,0.000000,1.644891,23581.000000,36.785690,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,1342177280,524288,0,14,0,135672550,524288,1342264272,458758,0.000000,0.000000,0.000000,0.000000,142.807328,49.979979,0.000000,1.561523,99.987278,245233832,134742016,1550999126,537001984,17179869184,0,0,8589934592,0,0,0,0,0,3.441097,23.702219,29.080065,0.000000,0.000000,1.085097,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",3090808832,4874516968,4360469391,0.000000,0,0.000000,0.000000,0.000000,0.000000,8589934592,0,64466452480,0,4299161600,17184063488,4353687552,0,0.000000,0,0.000000,1342177280,524388,0,57.130123,0,0,0.000000,8.250904,0.000113,1.508949,0.000000,24.040941,10.399564,4.586987,0.000000
2304,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.902208,1.042862,0.499888,42.830464,50.762031,99.902208,1.042862,0.577331,0.000000,0.260697,0.000000,0.000000,0.000000,14.571231,50.762108,50.762031,142.768214,0.000000,0.000000,30.000000,100.000000,100.000000,0.000000,124.922187,0.000000,"<INVALID>",100.000000,0.000000,1.644940,26525.000000,36.787839,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,1911029760,663552,0,5,0,195043804,663553,1911140327,663559,0.000000,0.000000,0.000000,0.000000,142.776474,50.762567,0.000000,401.000000,99.988690,349075452,191766528,2210107587,764577792,24461180928,0,0,12230590464,0,0,0,0,0,3.433867,23.675326,29.114971,0.000000,0.000000,1.084474,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",4400179200,6940537675,6208788202,0.000000,0,0.000000,0.000000,0.000000,0.000000,12230590464,0,91782512640,0,6120603648,24466489344,6189613056,0,0.000000,0,0.000000,1672151040,663592,0,50.765091,0,0,0.000000,8.246584,0.000078,1.508282,0.000000,24.054422,10.390277,4.586832,0.000000
2560,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.944364,1.042989,0.499727,42.859412,45.716705,99.944364,1.042989,0.575933,0.000000,0.260715,0.000000,0.000000,0.000000,14.481325,45.716817,45.716705,142.864707,0.000000,0.000000,30.000000,100.000000,89.891358,0.000000,142.864707,0.000000,0.000000,100.000000,0.000000,1.643725,29469.000000,36.766851,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,2621440000,819200,0,8,0,265719407,819202,2621589068,819210,0.000000,0.000000,0.000000,0.000000,142.872831,45.717264,0.000000,468.000000,99.989820,476507152,262963200,3028757149,1048780800,33554432000,0,0,16777216000,0,0,0,0,0,3.429746,23.667751,29.201775,0.000000,0.000000,1.081037,"Low (1)","Mid (4)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",6035251200,9511047821,8509728282,0.000000,0,0.000000,0.000000,0.000000,0.000000,16777216000,0,125894656000,0,8395161600,33560985600,8480358400,0,0.000000,0,0.000000,2621440000,819200,0,45.716705,0,0,0.000000,8.224646,0.000057,1.509307,0.000000,24.031222,10.363767,4.576802,0.000000
