256,"Graphics Device (0)","2","14","matMul(float*, float*, float*, int, int)",9469952,9469952,4489216,4489216,0,0,6,12,4,14,0,0,4456448,4456448,32768,32768,4456448,4456448,32768,32768,4456496,4456503,32772,32770,0,0,0,5,18720648,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,53282609,8174394,1191395,10553344,337707008,337510400,0,0,0,0,0,0,0,0,0,1048576,2048,0,139264,15670090,927199654,116648645,256,0,0,0,0
512,"Graphics Device (0)","2","14","matMul(float*, float*, float*, int, int)",75628544,75628544,35782656,35782656,10855,9816,19069,19621,19167,19162,10764,10691,35651584,35651584,131072,131072,35641736,35641632,127018,127014,35651632,35651639,131077,131073,0,0,1,4,90525988,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,257766607,65201664,9479680,84156416,2693005312,2692218880,0,0,0,0,0,0,0,0,0,8388608,8192,0,1081344,83167618,5172839632,658703459,1024,0,0,0,0
768,"Graphics Device (0)","2","14","matMul(float*, float*, float*, int, int)",255098880,255098880,120619008,120619008,71499,72552,51892,51513,51746,51877,72416,72327,120324096,120324096,294912,294912,120251872,120251684,285696,285696,120324144,120324151,294916,294914,0,0,4,1,302868328,0,0,905969664,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,18432,932900810,219839276,31944192,283723776,9079160832,9077391360,0,0,0,0,0,0,0,0,0,28311552,18432,0,3612672,299377764,18809012436,2373437916,2304,0,0,0,0
1024,"Graphics Device (0)","2","14","matMul(float*, float*, float*, int, int)",604504064,604504064,285736960,285736960,1515313,1602293,88503,88239,88445,88449,1513038,1513075,285212672,285212672,524288,524288,283631892,283632072,502312,502309,285212912,285212919,524292,524290,0,0,0,5,676496732,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,2060414872,520848187,75662848,672169984,21509439488,21506293760,0,0,0,0,0,0,0,0,0,67108864,32768,0,8519680,665887956,41583534308,5290019214,4096,0,0,0,0
1280,"Graphics Device (0)","2","14","matMul(float*, float*, float*, int, int)",1180467200,1180467200,557875200,557875200,5167325,5956476,125161,125155,125298,125125,5177968,5173554,557056000,557056000,819200,819200,551348926,551353895,775693,775648,557056088,557056095,819200,819206,0,0,0,5,1375176324,0,0,4194304000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,51200,4261900171,1016986437,147713536,1312409600,41997107200,41992192000,0,0,0,0,0,0,0,0,0,131072000,51200,0,16588800,1366224061,85730930692,10819099887,6400,0,0,0,0
1536,"Graphics Device (0)","2","14","matMul(float*, float*, float*, int, int)",2039611392,2039611392,963772416,963772416,12774201,12354656,170362,167366,170454,170434,12774795,12774001,962592768,962592768,1179648,1179648,949831133,949832523,1114277,1114288,962592848,962592871,1179648,1179654,0,0,0,5,2321334296,0,0,7247757312,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,73728,7265263002,1757013504,255174144,2267357184,72555429888,72548352000,0,0,0,0,0,0,0,0,0,226492416,73728,0,28606464,2314689297,145400929762,18511860602,9216,0,0,0,0
1792,"Graphics Device (0)","2","14","matMul(float*, float*, float*, int, int)",3238559744,3238559744,1530167296,1530167296,21583527,21526145,224389,224080,224402,224318,21576789,21578120,1528561664,1528561664,1605632,1605632,1507174582,1507174444,1507775,1507845,1528561736,1528561743,1605637,1605633,0,0,1,4,3727763820,0,0,11509170176,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,100352,11667528405,2789686080,405122560,3599927296,115197673472,115188039680,0,0,0,0,0,0,0,0,0,359661568,100352,0,45359104,3718786177,233952921092,29666720506,12544,0,0,0,0
2048,"Graphics Device (0)","2","14","matMul(float*, float*, float*, int, int)",4833935360,4833935360,2283798528,2283798528,33046743,33122792,287701,287672,287783,287793,33048933,33048493,2281701376,2281701376,2097152,2097152,2248620159,2248620953,1965424,1965441,2281701424,2281701431,2097153,2097157,0,0,1,4,5334606996,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,16148082883,4163765760,604636672,5373034496,171937103872,171924520960,0,0,0,0,0,0,0,0,0,536870912,131072,0,67633152,5322777279,335385350700,41774807444,16384,0,0,0,0
2304,"Graphics Device (0)","2","14","matMul(float*, float*, float*, int, int)",6882361344,6882361344,3251404800,3251404800,47654596,47718941,358221,358128,358243,358468,47647276,47654694,3248750592,3248750592,2654208,2654208,3201157393,3201149734,2486974,2486891,3248750664,3248750671,2654209,2654213,0,0,5,0,7737931396,0,0,24461180928,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,165888,24131982127,5928008521,860794368,7649593344,244786987008,244771061760,0,0,0,0,0,0,0,0,0,764411904,165888,0,96215040,7728232995,486941970132,61765899148,20736,0,0,0,0
2560,"Graphics Device (0)","2","14","matMul(float*, float*, float*, int, int)",9440460800,9440460800,4459724800,4459724800,65955811,65958516,440132,439668,439989,440171,65934308,65961567,4456448000,4456448000,3276800,3276800,4390448292,4390413932,3066826,3066686,4456448208,4456448239,3276804,3276802,0,0,4,1,10364230124,0,0,33554432000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,204800,32091872493,8131175245,1180673536,10492518400,335760588800,335740928000,0,0,0,0,0,0,0,0,0,1048576000,204800,0,131891200,10355505678,653349435966,82722074844,25600,0,0,0,0
