128,"GeForce GTX 970 (1)","2","14","matMul(float*, float*, float*, int, int)",395264,395264,133120,133120,700,180,8,14,4,0,640,460,131072,131072,1024,1024,131072,131072,1024,1024,131227,131224,1025,1029,0,0,4,1,474714,0,0,4194304,0,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,512,402508,1062912,150528,1362432,43597824,43548672,0,0,0,0,0,0,0,0,0,131072,512,0,18944,417041,13993154,1733493,64,0,0,1,0
256,"GeForce GTX 970 (1)","2","14","matMul(float*, float*, float*, int, int)",3153920,3153920,1056768,1056768,0,4155,179,482,118,140,0,0,1048576,745472,4096,4096,1048576,1048576,4096,4096,1049559,1049576,4101,4097,0,0,0,5,2962405,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,1516310,8444736,1190720,10823680,346357760,346161152,0,0,0,0,0,0,0,0,0,1048576,2048,0,141312,2781765,156370012,20016377,256,0,0,0,0
512,"GeForce GTX 970 (1)","2","14","matMul(float*, float*, float*, int, int)",25198592,25198592,8421376,8421376,44924,41183,26956,20246,23620,23590,39420,39391,8388608,8388608,16384,16384,8356132,8356144,8192,8192,8398259,8398292,16390,16384,0,0,5,0,21465200,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,7289704,67330794,9478976,86286336,2761162752,2760376320,0,0,0,0,0,0,0,0,0,8388608,8192,0,1089536,21051540,1260652596,163731392,1024,0,0,0,0
1024,"GeForce GTX 970 (1)","2","14","matMul(float*, float*, float*, int, int)",201457664,201457664,67239936,67239936,4859145,3691243,87921,66178,77023,54893,4251929,3040065,67108864,67108864,65536,65536,62889844,62890420,18336,18342,67166183,67166164,65537,65541,0,0,0,5,168564980,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,57446790,537756480,75662144,689078272,22050504704,22047358976,0,0,0,0,0,0,0,0,0,67108864,32768,0,8552448,167912164,10235177874,1334804598,4096,0,0,0,0
2048,"GeForce GTX 970 (1)","2","14","matMul(float*, float*, float*, int, int)",1611137024,1611137024,537395200,537395200,51329899,33146423,313158,234575,273965,273953,44774548,44776494,536870912,383451136,262144,262144,497864784,497868965,43078,42728,537552355,537552394,262145,262149,0,0,0,5,1333424652,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,416689156,4298507072,604635968,5507776512,176248848384,176236265472,0,0,0,0,0,0,0,0,0,536870912,131072,0,67764224,1331614031,81110556494,10700125835,16384,0,0,0,0
4096,"GeForce GTX 970 (1)","2","14","matMul(float*, float*, float*, int, int)",12886999040,12886999040,4297064448,4297064448,773105671,553370245,1222041,909232,1069341,1069318,676154905,676156520,4294967296,4294967296,1048576,1048576,3587595684,3587605350,46452,46454,4301123811,4301123680,1048581,1048577,0,0,4,1,10828885384,0,0,137438953472,0,0,0,0,16777216,0,0,0,0,0,0,0,0,0,0,524288,4067758660,34373895808,4834461312,44042813440,1409370030080,1409319698432,0,0,0,0,0,0,0,0,0,4294967296,524288,0,539492352,10824179372,633218148536,86557611427,65536,0,0,0,0
8192,"GeForce GTX 970 (1)","2","14","matMul(float*, float*, float*, int, int)","<OVERFLOW>","<OVERFLOW>",34368126976,34368126976,6337095324,4729295279,4817441,3605776,4215365,4215271,5546054439,5546311873,"<OVERFLOW>","<OVERFLOW>",4194304,4194304,28930941057,28930613221,189916,190982,"<OVERFLOW>","<OVERFLOW>",4194310,4194352,14,10,0,5,"<OVERFLOW>",0,0,1099511627776,0,0,0,0,67108864,0,0,0,0,0,0,0,0,0,0,2097152,45077976650,274934531636,38665193088,352264912896,11272477212672,11272275886080,0,0,0,0,0,0,0,0,0,34359738368,2097152,0,4305453056,90045676906,5375510899590,719349535904,262144,0,0,0,0
