128,"GeForce GTX 970 (1)","2","14","matMul(float*, float*, float*, int, int)",1187840,1187840,565248,565248,480,7,0,832,8,6,420,424,557056,385024,8192,8192,557056,557056,8192,8192,557515,557496,8197,8193,0,0,4,1,1718918,0,0,4194304,0,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,512,4964368,1062912,150528,1362432,43597824,43548672,0,0,0,0,0,0,0,0,0,131072,512,0,18944,1548494,60017552,7551485,64,0,0,0,0
256,"GeForce GTX 970 (1)","2","14","matMul(float*, float*, float*, int, int)",9469952,9469952,4489216,4489216,12012,3051,40,167,4,55,10380,10392,4456448,4456448,32768,32768,4456448,4456448,32768,32768,4462123,4462124,32770,23556,0,0,5,0,12041781,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,33082734,8444736,1190720,10823680,346357760,346161152,0,0,0,0,0,0,0,0,0,1048576,2048,0,141312,10716777,635696988,80512242,256,0,0,0,0
512,"GeForce GTX 970 (1)","2","14","matMul(float*, float*, float*, int, int)",75628544,75628544,35782656,35782656,65736,84531,19642,19864,17250,17234,57488,57547,35651584,25481216,131072,131072,35634432,35634236,126976,126976,35674607,35674592,131073,131077,0,0,0,5,82549832,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,245453741,67330797,9478976,86286336,2761162752,2760376320,0,0,0,0,0,0,0,0,0,8388608,8192,0,1089536,80596254,4986179804,641126881,1024,0,0,0,0
1024,"GeForce GTX 970 (1)","2","14","matMul(float*, float*, float*, int, int)",604504064,604504064,285736960,285736960,4850613,3636745,88029,65992,77059,77034,4246974,4246912,285212672,285212672,524288,524288,281247817,281247649,492768,492769,285510475,203833104,524294,524288,0,0,1,0,648139805,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,1973731909,537756385,75662144,689078272,22050504704,22047358976,0,0,0,0,0,0,0,0,0,67108864,32768,0,8552448,646170663,40319649008,5151846014,4096,0,0,0,0
2048,"GeForce GTX 970 (1)","2","14","matMul(float*, float*, float*, int, int)",4833935360,4833935360,2283798528,2283798528,41564267,31112218,319550,238467,279206,279168,36359453,36359755,2281701376,2281701376,2097152,2097152,2247756871,2247757292,1962066,1962032,2284102559,2284102520,2097154,2097156,0,0,5,0,5192613482,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,15800681499,4298506987,604635968,5507776512,176248848384,176236265472,0,0,0,0,0,0,0,0,0,536870912,131072,0,67764224,5186344323,325239428814,41271127253,16384,0,0,0,0
4096,"GeForce GTX 970 (1)","2","14","matMul(float*, float*, float*, int, int)",38663094272,38663094272,18261999616,18261999616,404122279,295946340,1810778,1332280,1572256,1572763,349898330,349957952,18253611008,18253611008,8388608,8388608,17922210629,17922192058,7318316,7317868,18273251597,18273251288,8388615,8388655,0,0,5,0,41234244567,0,0,137438953472,0,0,0,0,16777216,0,0,0,0,0,0,0,0,0,0,524288,126187578848,34373894890,4834460480,44042813440,1409370030080,1409319698432,0,0,0,0,0,0,0,0,0,4294967296,524288,0,539492352,41215257636,2594154819656,331132249218,65536,0,0,0,0
8192,"GeForce GTX 970 (1)","2","14","matMul(float*, float*, float*, int, int)","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",8916243073,6692397471,13726846,10298576,12022271,12026375,7815216386,7814556948,"<OVERFLOW>","<OVERFLOW>",33554432,33554432,"<OVERFLOW>","<OVERFLOW>",21743103,21743713,"<OVERFLOW>","<OVERFLOW>",33554573,23967760,21,2,1,4,"<OVERFLOW>",0,0,1099511627776,0,0,0,0,67108864,0,0,0,0,0,0,0,0,0,0,2097152,2736044240939,274934536611,38665198080,352264912896,11272477212672,11272275886080,0,0,0,0,0,0,0,0,0,34359738368,2097152,0,4305453056,762538191223,47954140378768,6094033063266,262144,0,0,0,0
