2048,"GeForce GTX TITAN (0)","2","14","quicksort(int*, int)",0,0,0,0,0,0,0,0,0,0,4036,4168,2055,1986,2068,2102,0,0,12,0,2055,1986,2067,2101,11956,11798,12069,12562,11956,11798,12069,12562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11967,11818,12069,12650,2057,1986,2067,2106,193312546,0,0,48385,0,0,0,0,8209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,612728,301962,189943,612728,0,0,8188,13759,48385,10237,13804488,13804488,1,589392,8188,0,13759,0,0,0,48385,8209,0,0,0,0,8188,13759,0,0,48385,10237,0,0
2560,"GeForce GTX TITAN (0)","2","14","quicksort(int*, int)",0,0,0,0,0,0,0,0,0,0,5200,5134,2571,2628,2539,2593,0,0,4,0,2571,2629,2540,2595,15782,16549,15913,17104,15782,16549,15913,17104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16230,17354,15913,17107,2575,2630,2540,2596,259135856,0,0,65348,0,0,0,0,10335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,810527,402095,251018,810528,0,0,10236,17291,65348,12872,18506166,18506166,1,781216,10236,0,17291,0,0,0,65348,10335,0,0,0,0,10236,17291,0,0,65348,12872,0,0
3072,"GeForce GTX TITAN (0)","2","14","quicksort(int*, int)",0,0,0,0,0,0,0,0,0,48,6372,6200,3174,3196,3104,3095,0,0,0,0,3175,3196,3104,3095,21262,21355,20229,21344,21262,21355,20229,21344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,22054,22187,20234,21360,3176,3196,3109,3095,332683736,0,0,84190,0,0,0,0,12570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1022126,512035,314386,1022126,0,0,12284,20883,84190,15611,23759579,23759580,1,986674,12284,0,20883,0,0,0,84190,12570,0,0,0,0,12284,20883,0,0,84190,15611,0,0
3584,"GeForce GTX TITAN (0)","2","14","quicksort(int*, int)",0,0,0,0,0,0,0,0,8,12,7271,7375,3695,3574,3662,3715,4,4,0,0,3695,3576,3662,3715,26269,27243,26565,27000,26269,27243,26565,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,27080,28050,27612,28497,3695,3580,3664,3716,422040430,0,0,107077,0,0,0,0,14648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1253602,641716,377122,1253602,0,0,14332,24479,107077,18209,30142151,30142150,1,1212186,14332,0,24479,0,0,0,107077,14648,0,0,0,0,14332,24479,0,0,107077,18209,0,0
4096,"GeForce GTX TITAN (0)","2","14","quicksort(int*, int)",0,0,0,0,0,0,0,0,313,0,8330,8182,4160,4162,4124,4061,0,0,184,4,4160,4162,4121,4061,34032,34080,32767,34241,34032,34080,32767,34241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,34580,34180,32767,35061,4160,4163,4121,4061,527070320,0,0,135120,0,0,0,0,16504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1554777,796378,472564,1554778,0,0,16380,28067,135120,20579,37644063,37644062,1,1507750,16380,0,28067,0,0,0,135120,16504,0,0,0,0,16380,28067,0,0,135120,20579,0,0
4608,"GeForce GTX TITAN (0)","2","14","quicksort(int*, int)",0,0,0,0,0,0,0,0,12,4,9223,9014,4618,4606,4528,4488,8,4,0,0,4617,4606,4529,4488,43063,43027,41046,41317,43063,43015,41046,41317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,43898,44028,41058,41317,4618,4611,4534,4488,653184070,0,0,168441,0,0,0,0,18240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1881676,976990,566767,1881676,0,0,18428,31639,168441,22829,46652419,46652418,1,1829226,18428,0,31639,0,0,0,168441,18240,0,0,0,0,18428,31639,0,0,168441,22829,0,0
5120,"GeForce GTX TITAN (0)","2","14","quicksort(int*, int)",0,0,0,0,0,0,0,0,12,4,10218,10375,5088,5128,5178,5193,0,8,12,0,5090,5129,5184,5192,47691,52336,50603,50935,47691,52336,50603,50935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47699,55228,50619,51912,5088,5129,5189,5192,778372588,0,0,201565,0,0,0,0,20593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2226109,1158772,672062,2226110,0,0,20476,35223,201565,25690,55594454,55594454,1,2167328,20476,0,35223,0,0,0,201565,20593,0,0,0,0,20476,35223,0,0,201565,25690,0,0
5632,"GeForce GTX TITAN (0)","2","14","quicksort(int*, int)",0,0,0,0,0,0,0,0,20,60,11532,11490,5780,5759,5777,5702,8,8,8,4,5775,5758,5777,5704,55587,56218,57001,57283,55587,56218,57001,57283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56379,56375,58653,58172,5776,5758,5778,5705,875288106,0,0,226089,0,0,0,0,23014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2464081,1297802,731584,2464080,0,0,22524,38835,226089,28620,62516989,62516990,1,2398856,22508,16,38808,0,0,0,226089,23014,0,0,0,0,22524,38835,0,0,226089,28620,0,0
6144,"GeForce GTX TITAN (0)","2","14","quicksort(int*, int)",0,0,0,0,0,0,0,0,8,16,12738,12788,6396,6350,6431,6354,8,32,8,4,6397,6352,6431,6356,68274,63164,64241,64200,68274,63164,64241,64200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,69038,63397,65209,65027,6401,6344,6431,6356,1007416872,0,0,259879,0,0,0,0,25527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2773583,1483462,807304,2773582,0,0,24572,42407,259879,31644,71954737,71954736,1,2701782,24572,0,42407,0,0,0,259879,25527,0,0,0,0,24572,42407,0,0,259879,31644,0,0
6656,"GeForce GTX TITAN (0)","2","14","quicksort(int*, int)",0,0,0,0,0,0,0,0,20,4,13730,13704,6894,6838,6825,6881,8,4,4,0,6893,6838,6825,6886,80342,70287,78113,75654,80330,70287,78097,75654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,81134,71170,78942,76446,6894,6840,6825,6883,1175322582,0,0,304368,0,0,0,0,27437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3197721,1720553,928909,3197720,0,0,26620,45991,304368,34068,83947974,83947974,1,3120226,26620,0,45991,0,0,0,304368,27437,0,0,0,0,26620,45991,0,0,304368,34068,0,0
