256,"GeForce GTX 680 (1)","1","7","matSum(float*, float*, float*, int)",0.000000,100.000000,0.000000,72.613952,0.667536,0.417133,46.649589,23.324795,72.613952,0.667536,0.543803,0.000000,0.375000,0.000000,0.000000,0.000000,40.918045,23.324795,23.324795,46.649589,0.000000,0.000000,100.000000,100.000000,11.376953,0.000000,46.649589,0.000000,0.000000,1.030544,24.000000,24.981326,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0,0,0,0,16384,8192,0,4,0,14371,8192,16488,8544,0.000000,0.000000,0.000000,0.000000,46.945705,24.327032,0.000000,11.662396,4096,8192,29445,12288,65536,65536,0,0,0,0,0,0,0,"Low (1)","Low (2)","Idle (0)","Mid (4)","Low (1)","Mid (4)","Low (3)","Low (1)","Idle (0)",49152,75881,73577,0.000000,65536,0,720896,0,65536,196608,458752,0,0.000000,0,0.000000,0,0.000000,16384,8192,0,23.324795,0,0.168307,0.000000,1.376562,0.000000
512,"GeForce GTX 680 (1)","1","7","matSum(float*, float*, float*, int)",0.000000,100.000000,0.000000,90.715645,0.711150,0.430929,57.355446,28.677723,90.715645,0.711150,0.528366,0.000000,0.375000,0.000000,0.000000,0.000000,57.361572,28.677723,28.677723,57.355446,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,57.355446,0.000000,0.113803,1.086897,24.000000,26.408497,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0,0,0,0,65536,32768,0,13,0,65543,32768,65608,32841,0.000000,0.000000,0.000000,0.000000,57.418458,28.741611,0.000000,11.650325,16384,32768,115782,49152,262144,262144,0,0,0,0,0,0,0,"Low (1)","Low (2)","Idle (0)","Mid (5)","Low (1)","Mid (5)","Low (3)","Low (1)","Idle (0)",196608,300489,292041,0.000000,262144,0,2883584,0,262144,786432,1835008,0,0.000000,0,0.000000,0,0.000000,65536,32880,0,28.775743,0,0.224001,0.000000,1.318926,0.000000
768,"GeForce GTX 680 (1)","1","7","matSum(float*, float*, float*, int)",0.000000,100.000000,0.000000,95.333813,0.722530,0.435277,60.499067,30.249534,95.333813,0.722530,0.533813,0.000000,0.375000,0.000000,0.000000,0.000000,60.501939,30.249534,30.249534,60.499067,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,60.499067,0.000000,0.018081,1.108226,24.000000,26.942551,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0,0,0,0,147456,73728,0,9,0,147463,73728,147556,73813,0.000000,0.000000,0.000000,0.000000,60.540096,30.284408,0.000000,3.781191,36864,73728,259055,110592,589824,589824,0,0,0,0,0,0,0,"Low (1)","Low (2)","Idle (0)","Mid (6)","Low (1)","Mid (5)","Mid (4)","Low (1)","Idle (0)",442368,678510,659822,0.000000,589824,0,6488064,0,589824,1769472,4128768,0,0.000000,0,0.000000,0,0.000000,147456,73768,0,30.265945,0,0.239172,0.000000,1.326552,0.000000
1024,"GeForce GTX 680 (1)","1","7","matSum(float*, float*, float*, int)",0.000000,100.000000,0.000000,97.427040,0.735705,0.437906,62.020704,31.010352,97.427040,0.735705,0.530792,0.000000,0.375000,0.000000,0.000000,0.000000,62.024253,31.018869,31.010352,62.020704,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,62.020704,0.000000,0.000000,1.126212,24.000000,27.382946,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0,0,0,0,262144,131072,0,5,0,262159,131108,262242,131086,0.000000,0.000000,0.000000,0.000000,62.043890,31.013664,0.000000,1.211342,65536,131072,462109,196608,1048576,1048576,0,0,0,0,0,0,0,"Low (1)","Low (2)","Idle (0)","Mid (6)","Low (1)","Mid (5)","Mid (4)","Low (1)","Idle (0)",786432,1203864,1170840,0.000000,1048576,0,11534336,0,1048576,3145728,7340032,0,0.000000,0,0.000000,0,0.000000,262144,131072,0,31.010352,0,0.248880,0.000000,1.340287,0.000000
1280,"GeForce GTX 680 (1)","1","7","matSum(float*, float*, float*, int)",0.000000,100.000000,0.000000,98.324613,0.759805,0.436307,60.102368,30.051184,98.324613,0.759805,0.508540,0.000000,0.375000,0.000000,0.000000,0.000000,60.103395,30.051184,30.051184,60.102368,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,60.102368,0.000000,0.000000,1.146196,24.000000,27.859487,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0,0,0,0,409600,204800,0,4,0,409607,204800,409700,204801,0.000000,0.000000,0.000000,0.000000,60.117041,30.051330,0.000000,615.448242,102400,204800,693613,307200,1638400,1638400,0,0,0,0,0,0,0,"Low (1)","Low (2)","Idle (0)","Mid (6)","Low (1)","Mid (5)","Mid (4)","Low (1)","Idle (0)",1228800,1853694,1802238,0.000000,1638400,0,18022400,0,1638400,4915200,11468800,0,0.000000,0,0.000000,0,0.000000,409600,204800,0,30.051184,0,0.259401,0.000000,1.349589,0.000000
1536,"GeForce GTX 680 (1)","1","7","matSum(float*, float*, float*, int)",0.000000,100.000000,0.000000,98.841545,0.761057,0.436367,60.412156,30.206078,98.841545,0.761057,0.506570,0.000000,0.375000,0.000000,0.000000,0.000000,60.414512,30.206897,30.206078,60.412156,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,60.412156,0.000000,0.000000,1.146585,24.000000,27.869115,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0,0,0,0,589824,294912,0,9,0,589847,294920,589924,294916,0.000000,0.000000,0.000000,0.000000,60.422398,30.206488,0.000000,966.593750,147456,294912,1000726,442368,2359296,2359296,0,0,0,0,0,0,0,"Low (1)","Low (2)","Idle (0)","Mid (6)","Low (1)","Mid (5)","Mid (4)","Low (1)","Idle (0)",1769472,2665834,2591850,0.000000,2359296,0,25952256,0,2359296,7077888,16515072,0,0.000000,0,0.000000,0,0.000000,589824,294912,0,30.206078,0,0.261195,0.000000,1.351858,0.000000
1792,"GeForce GTX 680 (1)","1","7","matSum(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.135983,0.763467,0.435547,60.585863,30.292931,99.135983,0.763467,0.508011,0.000000,0.375000,0.000000,0.000000,0.000000,60.586391,30.292931,30.292931,60.585863,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,60.585863,0.000000,0.000000,1.151316,24.000000,27.985605,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0,0,0,0,802816,401408,0,9,0,802823,401408,802884,401410,0.000000,0.000000,0.000000,0.000000,60.590994,30.293082,0.000000,712.192383,200704,401408,1364700,602112,3211264,3211264,0,0,0,0,0,0,0,"Low (1)","Low (2)","Idle (0)","Mid (6)","Low (1)","Mid (5)","Mid (4)","Low (1)","Idle (0)",2408448,3631966,3531358,0.000000,3211264,0,35323904,0,3211264,9633792,22478848,0,0.000000,0,0.000000,0,0.000000,802816,401408,0,30.292931,0,0.262802,0.000000,1.354083,0.000000
2048,"GeForce GTX 680 (1)","1","7","matSum(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.328685,0.760960,0.437269,60.559551,30.279775,99.328685,0.760960,0.511728,0.000000,0.375000,0.000000,0.000000,0.000000,60.560417,30.279775,30.279775,60.559551,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,60.559551,0.000000,0.000000,1.150364,24.000000,27.964898,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0,0,0,0,1048576,524288,0,4,0,1048591,524288,1048714,524297,0.000000,0.000000,0.000000,0.000000,60.567521,30.280295,0.000000,242.237305,262144,524288,1787481,786432,4194304,4194304,0,0,0,0,0,0,0,"Low (1)","Low (2)","Idle (0)","Mid (6)","Low (1)","Mid (5)","Mid (4)","Low (1)","Idle (0)",3145728,4755486,4624158,0.000000,4194304,0,46137344,0,4194304,12582912,29360128,0,0.000000,0,0.000000,0,0.000000,1048576,524288,0,30.279775,0,0.262448,0.000000,1.353397,0.000000
2304,"GeForce GTX 680 (1)","1","7","matSum(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.466467,0.765652,0.435889,60.927030,30.463515,99.466467,0.765652,0.506961,0.000000,0.375000,0.000000,0.000000,0.000000,60.927718,30.463515,30.463515,60.927030,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,60.927030,0.000000,0.000000,1.153808,24.000000,28.046412,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0,0,0,0,1327104,663552,0,4,0,1327119,663552,1327202,663554,0.000000,0.000000,0.000000,0.000000,60.931529,30.463607,0.000000,192.558594,331776,663552,2253797,995328,5308416,5308416,0,0,0,0,0,0,0,"Low (1)","Low (2)","Idle (0)","Mid (6)","Low (1)","Mid (5)","Mid (4)","Low (1)","Idle (0)",3981312,5999681,5833537,0.000000,5308416,0,58392576,0,5308416,15925248,37158912,0,0.000000,0,0.000000,0,0.000000,1327104,663552,0,30.463515,0,0.264433,0.000000,1.355843,0.000000
2560,"GeForce GTX 680 (1)","1","7","matSum(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.566673,0.765051,0.435831,60.936591,30.468296,99.566673,0.765051,0.504208,0.000000,0.375000,0.000000,0.000000,0.000000,60.937447,30.468296,30.468296,60.936591,0.000000,0.000000,100.000000,100.000000,0.000000,0.000000,60.936591,0.000000,0.000000,1.150796,24.000000,27.971965,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,0,0,0,0,1638400,819200,0,4,0,1638423,819200,1638480,819213,0.000000,0.000000,0.000000,0.000000,60.939567,30.468779,0.000000,155.997070,409600,819200,2766670,1228800,6553600,6553600,0,0,0,0,0,0,0,"Low (1)","Low (2)","Idle (0)","Mid (6)","Low (1)","Mid (5)","Mid (4)","Low (1)","Idle (0)",4915200,7393483,7188427,0.000000,6553600,0,72089600,0,6553600,19660800,45875200,0,0.000000,0,0.000000,0,0.000000,1638400,819200,0,30.468296,0,0.264492,0.000000,1.350322,0.000000
