256,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,4103,4096,4096,4096,2048,2048,2048,2048,2052,2051,2048,3332,2048,2048,2048,2048,655360,655360,655360,655360,653312,653312,653312,653312,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,655380,655378,655410,655380,2048,2049,2048,2048,5952044,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,2048,65536,6088704,7636428,1126131,0,0,0,0,1048576,2048,5891046,181105514,1024,593295,0,0,0,0,0,0,0,2621440,8192,0,0,1572864,6144,0,0,0,0,3003829,8192,0,0
512,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,543667,556608,16384,16384,8192,8192,8192,8192,271892,278227,279580,279088,8192,8192,8192,8192,5242880,5242880,5242880,5242880,4963184,4970020,4965228,4963358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5242932,5242896,5242898,5242900,8192,8196,8192,8192,46573720,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,8192,262144,48472064,60378403,8679069,0,0,0,0,8388608,8192,46169974,1466475770,4096,4445084,0,0,0,0,0,0,0,20971520,32768,0,0,12582912,24576,0,0,0,0,23799963,32768,0,0
768,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,2832799,2895610,36864,36864,18432,18432,18432,18432,1416192,1447785,1381832,1474408,18432,18432,18432,18492,17694720,17694720,17694720,17694720,16225454,16303456,16234558,16223940,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,17694740,17694738,17694740,17694740,18436,18432,18436,18432,156155658,0,0,905969664,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,0,18432,589824,163325952,202492154,28522737,0,0,0,0,28311552,18432,155264078,4946413476,9216,14443137,0,0,0,0,0,0,0,70778880,73728,0,0,42467328,55296,0,0,0,0,79847790,73728,0,0
1024,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,8454391,8454508,65536,65584,32768,32772,32768,32768,4227216,4227243,4234376,4235768,32768,32768,32768,32768,41943040,41943040,41943040,41943040,37715944,37713492,37707356,37715920,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,41943060,41943060,41943060,41943060,32769,32792,32768,32769,365966876,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,0,32768,1048576,386826240,475730946,66802051,0,0,0,0,67108864,32768,365665282,11673624028,16384,32949609,0,0,0,0,0,0,0,167772160,131072,0,0,100663296,98304,0,0,0,0,186771787,131072,0,0
1280,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,16620075,16621300,102400,102400,51200,51200,51200,51200,8309768,8310423,8346796,8348084,51200,51200,51200,51200,81920000,81920000,81920000,81920000,73573216,73615968,73581204,73613088,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,81920016,81920016,81920052,81920020,51200,51200,51200,51205,714972320,0,0,4194304000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,0,51200,1638400,755148800,930175539,129238065,0,0,0,0,131072000,51200,714373250,22811023174,25600,63747626,0,0,0,0,0,0,0,327680000,204800,0,0,196608000,153600,0,0,0,0,363973706,204800,0,0
1536,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,28930799,28770844,147456,147456,73728,73728,73728,73728,14465416,14385443,14486732,14393036,73728,73728,73728,73728,141557760,141557760,141557760,141557760,127181040,127153416,127162335,127161660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,141557780,141557780,141557812,141557778,73732,73732,73733,73732,1236633022,0,0,7247757312,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,0,73728,2359296,1304469504,1607269131,223821385,0,0,0,0,226492416,73728,1235851704,39486266738,36864,109719048,0,0,0,0,0,0,0,566231040,294912,0,0,339738624,221184,0,0,0,0,630599750,294912,0,0
1792,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,45717371,45472200,200704,200704,100352,100352,100352,100352,22859604,22735243,22746636,22797492,100352,100352,100352,100352,224788480,224788480,224788480,224788480,201940132,201951116,202013896,201997940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,224788500,224788528,224788500,224788496,100353,100352,100353,100353,1957357058,0,0,11509170176,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,0,100352,3211264,2070964224,2544711636,354781108,0,0,0,0,359661568,100352,1957160844,62555033606,50176,173469639,0,0,0,0,0,0,0,899153920,401408,0,0,539492352,301056,0,0,0,0,1001314147,401408,0,0
2048,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,68391145,68612023,262144,262144,131072,131072,131072,131072,34197809,34303311,34260892,34247670,131072,131072,131072,131072,335544320,335544320,335544320,335544320,301159890,301269523,301315469,301228240,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,335544370,335544336,335544340,335544336,131072,131072,131072,131072,2921072366,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,0,131072,4194304,3090808832,3797447304,532004993,0,0,0,0,536870912,131072,2920699082,93372730572,65536,261723600,0,0,0,0,0,0,0,1342177280,524288,0,0,805306368,393216,0,0,0,0,1489522774,524288,0,0
2304,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,97978027,97537452,331776,331776,165888,165888,165888,165888,48987404,48769775,49048856,48996708,165888,165888,165888,165888,477757440,477757440,477757440,477757440,428854688,428693124,428522788,428526056,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,477757458,477757456,477757458,477757456,165893,165888,165888,165889,4156102714,0,0,24461180928,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,0,165888,5308416,4400179200,5401051279,751614925,0,0,0,0,764411904,165888,4155570590,132884025446,82944,370440260,0,0,0,0,0,0,0,1911029760,663552,0,0,1146617856,497664,0,0,0,0,2109742836,663552,0,0
2560,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,135959654,136165017,409600,409600,204800,204800,204800,204800,67978339,68084154,68110369,67641181,204800,204800,204800,204800,655360000,655360000,655360000,655360000,587311879,587439889,587578578,587533059,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,655360016,655360016,655360016,655360020,204805,204800,204800,204804,5704869800,0,0,33554432000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,0,204800,6553600,6035251200,7411018932,1030927632,0,0,0,0,1048576000,204800,5704210980,182428219358,102400,505869772,0,0,0,0,0,0,0,2621440000,819200,0,0,1572864000,614400,0,0,0,0,2899529205,819200,0,0
