256,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.091073,1.034384,0.481484,33.808199,360.620787,99.091073,1.034384,0.625278,0.000000,0.259334,0.000000,0.000000,0.000000,361.633271,360.620787,360.620787,112.693996,0.000000,0.000000,30.000000,100.000000,99.677582,0.000000,112.693996,0.000000,0.018858,1.681162,2973.000000,37.237172,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,2621440,8192,0,12,0,8215,8192,2621510,8200,0.000000,0.000000,0.000000,0.000000,112.697005,360.972956,0.000000,540.930664,603318,540672,3006133,1056768,33554432,0,0,16777216,0,0,0,0,0,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",6088704,9895836,8767577,0.000000,16777216,0,126484480,0,8454144,33619968,9306112,0,0.000000,0,0.000000,0,0.000000,2621440,8688,0,382.455248,0,1.470992,0.000000,2.243037,0.000000
512,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.452770,1.041910,0.490899,34.423882,183.594036,99.452770,1.041910,0.604473,0.000000,0.260098,0.000000,0.000000,0.000000,6.065600,185.992054,183.594036,114.746273,0.000000,0.000000,30.000000,100.000000,94.682655,0.000000,114.746273,0.000000,0.000000,1.671717,5917.000000,37.125487,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,20971520,32768,0,5,0,1108575,33196,20971590,33104,0.000000,0.000000,0.000000,0.000000,114.746656,185.476592,0.000000,28.686523,4465396,4259840,23859578,8421376,268435456,0,0,134217728,0,0,0,0,0,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",48472064,77772104,69086518,0.000000,134217728,0,1009254400,0,67371008,268697600,70778880,0,0.000000,0,0.000000,0,0.000000,20971520,32768,0,183.594036,0,1.494391,0.000000,2.241809,0.000000
768,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.554530,1.050829,0.496884,34.747883,123.548029,99.554530,1.050829,0.590008,0.000000,0.260354,0.000000,0.000000,0.000000,9.564947,123.548029,123.548029,115.826277,0.000000,0.000000,30.000000,100.000000,91.803364,0.000000,115.826277,0.000000,0.000068,1.670825,8861.000000,37.163731,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,70778880,73728,0,5,0,5844928,73728,70778950,73788,0.000000,0.000000,0.000000,0.000000,115.826392,123.648572,0.000000,8.579102,14373355,14303232,79924005,28385280,905969664,0,0,452984832,0,0,0,0,0,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",163325952,259689499,231048225,0.000000,452984832,0,3403284480,0,227082240,906559488,234749952,0,0.000000,0,0.000000,0,0.000000,70778880,73776,0,123.628464,0,1.511194,0.000000,2.224256,0.000000
1024,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.790421,1.057267,0.498575,35.082724,93.553930,99.790421,1.057267,0.576362,0.000000,0.260483,0.000000,0.000000,0.000000,11.809189,93.553930,93.553930,116.942413,0.000000,0.000000,30.000000,100.000000,89.916244,0.000000,116.942413,0.000000,0.000005,1.666635,11805.000000,37.110308,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,167772160,131072,0,5,0,16942127,131072,167772288,131125,0.000000,0.000000,0.000000,0.000000,116.942503,93.591760,0.000000,3.654297,33162955,33816576,186466422,67239936,2147483648,0,0,1073741824,0,0,0,0,0,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",386826240,609778016,543107643,0.000000,1073741824,0,8063549440,0,537919488,2148532224,551550976,0,0.000000,0,0.000000,0,0.000000,167772160,131080,0,93.559640,0,1.525303,0.000000,2.205478,0.000000
1280,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.907367,1.057286,0.498923,35.187215,75.066058,99.907367,1.057286,0.574456,0.000000,0.260560,0.000000,0.000000,0.000000,11.937105,75.066058,75.066058,117.290717,0.000000,0.000000,30.000000,100.000000,89.811572,0.000000,117.290717,0.000000,0.000001,1.664651,14749.000000,37.074204,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,327680000,204800,0,6,0,33349191,204800,327680138,204814,0.000000,0.000000,0.000000,0.000000,117.290767,75.071190,0.000000,2.251953,64036187,65945600,364794699,131276800,4194304000,0,0,2097152000,0,0,0,0,0,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",755148800,1188948880,1059185122,0.000000,2097152000,0,15745024000,0,1050214400,4195942400,1071513600,0,0.000000,0,0.000000,0,0.000000,327680000,204804,0,75.067525,0,1.527869,0.000000,2.198957,0.000000
1536,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.943996,1.055722,0.499205,35.441340,63.006825,99.943996,1.055722,0.573034,0.000000,0.260612,0.000000,0.000000,0.000000,12.037279,63.007680,63.006825,118.137799,0.000000,0.000000,30.000000,100.000000,89.815464,0.000000,118.137799,0.000000,0.000000,1.660687,17693.000000,36.985634,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,566231040,294912,0,5,0,57694331,294916,566231180,294917,0.000000,0.000000,0.000000,0.000000,118.137828,63.007894,0.000000,1.093750,110854824,113836032,632064140,226787328,7247757312,0,0,3623878656,0,0,0,0,0,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",1304469504,2051975112,1828004897,0.000000,3623878656,0,27202682880,0,1814298624,7250116608,1844969472,0,0.000000,0,0.000000,0,0.000000,566231040,294912,0,63.006825,0,1.526669,0.000000,2.201807,0.000000
1792,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.987433,1.058529,0.499410,35.203033,53.642716,99.987433,1.058529,0.572448,0.000000,0.260648,0.000000,0.000000,0.000000,11.891300,53.642716,53.642716,117.343443,0.000000,0.000000,30.000000,100.000000,89.863961,0.000000,117.343443,0.000000,0.000000,1.664482,20637.000000,37.071865,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,899153920,401408,0,9,0,91118075,401408,899153986,401414,0.000000,0.000000,0.000000,0.000000,117.343452,53.643518,0.000000,1.231445,175327231,180633600,998584852,360062976,11509170176,0,0,5754585088,0,0,0,0,0,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",2070964224,3256482741,2901176515,0.000000,5754585088,0,43191500800,0,2880503808,11512381440,2922250240,0,0.000000,0,0.000000,0,0.000000,899153920,401408,0,53.642716,0,1.531752,0.000000,2.198443,0.000000
2048,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.986953,1.058443,0.499538,35.531001,47.374667,99.986953,1.058443,0.571484,0.000000,0.260676,0.000000,0.000000,0.000000,12.097686,47.374667,47.374667,118.436670,0.000000,0.000000,30.000000,100.000000,89.780153,0.000000,118.436670,0.000000,0.000000,1.663327,23581.000000,37.035377,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,1342177280,524288,0,4,0,137096382,524288,1342177384,524294,0.000000,0.000000,0.000000,0.000000,118.436679,47.375210,0.000000,378.000000,262224420,269484032,1487639778,537395200,17179869184,0,0,8589934592,0,0,0,0,0,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",3090808832,4857156062,4325948112,0.000000,8589934592,0,64466452480,0,4299161600,17184063488,4353687552,0,0.000000,0,0.000000,0,0.000000,1342177280,524288,0,47.374667,0,1.531889,0.000000,2.202673,0.000000
2304,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.986978,1.058500,0.499638,35.614002,42.209188,99.986978,1.058500,0.568721,0.000000,0.260697,0.000000,0.000000,0.000000,12.164698,42.209188,42.209188,118.713341,0.000000,0.000000,30.000000,100.000000,89.746499,0.000000,118.713341,0.000000,0.000000,1.660490,26525.000000,36.980073,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,1911029760,663552,0,8,0,195825511,663552,1911029834,663553,0.000000,0.000000,0.000000,0.000000,118.713345,42.209251,0.000000,533.000000,369287664,383533056,2115985220,765075456,24461180928,0,0,12230590464,0,0,0,0,0,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",4400179200,6902651544,6149040874,0.000000,12230590464,0,91782512640,0,6120603648,24466489344,6189613056,0,0.000000,0,0.000000,0,0.000000,1911029760,663552,0,42.209188,0,1.532181,0.000000,2.194801,0.000000
2560,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.989136,1.058163,0.499712,35.529094,37.897699,99.989136,1.058163,0.570329,0.000000,0.260715,0.000000,0.000000,0.000000,12.264439,37.897699,37.897699,118.430313,0.000000,0.000000,30.000000,100.000000,89.636117,0.000000,118.430313,0.000000,0.000000,1.661663,29469.000000,37.015776,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,2621440000,819200,0,10,0,271471806,819200,2621440134,819201,0.000000,0.000000,0.000000,0.000000,118.430319,37.897746,0.000000,485.000000,507815018,525926400,2899919151,1049395200,33554432000,0,0,16777216000,0,0,0,0,0,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",6035251200,9477329838,8444808863,0.000000,16777216000,0,125894656000,0,8395161600,33560985600,8480358400,0,0.000000,0,0.000000,0,0.000000,2621440000,819200,0,37.897699,0,1.531893,0.000000,2.192420,0.000000
2816,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.991095,1.057978,0.499763,35.591574,34.513041,99.991095,1.057978,0.570141,0.000000,0.260729,0.000000,0.000000,0.000000,12.330759,34.513041,34.513041,118.638580,0.000000,0.000000,30.000000,100.000000,89.538435,0.000000,118.638580,0.000000,0.000000,1.661175,32413.000000,37.013833,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,3489136640,991232,0,13,0,362645118,991232,3489136744,991232,0.000000,0.000000,0.000000,0.000000,118.638583,34.513041,0.000000,474.000000,677264768,699809792,3851118548,1396645888,44660948992,0,0,22330474496,0,0,0,0,0,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",8032200704,12611689358,11240406518,0.000000,22330474496,0,"<OVERFLOW>",0,11173167104,44668878848,11276255232,0,0.000000,0,0.000000,0,0.000000,3489136640,991232,0,34.513041,0,1.531793,0.000000,2.185798,0.000000
3072,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.993737,1.057440,0.499774,35.405114,31.471212,99.993737,1.057440,0.567288,0.000000,0.260740,0.000000,0.000000,0.000000,12.463227,31.471212,31.471212,118.017047,0.000000,0.000000,30.000000,100.000000,89.441416,0.000000,118.017047,0.000000,0.000000,1.657312,35357.000000,36.936394,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,4529848320,1179648,0,6,0,478376044,1179648,4529848416,1179658,0.000000,0.000000,0.000000,0.000000,118.017049,31.471478,0.000000,167.000000,868879161,908328960,5020358794,1813118976,57982058496,0,0,28991029248,0,0,0,0,0,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",10427203584,16342426439,14568895546,0.000000,28991029248,0,"<OVERFLOW>",0,14504951808,57991495680,14627635200,0,0.000000,0,0.000000,0,0.000000,4529848320,1179648,0,31.471212,0,1.531169,0.000000,2.176823,0.000000
3328,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.996129,1.057310,0.499800,35.401069,29.047030,99.996129,1.057310,0.564947,0.000000,0.260750,0.000000,0.000000,0.000000,12.610605,29.047030,29.047030,118.003565,0.000000,0.000000,30.000000,100.000000,89.291731,0.000000,118.003565,0.000000,0.000000,1.654634,38301.000000,36.858273,0.000000,0.000000,0.000000,0.000000,2.500000,4.000000,0,0,0,0,5759303680,1384448,0,4,0,615475525,1384448,5759303778,1384448,0.000000,0.000000,0.000000,0.000000,118.003567,29.047030,0.000000,88.000000,1112803972,1154629632,6358462273,2305105920,73719087104,0,0,36859543552,0,0,0,0,0,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (6)","Mid (5)","Low (1)","Idle (0)",13256435712,20745620670,18485003386,0.000000,36859543552,0,"<OVERFLOW>",0,18440847360,73730162688,18584829952,0,0.000000,0,0.000000,0,0.000000,5759303680,1384448,0,29.047030,0,1.531113,0.000000,2.174285,0.000000
