256,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,6811,6692,8117,8134,4059,4065,4073,4069,3384,3367,3352,3428,4096,4096,4096,4096,1179648,1179648,1179648,1179648,1176256,1176272,1176320,1176228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1179666,1179664,1179668,1179698,4097,4096,4096,4097,10727080,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,2048,65536,6088704,9560624,1080261,0,0,0,0,1048576,2048,10623573,332246002,1024,545210,0,0,0,0,0,0,0,4718592,16384,0,0,3670016,14336,0,0,0,0,5657004,16384,0,0
512,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,936639,865130,31625,31455,15746,15791,15727,15657,401795,511990,367940,528943,16384,16384,16384,16384,9437184,9437184,9437184,9437184,9071286,8971629,9086765,8897882,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,4,9437200,9437204,9437200,9437202,16388,16384,16384,16388,86059018,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,8192,262144,48472064,77583028,8622113,0,0,0,0,8388608,8192,85845097,2706281200,4096,4380597,0,0,0,0,0,0,0,37748736,65536,0,0,29360128,57344,0,0,0,0,46231052,65536,0,0
768,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,3450847,3449984,71045,70730,35613,35483,34564,35374,1712571,1755526,1770984,1879912,36864,36864,36864,36864,31850496,31850496,31850496,31850496,29997038,29951339,29944857,30116650,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,31850512,31850516,31850516,31850548,36864,36865,36869,36864,287849002,0,0,905969664,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,0,18432,589824,163325952,260746590,28974406,0,0,0,0,28311552,18432,287477776,9155807922,9216,14729902,0,0,0,0,0,0,0,127401984,147456,0,0,99090432,129024,0,0,0,0,155576803,147456,0,0
1024,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,11552423,12064653,122961,124328,61542,62090,61597,60096,5751922,6053753,5714216,5627212,65536,65536,65536,65536,75497472,75497472,75497472,75497472,69971277,69639881,69610655,69628633,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,75497490,75497492,75497522,75497524,65541,65536,65536,65537,680076840,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,0,32768,1048576,386826240,617537302,68559671,0,0,0,0,67108864,32768,679393628,21519112902,16384,34800504,0,0,0,0,0,0,0,301989888,262144,0,0,234881024,229376,0,0,0,0,367611390,262144,0,0
1280,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,18351828,18511923,195562,196975,97743,98650,99597,98765,9182162,9254593,9135474,9282254,102400,102400,102400,102400,147456000,147456000,147456000,147456000,138289693,138013006,138193539,138172158,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,147456020,147456018,147456020,147456056,102404,102400,102401,102405,1325574810,0,0,4194304000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,0,51200,1638400,755148800,1202342720,133581792,0,0,0,0,131072000,51200,1325176158,42175137882,25600,67837033,0,0,0,0,0,0,0,589824000,409600,0,0,458752000,358400,0,0,0,0,718039538,409600,0,0
1536,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,50682481,49089508,244282,239155,122338,118787,125119,118250,25281222,24818343,24556765,24407352,147456,147456,147456,147456,254803968,254803968,254803968,254803968,231308246,230048038,231263141,230140360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254803986,254803986,254803986,254803984,147460,147457,147456,147456,2336297126,0,0,7247757312,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,0,73728,2359296,1304469504,2101897845,231069603,0,0,0,0,226492416,73728,2335603647,74161838052,36864,117333472,0,0,0,0,0,0,0,1019215872,589824,0,0,792723456,516096,0,0,0,0,1243220661,589877,0,0
1792,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,54985163,55251693,381098,377539,190578,188753,188396,188841,27484739,27619721,27667947,28333278,200704,200704,200704,200704,404619264,404619264,404619264,404619264,375955066,377038487,376565949,377267345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,404619280,404619280,404619280,404619280,200704,200704,200704,200705,3633108318,0,0,11509170176,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,0,100352,3211264,2070964224,3300112582,366375525,0,0,0,0,359661568,100352,3632645647,115616519310,50176,185924572,0,0,0,0,0,0,0,1618477056,802816,0,0,1258815488,702464,0,0,0,0,1969535961,802816,0,0
2048,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,111822405,114208442,423356,423047,211952,211193,212496,217043,55897698,57163320,56904307,58969555,262144,262144,262144,262144,603979776,603979776,603979776,603979776,549724780,548628258,549287138,547082665,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,603979792,603979792,603979792,603979792,262144,262145,262144,262148,5412904366,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,0,131072,4194304,3090808832,4942874905,548467117,0,0,0,0,536870912,131072,5412309275,172360958888,65536,279495225,0,0,0,0,0,0,0,2415919104,1048576,0,0,1879048192,917504,0,0,0,0,2931140535,1048576,0,0
2304,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,141152880,134533355,600197,583851,300133,291649,295383,294594,70577512,67384766,67807103,68542694,331776,331776,331776,331776,859963392,859963392,859963392,859963392,790685408,789170371,791564395,792814873,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,859963412,859963408,859963410,859963410,331780,331780,331776,331777,7710025776,0,0,24461180928,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,0,165888,5308416,4400179200,7020430462,779152449,0,0,0,0,764411904,165888,7709097306,245498099150,82944,396136543,0,0,0,0,0,0,0,3439853568,1327104,0,0,2675441664,1161216,0,0,0,0,4183831894,1327104,0,0
2560,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,238996563,245502887,615953,627745,308474,312297,316075,319381,119290127,122928847,123079334,125708398,409600,409600,409600,409600,1179648000,1179648000,1179648000,1179648000,1060018959,1056513757,1055835544,1060325920,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1179648020,1179648020,1179648016,1179648018,409600,409600,409600,409600,10568731932,0,0,33554432000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,0,204800,6553600,6035251200,9680710917,1071487205,0,0,0,0,1048576000,204800,10568126646,336843557810,102400,545987764,0,0,0,0,0,0,0,4718592000,1638400,0,0,3670016000,1433600,0,0,0,0,5700312713,1638406,0,0
