2048,"GeForce GT 630 (1)","2","14","quicksort(int*, int)",8188,13735,43634,8426,0,0,68352,0,9695155,0,0,184949,211495,607927,1,1,0,211494,396433,0,9694969,0,0,0,0,2,16376,0,27448,22,0,0,87268,16852,0,0,0,0,0,0,0,0,0,45804,48484,2080,2211,4130,4293,91609,96964,4132,4294,21567,22111,0,0,21567,22111,0,0,48488,45804,2048,2081,19395196,0,0,0,0,21575,22107,4132,4294,0,0,0,0,43634,0,0,0,0,8426,0,0
2560,"GeForce GT 630 (1)","2","14","quicksort(int*, int)",10236,17295,61833,10621,0,0,92831,0,13538409,246400,285505,0,0,817398,1,1,531894,0,531894,0,13540011,0,0,0,0,2,20472,0,34570,20,0,0,123666,21242,0,0,0,0,0,0,0,0,0,65019,65024,2712,2569,5335,5281,130041,130048,5337,5284,30430,31443,0,0,30414,31443,0,0,65025,65020,2745,2590,27082448,0,0,0,0,30438,31451,5337,5284,0,0,0,0,61833,0,0,0,0,10621,0,0
3072,"GeForce GT 630 (1)","2","14","quicksort(int*, int)",12284,20931,86668,12621,0,0,123768,0,18543375,0,0,320218,385650,1091505,1,1,0,385649,705856,385649,18543443,0,0,0,0,2,24568,0,41840,28,0,0,173336,25242,0,0,0,0,0,0,0,0,0,89476,87364,3108,3271,6240,6379,178950,174732,6241,6380,43574,43138,0,0,43574,43138,0,0,90076,87356,2986,3255,37091442,0,0,0,0,43586,43146,6241,6380,0,0,0,0,86668,0,0,0,0,12621,0,0
3584,"GeForce GT 630 (1)","2","14","quicksort(int*, int)",14332,24531,109657,14553,0,0,152795,0,23378475,0,0,389924,464550,1319012,1,1,0,0,0,0,23378737,0,0,0,0,2,28664,0,49042,24,0,0,219314,29106,0,0,0,0,0,0,0,0,0,111544,111538,3578,3642,7329,7220,223090,223080,7332,7221,52840,56857,0,0,52840,56857,0,0,114221,111575,3737,3594,46762830,0,0,0,0,52848,56865,7332,7221,0,0,0,0,109657,0,0,0,0,14553,0,0
4096,"GeForce GT 630 (1)","2","14","quicksort(int*, int)",16380,28075,133228,16838,0,0,182734,0,28207245,0,0,462597,558858,1580303,1,1,0,0,0,558857,28208074,0,0,0,0,2,32760,0,56130,24,0,0,266456,33676,0,0,0,0,0,0,0,0,0,135680,135680,4294,4172,8366,8466,271354,271360,8368,8470,66944,66332,0,0,66928,66300,0,0,135682,135680,4256,4110,56418344,0,0,0,0,66952,66332,8368,8470,0,0,0,0,133228,0,0,0,0,16838,0,0
4608,"GeForce GT 630 (1)","2","14","quicksort(int*, int)",18428,31623,164947,18725,0,0,220439,0,34506791,0,0,549460,679972,1909393,1,1,1229422,679971,1229422,679971,34507032,0,0,0,0,2,36856,0,63226,24,0,0,329894,37450,0,0,0,0,0,0,0,0,0,164960,165392,4867,4482,9373,9347,329915,330784,9373,9352,80341,84646,0,0,80341,84654,0,0,167178,167172,4831,4541,69019058,0,0,0,0,80373,84662,9373,9352,0,0,0,0,164947,0,0,0,0,18725,0,0
5120,"GeForce GT 630 (1)","2","14","quicksort(int*, int)",20476,35247,188427,21389,0,0,250687,0,39483693,0,0,624187,765818,2155813,1,1,1389996,765817,0,0,39483431,0,0,0,0,2,40952,0,70470,28,0,0,376854,42778,0,0,0,0,0,0,0,0,0,189412,189372,5352,5270,10766,10622,378803,378752,10767,10622,95694,92789,0,0,95694,92789,0,0,189391,189384,5370,5396,78975224,0,0,0,0,95702,92789,10767,10622,0,0,0,0,188427,0,0,0,0,21389,0,0
5632,"GeForce GT 630 (1)","2","14","quicksort(int*, int)",22524,38799,228034,23194,0,0,296190,0,47321113,0,0,726334,906185,2538691,1,1,0,906184,0,0,47320825,0,0,0,0,2,45048,0,77570,28,0,0,456068,46388,0,0,0,0,0,0,0,0,0,228564,228566,5836,5706,11650,11540,457125,457128,11652,11542,116239,111851,0,0,116239,111851,0,0,225888,225888,5950,5700,94646810,0,0,0,0,116247,111859,11652,11542,0,0,0,0,228034,0,0,0,0,23194,0,0
6144,"GeForce GT 630 (1)","2","14","quicksort(int*, int)",24572,42419,260589,25279,0,0,334917,0,53896233,0,0,815969,1022450,2860856,1,1,0,1022449,1838407,0,53896396,0,0,0,0,2,49144,0,84810,28,0,0,521178,50558,0,0,0,0,0,0,0,0,0,258760,258753,6375,6266,12634,12642,517516,517508,12635,12644,132828,127817,0,0,132828,127817,0,0,258760,258760,6342,6290,107798106,0,0,0,0,132864,127825,12635,12644,0,0,0,0,260589,0,0,0,0,25279,0,0
6656,"GeForce GT 630 (1)","2","14","quicksort(int*, int)",26620,45991,299428,27500,0,0,380072,0,61619979,918995,1164670,0,0,3248246,1,1,0,0,2083577,1164669,61619817,0,0,0,0,2,53240,0,91954,28,0,0,598856,55000,0,0,0,0,0,0,0,0,0,294716,294716,7010,6838,13650,13848,589455,589416,13650,13850,148964,150520,0,0,148952,150496,0,0,297388,297384,6827,6822,123247864,0,0,0,0,148972,150528,13650,13850,0,0,0,0,299428,0,0,0,0,27500,0,0
