65536,"GeForce GTX TITAN X (0)","2","14","vectorAdd(float const *, float const *, float*, int)",24576,24576,16384,16384,0,24,12,2064,4,10,0,0,8192,8192,4096,4096,8192,8192,4096,4096,8240,8247,4100,4098,0,0,0,5,132332,0,0,131072,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,125934,41296,2048,43008,1376256,1310720,0,0,0,0,0,0,0,0,0,4096,2048,0,4096,43555,1806188,318497,256,0,0,0,0
131072,"GeForce GTX TITAN X (0)","2","14","vectorAdd(float const *, float const *, float*, int)",49152,49152,32768,32768,0,24,3398,6580,3435,3187,0,8,16384,16384,8192,8192,15520,15528,8164,8152,16528,16487,8193,8197,0,0,5,0,158068,0,0,262144,0,0,0,0,131072,0,0,0,0,0,0,0,0,0,0,4096,184705,80219,4096,86016,2752512,2621440,0,0,0,0,0,0,0,0,0,8192,4096,0,8192,67463,3068140,450921,512,0,0,0,0
262144,"GeForce GTX TITAN X (0)","2","14","vectorAdd(float const *, float const *, float*, int)",98304,98304,65536,65536,11416,11212,16589,16509,16580,16551,11436,11444,32768,32768,16384,16384,21716,21720,36,12,32816,32823,16384,16390,0,0,4,1,273796,0,0,524288,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,502524,158051,8192,172032,5505024,5242880,0,0,0,0,0,0,0,0,0,16384,8192,0,16384,176461,9176446,1163237,1024,0,0,0,0
524288,"GeForce GTX TITAN X (0)","2","14","vectorAdd(float const *, float const *, float*, int)",196608,196608,131072,131072,48480,65565,33125,30087,32987,33048,48816,48536,65536,65536,32768,32768,17032,17252,0,0,65680,65639,32768,32774,0,0,0,5,585576,0,0,1048576,0,0,0,0,524288,0,0,0,0,0,0,0,0,0,0,16384,1556783,313686,16384,344064,11010048,10485760,0,0,0,0,0,0,0,0,0,32768,16384,0,32768,486626,26088568,4501093,2048,0,0,0,0
1048576,"GeForce GTX TITAN X (0)","2","14","vectorAdd(float const *, float const *, float*, int)",393216,393216,262144,262144,131080,131096,65731,61876,65602,65832,131088,131088,131072,131072,65536,65536,0,0,0,0,131120,131127,65537,65541,0,0,5,0,1311764,0,0,2097152,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,4166464,624982,32768,688128,22020096,20971520,0,0,0,0,0,0,0,0,0,65536,32768,0,65536,1209174,67777894,8860163,4096,0,0,0,0
2097152,"GeForce GTX TITAN X (0)","2","14","vectorAdd(float const *, float const *, float*, int)",786432,786432,524288,524288,262144,262152,130892,130937,130890,130930,262144,262152,262144,262144,131072,131072,0,0,0,0,262332,262324,131077,131073,0,0,5,0,2532044,0,0,4194304,0,0,0,0,2097152,0,0,0,0,0,0,0,0,0,0,65536,8393360,1247573,65536,1376256,44040192,41943040,0,0,0,0,0,0,0,0,0,131072,65536,0,131072,2432785,137619318,18220207,8192,0,0,0,0
4194304,"GeForce GTX TITAN X (0)","2","14","vectorAdd(float const *, float const *, float*, int)",1572864,1572864,1048576,1048576,524288,524312,262207,261992,262270,261953,524288,524296,524288,524288,262144,262144,0,0,0,0,524336,524343,262148,262146,0,0,4,1,5034856,0,0,8388608,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,17066466,2492760,131072,2752512,88080384,83886080,0,0,0,0,0,0,0,0,0,262144,131072,0,262144,4931131,277820336,37296929,16384,0,0,0,0
8388608,"GeForce GTX TITAN X (0)","2","14","vectorAdd(float const *, float const *, float*, int)",3145728,3145728,2097152,2097152,1048688,1048584,521076,524508,521157,521080,1048688,1048701,1048576,1048576,524288,524288,0,0,0,0,1048720,1048679,524289,524293,0,0,5,0,9997552,0,0,16777216,0,0,0,0,8388608,0,0,0,0,0,0,0,0,0,0,262144,34243488,4983124,262144,5505024,176160768,167772160,0,0,0,0,0,0,0,0,0,524288,262144,0,524288,9889952,558667132,74761641,32768,0,0,0,0
16777216,"GeForce GTX TITAN X (0)","2","14","vectorAdd(float const *, float const *, float*, int)",6291456,6291456,4194304,4194304,2097152,2097160,1048618,1048575,1048603,1048556,2097152,2097160,2097152,2097152,1048576,1048576,0,0,0,0,2097200,2097207,1048576,1048582,0,0,4,1,19928496,0,0,33554432,0,0,0,0,16777216,0,0,0,0,0,0,0,0,0,0,524288,68618880,9963869,524288,11010048,352321536,335544320,0,0,0,0,0,0,0,0,0,1048576,524288,0,1048576,19820262,1115378868,149579908,65536,0,0,0,0
33554432,"GeForce GTX TITAN X (0)","2","14","vectorAdd(float const *, float const *, float*, int)",12582912,12582912,8388608,8388608,4194304,4194328,2096941,2097282,2097091,2097020,4194304,4194312,4194304,4194304,2097152,2097152,0,0,0,0,4194352,4194359,2097153,2097157,0,0,1,4,39793880,0,0,67108864,0,0,0,0,33554432,0,0,0,0,0,0,0,0,0,0,1048576,137375023,19925345,1048576,22020096,704643072,671088640,0,0,0,0,0,0,0,0,0,2097152,1048576,0,2097152,39681763,2238024676,299798461,131073,1,1,0,0
67108864,"GeForce GTX TITAN X (0)","2","14","vectorAdd(float const *, float const *, float*, int)",25165824,25165824,16777216,16777216,8388616,8388616,4194317,4194146,4194283,4194300,8388624,8388624,8388608,8388608,4194304,4194304,0,0,0,0,8388656,8388663,4194308,4194306,0,0,4,1,79570300,0,0,134217728,0,0,0,0,67108864,0,0,0,0,0,0,0,0,0,0,2097152,274800645,39848960,2097152,44040192,1409286144,1342177280,0,0,0,0,0,0,0,0,0,4194304,2097152,0,4194304,79439429,4477028102,600023269,262144,0,0,0,0
134217728,"GeForce GTX TITAN X (0)","2","14","vectorAdd(float const *, float const *, float*, int)",50331648,50331648,33554432,33554432,16777852,16777904,8388493,8388239,8388462,8388416,16777868,16777888,16777216,16777216,8388608,8388608,0,0,0,0,16778496,16778543,8388610,8388612,0,0,5,0,158987960,0,0,268435456,0,0,0,0,134217728,0,0,0,0,0,0,0,0,0,0,4194304,549120016,79694848,4194304,88080384,2818572288,2684354560,0,0,0,0,0,0,0,0,0,8388608,4194304,0,8388608,158843971,8952781040,1199654741,524288,0,0,0,0
268435456,"GeForce GTX TITAN X (0)","2","14","vectorAdd(float const *, float const *, float*, int)",100663296,100663296,67108864,67108864,33557364,33557344,16777115,16776685,16777245,16777197,33557348,33557360,33554432,33554432,16777216,16777216,0,0,0,0,33560176,33560059,16777217,16777221,0,0,0,5,317510060,0,0,536870912,0,0,0,0,268435456,0,0,0,0,0,0,0,0,0,0,8388608,1098103534,159385942,8388608,176160768,5637144576,5368709120,0,0,0,0,0,0,0,0,0,16777216,8388608,0,16777216,317363184,17911411252,2396858042,1048576,0,0,0,0
