2048,"GeForce GTX TITAN X (0)","2","14","quicksort(int*, int)",76455,0,76330,0,2,0,8,0,16,32,4,8,26090,28325,8503,13412,28996,25419,10541,11374,27535,26903,8503,13418,0,0,0,5,321159408,0,0,46352,0,0,0,0,8216,0,0,0,0,0,0,0,0,0,0,1,12441778,755976,97325,950623,950624,922276,14331,8188,0,0,0,0,0,0,0,46352,10239,0,84125,13295926,13295926,13291328,1,0,0,0,0
4096,"GeForce GTX TITAN X (0)","2","14","quicksort(int*, int)",195232,0,195127,0,56,0,16,0,32,28,56,58,72971,77167,19000,25989,72971,77167,19000,25989,73011,77206,19005,25990,0,0,5,0,891583136,0,0,133863,0,0,0,0,16930,0,0,0,0,0,0,0,0,0,0,1,34639057,2055126,237614,2530351,2530352,2473598,28667,16380,0,0,0,0,0,0,0,133863,21002,0,210836,36936045,36936044,36931458,1,0,0,0,0
8192,"GeForce GTX TITAN X (0)","2","14","quicksort(int*, int)",562202,0,0,562100,12,4,0,4,0,0,8,4,234384,237555,53617,36544,229248,242691,36700,53447,229289,242730,36709,53458,0,0,5,0,2817976200,0,0,439277,0,0,0,0,33450,0,0,0,0,0,0,0,0,0,0,1,109747396,6346693,645842,7638374,7638374,7526092,57339,32764,0,0,0,0,0,0,0,439277,41619,0,592370,116703935,116703936,116617563,1,0,0,0,0
16384,"GeForce GTX TITAN X (0)","2","14","quicksort(int*, int)",1775229,0,1775129,0,320,0,36,0,32,36,344,312,784301,808152,80750,101926,784301,808152,80750,101926,784341,808191,80751,101931,0,0,1,4,9552771800,0,0,1527021,0,0,0,0,68589,0,0,0,0,0,0,0,0,0,0,1,372512626,21089654,1945526,24980703,24980702,24754302,114683,65532,0,0,0,0,0,0,0,1527021,84952,0,1837609,395492309,395492308,395504433,1,0,0,0,0
32768,"GeForce GTX TITAN X (0)","2","14","quicksort(int*, int)",6268844,0,6268744,0,0,0,2,0,0,2,4,0,2939361,2965612,207097,156674,2971431,2933542,207097,156674,2939841,2966075,175058,188719,0,0,4,1,35501890944,0,0,5774005,0,0,0,0,135004,0,0,0,0,0,0,0,0,0,0,1,1386230131,77607829,6604720,90817266,90817266,90368352,229371,131068,0,0,0,0,0,0,0,5774005,167753,0,6389883,1470376628,1470376628,1470572790,1,0,0,1,1
65536,"GeForce GTX TITAN X (0)","2","14","quicksort(int*, int)",23408801,0,0,23408701,0,6,2,26,8,6,0,0,11433356,11256091,265157,454097,11378018,11311429,265157,454097,11380330,11313636,265158,454102,0,0,5,0,"<OVERFLOW>",0,0,22427407,0,0,0,0,261135,0,0,0,0,0,0,0,0,0,0,1,5338339193,296693115,24062520,344818152,344818152,343934250,458747,262140,0,0,0,0,0,0,0,22427407,326651,0,23637150,5655516540,5655516540,5655837041,1,0,0,0,0
