128,"GeForce GTX TITAN X (0)","2","14","matMul(float*, float*, float*, int, int)",79.072325,0.299152,2.631722,2.670802,2661.000000,100.000000,100.000000,99.887260,0.001127,59.401288,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,786432,2048,0,14,66.666667,0.000000,184.458162,2.561919,327.925621,2.561919,0.000000,17.933432,655.851242,0.000000,0.000000,0.000000,0.000000,56.250000,100.000000,524288,"Low (1)","Mid (5)","Low (1)","Idle (0)","Idle (0)","Mid (6)",0,0,0,0,4194304,0,2097152,0,0,1362432,1363968,"Low (1)","Mid (5)",0.000000,"Idle (0)",2097152,0,30687232,0,557056,4210688,5996544,0,1213440,18944,18944,528384,133632,0,0.000000,10.239454,9.882072,57.544876,0.000024,0.000000,4.202078,2.111273,5.364193,0.133427,10.522603,0,5,262247,2054,0,0.000000,66.580311,100.000000,100.000000,327.925621,2.561919,262144,2048,328.054468,2.569425,0.000000,6.404797,"Mid (5)",0.000000,0,"Low (1)",0.000000,4.099437,2.543941,0.000000
256,"GeForce GTX TITAN X (0)","2","14","matMul(float*, float*, float*, int, int)",93.334027,0.769238,3.810614,3.758838,5285.000000,100.000000,100.000000,99.943236,0.000362,83.631412,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,6291456,8192,0,18,66.666667,0.000000,295.001804,2.048624,524.447652,2.048624,0.000000,4.609403,1048.895303,0.000000,0.000000,0.000000,0.000000,56.250000,100.000000,4194304,"Low (1)","High (8)","Low (1)","Idle (0)","Idle (0)","High (9)",0,0,0,0,33554432,0,16777216,0,0,10823680,10828275,"Low (1)","High (7)",0.000000,"Idle (0)",16777216,0,244383744,0,4325376,33619968,47054848,0,9636851,141312,141312,4210688,1058816,0,0.000000,5.148361,8.714935,19.943290,0.012018,0.000000,42.126838,0.342778,8.850736,0.057104,14.803939,0,5,2097687,8198,0,0.000000,66.623377,100.000000,100.000000,524.447652,2.048624,2097152,8192,524.581442,2.050124,0.000000,1.280389,"High (7)",0.000000,0,"Low (1)",0.000000,10.176025,4.279980,0.000000
512,"GeForce GTX TITAN X (0)","2","14","matMul(float*, float*, float*, int, int)",97.539984,0.915013,4.050522,4.045672,10533.000000,100.000000,100.000000,99.971518,0.000053,90.030639,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,50331648,32768,10591,39583,66.666667,0.000000,331.441514,1.150839,589.229359,1.150839,380.891609,1.390187,1178.458717,0.000000,0.000000,0.000000,0.000000,56.250000,100.000000,33554432,"Low (1)","High (8)","Low (1)","Idle (0)","Idle (0)","High (9)",0,0,0,0,268435456,0,134217728,0,0,86286336,86290944,"Low (1)","High (8)",0.000000,"Idle (0)",134217728,0,1950613504,0,34078720,268697600,372768768,0,76811264,1089536,1089536,33619968,8429568,0,0.000000,4.338267,6.383388,20.121780,0.027686,0.000000,45.972277,0.047722,8.334573,0.054828,14.719478,0,5,16777319,32774,0,0.000000,66.644993,99.929380,50.775146,589.229359,1.150839,16777216,32768,589.232976,1.151049,0.000000,184.133789,"High (8)",0.000000,0,"Low (1)",0.000000,11.555921,4.822159,0.000000
1024,"GeForce GTX TITAN X (0)","2","14","matMul(float*, float*, float*, int, int)",98.834047,0.974926,3.545027,3.542933,21029.000000,100.000000,100.000000,99.985734,0.000006,78.847767,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,402653184,131072,3002515,176941,66.666667,0.000000,296.261340,526.686826,526.686826,526.686826,11.782237,711.002302,1053.373653,0.000000,0.000000,0.000000,0.000000,56.250000,100.000000,268435456,"Low (1)","High (7)","Low (1)","Idle (0)","Idle (0)","High (8)",0,0,0,0,2147483648,0,1073741824,0,0,689078272,689082205,"Low (1)","High (7)",0.000000,"Idle (0)",1073741824,0,15587082240,0,270532608,2148532224,2967470080,0,613419357,8552448,8552448,268697600,67272704,0,0.000000,3.611179,19.764270,21.613854,0.242698,0.000000,45.965931,0.004873,2.765824,0.063449,5.967921,0,5,134217911,131078,0,0.000000,66.655823,97.767973,49.998474,526.686826,526.686826,134217728,131072,526.687545,526.710936,0.000000,20.573242,"High (7)",0.000000,0,"Low (1)",0.000000,6.659074,4.281827,0.000000
2048,"GeForce GTX TITAN X (0)","2","14","matMul(float*, float*, float*, int, int)",99.887401,0.973391,3.992554,3.996892,42021.000000,100.000000,100.000000,99.992861,0.000001,88.952971,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,3221225472,524288,68900051,571452,66.666667,0.000000,331.753236,294.891765,589.783530,294.891765,37.845332,321.419694,1179.567060,0.000000,0.000000,0.000000,0.000000,56.250000,100.000000,2147483648,"Low (1)","High (8)","Low (1)","Idle (0)","Idle (0)","High (9)",0,0,0,0,17179869184,0,8589934592,0,0,5507776512,5507780439,"Low (2)","High (8)",0.000000,"Idle (0)",8589934592,0,124625354752,0,2155872256,17184063488,23681040384,0,4903143767,67764224,67764224,2148532224,537526272,0,0.000000,4.114194,10.852836,18.830300,0.071083,0.000000,48.378727,0.000686,6.068823,0.019587,11.663764,0,5,1073742447,524294,0,0.000000,66.661243,93.527393,31.008148,589.783530,294.891765,1073741824,524288,589.783872,294.895140,0.000000,2.878906,"High (8)",0.000000,0,"Low (1)",0.000000,10.273169,4.901250,0.000000
4096,"GeForce GTX TITAN X (0)","2","14","matMul(float*, float*, float*, int, int)",99.954876,0.964296,4.034135,4.027385,84005.000000,100.000000,100.000000,99.996429,0.000000,89.632744,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,25769803776,2097152,1034597942,2144511,66.666667,0.000000,288.257793,128.114574,512.458299,128.114574,61.722042,131.007726,1024.916597,0.000000,0.000000,0.000000,0.000000,56.250000,100.000000,17179869184,"Low (1)","High (8)","Low (1)","Idle (0)","Idle (0)","High (9)",0,0,0,0,137438953472,0,68719476736,0,0,44042813440,44042817367,"Low (2)","High (8)",0.000000,"Idle (0)",68719476736,0,996717625344,0,17213423616,137455730688,189213442048,0,39208356183,539492352,539492352,17184063488,4297588736,0,0.000000,4.477701,9.641570,20.337158,0.083949,0.000000,45.083058,0.000122,6.941310,0.009902,13.425231,0,5,8589935551,2097158,0,0.000000,66.663954,88.823643,6.532669,512.458299,128.114574,8589934592,2097152,512.458356,128.114941,0.000000,320.000000,"High (8)",0.000000,0,"Low (1)",0.000000,10.902154,4.915846,0.000000
8192,"GeForce GTX TITAN X (0)","2","14","matMul(float*, float*, float*, int, int)",99.994112,0.968064,3.764308,3.769826,167973.000000,100.000000,100.000000,99.998214,0.000000,83.901082,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,206158430208,8388608,8644004220,8436909,66.666667,0.000000,269.088780,59.797506,478.380053,59.797506,60.173904,60.141816,956.760106,0.000000,0.000000,0.000000,0.000000,56.250000,100.000000,137438953472,"Low (1)","High (8)","Low (1)","Idle (0)","Idle (0)","High (9)",0,0,0,0,1099511627776,0,549755813888,0,0,352264912896,352264917504,"Low (2)","High (8)",0.000000,"Idle (0)",549755813888,0,7972600152064,0,137573171200,1099578736640,1512768012288,0,313599724544,4305453056,4305453056,137455730688,34370224128,0,0.000000,3.896459,15.894728,18.792852,0.184757,0.000000,48.771949,0.000013,3.914123,0.008228,8.536892,0,5,68719481495,8388614,0,0.000000,"<OVERFLOW>",87.271692,6.207275,478.380053,59.797506,68719476736,8388608,478.380086,59.797549,0.000000,37.000000,"High (8)",0.000000,0,"Low (1)",0.000000,8.388245,4.584186,0.000000
