256,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,98.806067,0.258820,0.983338,5.703387,365.016790,98.806067,0.258820,2.374000,1.630435,0.716033,0.000000,0.000000,0.000000,602.375731,1.016951,2.851694,45.627099,0.000000,17.187500,12.500000,12.500000,98.715210,0.000000,45.627099,0.000000,0.000000,0.873259,736.000000,20.982090,0.000000,0.000000,4.000000,16.000000,32.000000,32.000000,0,0,2621440,524288,1048576,65536,0,1,0,13519,23371,1048694,66093,0.000000,0.000000,912.541977,182.508395,45.632233,2.875931,0.000000,45.626953,69614,40960,4149945,3243516,33554432,0,0,16777216,0,0,0,0,0,"Mid (6)","Low (1)","Idle (0)","Low (1)","Low (1)","High (8)","Low (1)","Low (1)","Idle (0)",1507328,5085725,4887856,0.000000,16777216,0,5767168,0,524288,23134208,1900544,0,0.000000,0,0.000000,0,0.000000,1048576,65536,0,2.851694,0,1.482493,0.000000,6.041839,0.000000
512,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.655401,0.255313,0.994897,5.789076,185.250434,99.655401,0.255313,2.425886,1.666667,0.710417,0.000000,0.000000,0.000000,3.068253,571.558194,1.447269,46.312609,0.000000,17.187500,12.500000,12.500000,93.378258,0.000000,46.312609,0.000000,0.000000,0.874673,1440.000000,21.049690,0.000000,0.000000,4.000000,16.000000,32.000000,32.000000,0,0,20971520,4194304,8388608,262144,0,8,0,555753,101100,8388674,262145,0.000000,0.000000,926.252173,185.250435,46.312973,1.447275,0.000000,46.312500,540575,294912,33195594,25685493,268435456,0,0,134217728,0,0,0,0,0,"Mid (6)","Low (1)","Idle (0)","Low (1)","Low (1)","High (8)","Low (1)","Low (1)","Idle (0)",11796480,40413391,38903208,0.000000,134217728,0,41943040,0,4194304,184811520,11796480,0,0.000000,0,0.000000,0,0.000000,8388608,262144,0,1.447269,0,1.507752,0.000000,6.188037,0.000000
768,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.867170,0.256190,0.997238,5.852469,124.852674,99.867170,0.256190,2.432788,1.679104,0.708489,0.000000,0.000000,0.000000,3.170125,447.232952,998.821390,46.819753,0.000000,17.187492,12.500000,12.500000,93.229096,0.000000,46.819753,0.000000,0.000042,0.879445,2144.000000,21.172805,0.000000,0.000000,4.000000,16.000047,32.000000,32.000000,0,0,70778880,14155818,28311552,589824,0,1,0,1916951,264100,28311672,589831,0.000000,0.000000,936.395054,187.279566,46.819951,998.833244,0.000000,1.733398,1806031,958464,111635742,86396485,905969664,0,0,452984832,0,0,0,0,0,"Mid (6)","Low (1)","Idle (0)","Low (1)","Low (1)","High (8)","Low (1)","Low (1)","Idle (0)",39518208,135657647,130639307,0.000000,452984832,0,136839168,0,14155776,623443968,35979264,0,0.000000,0,0.000000,0,0.000000,28311552,589836,0,998.841711,0,1.527459,0.000000,6.570275,0.000000
1024,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.407118,0.254596,0.998026,5.814362,93.029791,99.407118,0.254596,2.438036,1.685393,0.707514,0.000000,0.000000,0.000000,3.238511,312.333869,744.238333,46.514896,0.000000,17.187498,12.500000,12.500000,92.985736,0.000000,46.514896,0.000000,0.000023,0.875309,2848.000000,21.077318,0.000000,0.000000,4.000000,16.000011,32.000000,32.000000,0,0,167772160,33554456,67108864,1048576,0,2,0,4672327,440055,67108928,1048581,0.000000,0.000000,930.297917,186.059716,46.514940,744.241882,0.000000,1.453125,4258767,2228224,264320640,204437401,2147483648,0,0,1073741824,0,0,0,0,0,"Mid (6)","Low (1)","Idle (0)","Low (1)","Low (1)","High (8)","Low (1)","Low (1)","Idle (0)",93323264,320848760,309039680,0.000000,1073741824,0,318767104,0,33554432,1477443584,80740352,0,0.000000,0,0.000000,0,0.000000,67108864,1048592,0,744.249689,0,1.516622,0.000000,6.367785,0.000000
1280,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.803143,0.255330,0.997956,5.855432,74.949523,99.803143,0.255330,2.438532,1.689189,0.706926,0.000000,0.000000,0.000000,3.195566,286.699127,599.596189,46.843452,0.000000,17.187495,12.500000,12.500000,92.951486,0.000000,46.843452,0.000000,0.000000,0.877961,3552.000000,21.143306,0.000000,0.000000,4.000000,16.000030,32.000000,32.000000,0,0,327680000,65536122,131072000,1638400,0,0,0,8941467,783407,131072116,1638402,0.000000,0.000000,936.869045,187.374158,46.843494,599.596920,0.000000,0.000000,8292964,4300800,515318223,398890399,4194304000,0,0,2097152000,0,0,0,0,0,"Mid (6)","Low (1)","Idle (0)","Low (1)","Idle (0)","High (8)","Low (1)","Low (1)","Idle (0)",181862400,625339743,602384095,0.000000,2097152000,0,616038400,0,65536000,2885222400,152371200,0,0.000000,0,0.000000,0,0.000000,131072000,1638400,0,599.596189,0,1.530496,0.000000,6.603997,0.000000
1536,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.950157,0.254657,0.998828,5.857699,62.482122,99.950157,0.254657,2.446431,1.691729,0.706532,0.000000,0.000000,0.000000,3.357806,206.519908,499.856985,46.861592,0.000000,17.187496,12.500000,12.500000,92.560144,0.000000,46.861592,0.000000,0.000000,0.877659,4256.000000,21.139094,0.000000,0.000000,4.000000,16.000021,32.000000,32.000000,0,0,566231040,113246359,226492416,2359296,0,0,0,16229018,974762,226492528,2359301,0.000000,0.000000,937.231848,187.446619,46.861616,499.858045,0.000000,0.000000,14301012,7372800,891691709,688839054,7247757312,0,0,3623878656,0,0,0,0,0,"Mid (6)","Low (1)","Idle (0)","Low (1)","Idle (0)","High (8)","Low (1)","Low (1)","Idle (0)",313786368,1081443207,1041895507,0.000000,3623878656,0,1056964608,0,113246208,4985192448,257163264,0,0.000000,0,0.000000,0,0.000000,226492416,2359296,0,499.856985,0,1.531010,0.000000,6.601487,0.000000
1792,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.987096,0.255013,0.999022,5.905869,53.996517,99.987096,0.255013,2.442093,1.693548,0.706250,0.000000,0.000000,0.000000,3.259701,211.167912,431.972140,47.246953,0.000000,17.187497,12.500000,12.500000,93.171228,0.000000,47.246953,0.000000,0.000000,0.877778,4960.000000,21.141814,0.000000,0.000000,4.000000,16.000018,32.000000,32.000000,0,0,899153920,179830991,359661568,3211264,0,5,0,24814067,1569814,359661784,3211269,0.000000,0.000000,944.939059,188.988029,47.246981,431.972814,0.000000,705.000000,22676295,11640832,1412218063,1093279035,11509170176,0,0,5754585088,0,0,0,0,0,"Mid (6)","Low (1)","Idle (0)","Low (1)","Low (1)","High (8)","Low (1)","Low (1)","Idle (0)",497745920,1713287558,1650622372,0.000000,5754585088,0,1669857280,0,179830784,7915765760,401408000,0,0.000000,0,0.000000,0,0.000000,359661568,3211264,0,431.972140,0,1.535364,0.000000,6.635374,0.000000
2048,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.862928,0.254397,0.999126,5.867169,46.937353,99.862928,0.254397,2.447443,1.694915,0.706038,0.000000,0.000000,0.000000,4.387599,144.738397,375.498827,46.937353,0.000000,17.187497,12.500000,12.500000,91.316447,0.000000,46.937353,0.000000,0.000000,0.877020,5664.000000,21.125395,0.000000,0.000000,4.000000,16.000015,32.000000,32.000000,0,0,1342177280,268435706,536870912,4194304,0,6,0,50185493,1616721,536871026,4194310,0.000000,0.000000,938.747068,187.749588,46.937363,375.499364,0.000000,563.000000,33810994,17301504,2109902654,1631344401,17179869184,0,0,8589934592,0,0,0,0,0,"Mid (6)","Low (1)","Idle (0)","Low (1)","Low (1)","High (8)","Low (1)","Low (1)","Idle (0)",742391808,2559353754,2465958388,0.000000,8589934592,0,2483027968,0,268435456,11815354368,591396864,0,0.000000,0,0.000000,0,0.000000,536870912,4194304,0,375.498827,0,1.530989,0.000000,6.573021,0.000000
2304,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.920496,0.254640,0.999240,5.936589,42.215744,99.920496,0.254640,2.446587,1.695980,0.705873,0.000000,0.000000,0.000000,3.725729,153.224527,337.725957,47.492713,0.000000,17.187497,12.500000,12.500000,92.249711,0.000000,47.492713,0.000000,0.000000,0.877639,6368.000000,21.140651,0.000000,0.000000,4.000000,16.000018,32.000000,32.000000,0,0,1911029760,382206392,764411904,5308416,0,5,0,59966911,2408401,764412068,5308422,0.000000,0.000000,949.854256,189.971070,47.492723,337.726339,0.000000,333.000000,48100518,24551424,3002960911,2322095622,24461180928,0,0,12230590464,0,0,0,0,0,"Mid (6)","Low (1)","Idle (0)","Low (1)","Low (1)","High (8)","Low (1)","Low (1)","Idle (0)",1056374784,3640887436,3508081732,0.000000,12230590464,0,3524788224,0,382205952,16822370304,833421312,0,0.000000,0,0.000000,0,0.000000,764411904,5308416,0,337.725957,0,1.534297,0.000000,6.626112,0.000000
2560,"GeForce GTX 680 (1)","1","7","matMul(float*, float*, float*, int)",0.000000,100.000000,0.000000,99.903733,0.254241,0.999321,5.872904,37.586588,99.903733,0.254241,2.450932,1.696833,0.705741,0.000000,0.000000,0.000000,4.280793,113.628495,300.692706,46.983235,0.000000,17.187497,12.500000,12.500000,91.621553,0.000000,46.983235,0.000000,0.000000,0.877369,7072.000000,21.135541,0.000000,0.000000,4.000000,16.000017,32.000000,32.000000,0,0,2621440000,524288568,1048576000,6553600,0,0,0,95539122,2476534,1048576176,6553613,0.000000,0.000000,939.664708,187.933145,46.983243,300.693302,0.000000,0.000000,65936437,33587200,4121899413,3184592563,33554432000,0,0,16777216000,0,0,0,0,0,"Mid (6)","Low (1)","Idle (0)","Low (1)","Idle (0)","High (8)","Low (1)","Low (1)","Idle (0)",1448345600,4998141696,4816147896,0.000000,16777216000,0,4823449600,0,524288000,23075225600,1133772800,0,0.000000,0,0.000000,0,0.000000,1048576000,6553600,0,300.692706,0,1.532406,0.000000,6.617475,0.000000
