256,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,4484,4504,17087,15633,8557,7812,7851,7939,2218,2248,2048,2268,8192,8192,8192,8192,2329712,2264464,2255432,2213796,2463152,2414612,2499244,2237148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,2399113,2296436,2082080,2141923,8192,4096,8192,8193,20047712,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048,65536,6088704,17151238,1339699,194838528,0,0,0,0,1048576,2048,18568171,1116250690,256,194641920,0,0,0,0,6789710,2123186,0,32768,0,0,7864320,30720,0,0,0,0,14285765,33106,0,0
512,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,189903,178249,65698,65319,32839,32651,32686,32682,97638,87004,97336,87269,32768,32768,32768,32768,35549764,36592132,35447268,37316108,35164836,37786732,36081448,35521448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35528359,17309404,34774635,35255792,32768,32770,32768,32769,200755395,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,262144,48472064,153231766,10821043,1551106048,0,0,0,0,8388608,8192,196948559,11533189102,1024,1550319616,0,0,0,0,35401425,35901743,0,131072,0,0,62914560,122880,0,0,0,0,130427688,143158,0,0
768,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,3168591,2889980,147250,147187,73608,73585,73644,73635,1583711,1359201,1668948,1530728,73728,73728,73728,73728,142844292,140577296,142623680,141366368,141153156,136179176,140888956,139960296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,142741053,143195956,143885331,141080288,73733,73728,73730,73896,707486402,0,0,905969664,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18432,589824,163325952,522757002,36357225,5226430464,0,0,0,0,28311552,18432,699203796,40717960410,2304,5224660992,0,0,0,0,98385436,142262756,0,294912,0,0,212336640,276480,0,0,0,0,450703287,323605,0,0
1024,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,23026454,24069120,261953,261981,130983,130974,130953,130965,11024038,12401864,9798148,11233800,131072,131072,131072,131072,403281004,403301504,397735312,402072624,395462260,396639428,398522400,395080096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,409335264,407100352,401661731,404769533,131072,131072,131072,131072,1790688997,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32768,1048576,386826240,1300004962,87520496,12378439680,0,0,0,0,67108864,32768,1785280727,99482087806,4096,12375293952,0,0,0,0,175248255,395177089,0,524288,0,0,503316480,491520,0,0,0,0,1130278926,628893,0,0
1280,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,58640574,57484548,409330,409288,204667,102327,204647,204666,29538554,14370252,29465740,28806712,204800,204800,204800,204800,789991048,785107512,783848540,786509532,758013932,757540188,760519276,756860632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788986773,785035783,786398425,783264696,204800,204800,204801,204800,3547507741,0,0,4194304000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51200,1638400,755148800,2539040291,167678048,24164761600,0,0,0,0,131072000,51200,3537054490,208191104572,6400,24159846400,0,0,0,0,326254547,787857453,0,819200,0,0,983040000,768000,0,0,0,0,2198480380,938289,0,0
1536,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,143477555,147484416,584264,584465,292297,292281,292083,292020,70427651,72719563,72646700,74642460,294912,294912,294912,294912,1264735544,1257718232,1270688112,1261179264,1189449180,1192567684,1193452720,1192280192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1259466815,1258731683,1269362016,1261886912,294932,294913,294913,294917,6124780019,0,0,7247757312,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73728,2359296,1304469504,4335106401,286675482,41743024128,0,0,0,0,226492416,73728,6115448217,375852426014,9216,41735946240,0,0,0,0,662629595,1262555941,0,1179648,0,0,1698693120,1105920,0,0,0,0,3742709198,1266722,0,0
1792,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,203580803,202480493,802253,802208,401136,401105,401141,401163,101972410,100890308,102560312,102192897,401408,401408,401408,401408,2271466708,2259379424,2263776168,2262103692,2167838968,2165897188,2161997348,2161982948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2266307187,2268334376,2264167624,2263753193,401409,401409,401412,401408,9967579164,0,0,11509170176,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100352,3211264,2070964224,7070861026,458354379,66270855168,0,0,0,0,359661568,100352,9953238498,593770139782,12544,66261221376,0,0,0,0,788643485,2268479843,0,1605632,0,0,2697461760,1505280,0,0,0,0,6138370473,1856983,0,0
2048,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,398585446,400412625,1046508,1046427,523305,523215,523328,523134,196251398,202782018,196755957,204162256,524288,524288,524288,524288,3234268604,3219263544,3220256156,3228510000,3028627224,3015507376,3032507488,3015914988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,3237079115,3229916116,3217056727,3206204148,524288,524288,524292,524292,14654397240,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131072,4194304,3090808832,10652138235,683742971,98905882624,0,0,0,0,536870912,131072,14638786107,874934384548,16384,98893299712,0,0,0,0,1341099984,3222302768,0,2097152,0,0,4026531840,1966080,0,0,0,0,9233072798,2417977,0,0
2304,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,667936158,667086528,1325530,1325473,662755,662706,662630,662604,334051346,330824584,334919656,336740104,663552,663552,663552,663552,4917067592,4910435844,4905614056,4909107308,4575155940,4576957632,2283542188,4570569848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4913403044,4904937052,4908887485,4906934684,663557,663553,663554,663553,21561884315,0,0,24461180928,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165888,5308416,4400179200,15121593036,970605778,140805734400,0,0,0,0,764411904,165888,21550595156,1301609160488,20736,140789809152,0,0,0,0,1591174179,4906327005,0,2654208,0,0,5733089280,2488320,0,0,0,0,13124506648,3038185,0,0
2560,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,1294087092,1297430085,1615107,1613571,807721,806904,807476,806413,645045808,648962124,651855524,649172292,819200,819200,819200,819208,6627285980,6617847572,6620283992,6592837840,5978664676,5962564436,5970079220,5956177008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6630363552,6616407867,6622877205,6601600795,819200,819200,819204,819201,30200904434,0,0,33554432000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204800,6553600,6035251200,20565361293,1324560749,193128038400,0,0,0,0,1048576000,204800,30182691577,1862911712270,25600,193108377600,0,0,0,0,2293386352,6619509648,0,3276800,0,0,7864320000,3072000,0,0,0,0,17817739866,3543738,0,0
