128,"GeForce GTX TITAN (0)","2","14","matMul(float*, float*, float*, int, int)",0.000000,0.000000,89.674971,0.314717,0.559765,75.810037,296.132956,89.674971,0.314717,1.464960,0.000000,1.349372,0.000000,0.000000,0.000000,0.000000,1.313078,1.184532,161.096328,0.000000,0.000000,47.058824,25.000000,100.000000,0.000000,161.096328,0.000000,0.099340,100.000000,0.000000,0.776233,1434.000000,16.832850,0.000000,0.000000,0.000000,0.000000,8.500000,16.000000,0,0,0,0,1114112,8192,0,9,0,0,9081,1114212,10485,0.000000,0.000000,0.000000,0.000000,161.110788,1.516091,0.000000,1.301365,99.790795,74953,34816,1123236,131584,4194304,0,0,2097152,0,0,0,0,0,1.069083,5.354616,5.870823,0.000000,0.000000,0.333307,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (5)","Low (2)","Low (1)","Idle (0)",734208,1809793,1569837,0.000000,0,0.000000,0.000000,0.000000,0.000000,2097152,0,15892480,0,1064960,4210688,180224,0,0.000000,0,0.000000,1114112,9308,0,1.345901,0,789,114.086378,25.276022,0.132325,0.030008,0.000000,25.675822,36.288002,13.113376,0.000000
256,"GeForce GTX TITAN (0)","2","14","matMul(float*, float*, float*, int, int)",0.000000,0.000000,91.549537,0.314622,0.898928,77.761488,151.877906,91.549537,0.314622,1.471998,0.000000,1.356439,0.000000,0.000000,0.000000,65.519594,581.926723,607.511625,165.243162,0.000000,0.000000,47.058824,25.000000,99.957410,0.000000,165.243162,0.000000,0.000000,100.000000,0.000000,0.777746,2842.000000,16.858978,0.000000,0.000000,0.000000,0.000000,8.500000,16.000000,0,0,0,0,8912896,32768,0,5,0,3534,31388,8912991,32774,0.000000,0.000000,0.000000,0.000000,165.244923,607.622863,0.000000,92.698000,99.894441,598651,270336,8953384,1050624,33554432,0,0,16777216,0,0,0,0,0,0.932244,3.413797,3.672497,0.000000,0.000000,0.302457,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (5)","Low (2)","Low (1)","Idle (0)",5820416,14388055,12475438,0.000000,0,0.000000,0.000000,0.000000,0.000000,16777216,0,126484480,0,8454144,33619968,720896,0,0.000000,0,0.000000,8912896,32768,0,607.511625,0,0,0.000000,31.519548,0.018533,0.030887,0.000000,15.982650,44.158274,25.103538,0.000000
512,"GeForce GTX TITAN (0)","2","14","matMul(float*, float*, float*, int, int)",0.000000,0.000000,97.516980,0.315326,0.951411,83.901949,81.935497,97.516980,0.315326,1.475143,0.000000,1.360021,0.000000,0.000000,0.000000,115.829408,324.091298,327.741989,178.291642,0.000000,0.000000,47.058824,25.000000,99.934797,0.000000,178.291642,0.000000,0.000000,100.000000,0.000000,0.780476,5658.000000,16.917056,0.000000,0.000000,0.000000,0.000000,8.500000,16.000000,0,0,0,0,71303168,131072,0,4,0,46323,129612,71303897,131445,0.000000,0.000000,0.000000,0.000000,178.293465,328.674665,0.000000,10.001000,99.946978,4761359,2129920,71487958,8396800,268435456,0,0,134217728,0,0,0,0,0,0.878033,3.221220,3.522730,0.000000,0.000000,0.301826,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (5)","Low (2)","Low (1)","Idle (0)",46350336,114723705,99466853,0.000000,0,0.000000,0.000000,0.000000,0.000000,134217728,0,1009254400,0,67371008,268697600,2883584,0,0.000000,0,0.000000,71303168,131072,0,327.741989,0,0,0.000000,31.853117,0.002209,0.033126,0.000000,15.173692,45.047173,27.144380,0.000000
1024,"GeForce GTX TITAN (0)","2","14","matMul(float*, float*, float*, int, int)",0.000000,0.000000,99.573742,0.314489,0.968044,84.960315,41.484528,99.573742,0.314489,1.482443,0.000000,1.361825,0.000000,0.000000,0.000000,2.183059,165.018361,165.938115,180.540670,0.000000,0.000000,47.058824,25.000000,98.795358,0.000000,180.540670,0.000000,0.000000,100.000000,0.000000,0.780522,11290.000000,16.923271,0.000000,0.000000,0.000000,0.000000,8.500000,16.000000,0,0,0,0,570425344,524288,0,5,0,6897460,521382,570429239,524638,0.000000,0.000000,0.000000,0.000000,180.541903,166.048891,0.000000,1.582000,99.973428,37965615,16908288,573261656,67141632,2147483648,0,0,1073741824,0,0,0,0,0,0.873488,3.161235,3.468720,0.000000,0.000000,0.299666,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (5)","Low (2)","Low (1)","Idle (0)",369950720,918381606,796493980,0.000000,0,0.000000,0.000000,0.000000,0.000000,1073741824,0,8063549440,0,537919488,2148532224,11534336,0,0.000000,0,0.000000,570425344,524288,0,165.938115,0,40623,12.857254,31.943566,0.000339,0.033805,0.000000,14.994437,45.258548,27.719482,0.000000
2048,"GeForce GTX TITAN (0)","2","14","matMul(float*, float*, float*, int, int)",0.000000,0.000000,99.884894,0.312704,0.923669,84.971555,20.745008,99.884894,0.312704,1.493952,0.000000,1.362729,0.000000,0.000000,0.000000,5.531127,82.902916,82.980034,180.564555,0.000000,0.000000,47.058824,25.000000,96.882734,0.000000,180.564555,0.000000,0.000000,100.000000,0.000000,0.779869,22554.000000,16.922681,0.000000,0.000000,0.000000,0.000000,8.500000,16.000000,0,0,0,0,4563402752,2097152,0,2,0,139788006,2095203,4563450712,2097418,0.000000,0.000000,0.000000,0.000000,180.566453,82.990559,0.000000,79.000000,99.986699,302201769,134742016,4616546716,537001984,17179869184,0,0,8589934592,0,0,0,0,0,0.873844,3.286081,3.724897,0.000000,0.000000,0.301188,"Low (1)","Low (3)","Idle (0)","Low (1)","Low (1)","Mid (5)","Low (2)","Low (1)","Idle (0)",2956197888,7372614297,6399248403,0.000000,0,0.000000,0.000000,0.000000,0.000000,8589934592,0,64466452480,0,4299161600,17184063488,46137344,0,0.000000,0,0.000000,4563402752,2097152,0,82.980034,0,0,0.000000,31.438519,0.000036,0.033765,0.000000,15.841893,44.533543,25.994566,0.000000
4096,"GeForce GTX TITAN (0)","2","14","matMul(float*, float*, float*, int, int)",0.000000,0.000000,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",84.993879,10.375229,"<OVERFLOW>","<OVERFLOW>",1.497630,0.000000,1.363183,0.000000,0.000000,0.000000,6.221231,41.362507,41.500917,180.611993,0.000000,0.000000,47.058824,25.000000,96.540558,0.000000,180.611993,0.000000,0.000000,"<OVERFLOW>",0.000000,"<OVERFLOW>",45082.000000,"<OVERFLOW>",0.000000,0.000000,0.000000,0.000000,8.500000,16.000000,0,0,0,0,36507222016,8388608,0,1,0,1257501598,8360631,36507572676,8388614,0.000000,0.000000,0.000000,0.000000,180.613728,41.500947,0.000000,4.000000,"<OVERFLOW>",2419643192,1075838976,36963571737,4295491584,137438953472,0,0,68719476736,0,0,0,0,0,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","Low (1)","Low (1)","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",23635951616,59033873229,51245853148,0.000000,0,0.000000,0.000000,0.000000,0.000000,68719476736,0,"<OVERFLOW>",0,34376515584,137455730688,184549376,0,0.000000,0,0.000000,36507222016,8388708,0,41.501412,0,0,0.000000,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",0.000000
8192,"GeForce GTX TITAN (0)","2","14","matMul(float*, float*, float*, int, int)",0.000000,0.000000,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",5.181203,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",0.000000,"<OVERFLOW>",0.000000,0.000000,0.000000,7.838481,20.523609,20.724814,"<OVERFLOW>",0.000000,0.000000,"<OVERFLOW>",25.000000,"<OVERFLOW>",0.000000,"<OVERFLOW>",0.000000,"<OVERFLOW>","<OVERFLOW>",0.000000,"<OVERFLOW>",90138.000000,"<OVERFLOW>",0.000000,0.000000,0.000000,0.000000,"<OVERFLOW>",16.000000,0,0,0,0,"<OVERFLOW>",33554432,0,0,0,12690862497,33228671,"<OVERFLOW>",33554445,0.000000,0.000000,0.000000,0.000000,"<OVERFLOW>",20.724822,0.000000,0.000000,"<OVERFLOW>",19362486776,8598323200,"<OVERFLOW>",34361835520,"<OVERFLOW>",0,0,"<OVERFLOW>",0,0,0,0,0,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","Low (1)","Idle (0)","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",189033086976,"<OVERFLOW>","<OVERFLOW>",0.000000,0,0.000000,0.000000,0.000000,0.000000,"<OVERFLOW>",0,"<OVERFLOW>",0,"<OVERFLOW>","<OVERFLOW>",738197504,0,0.000000,0,0.000000,"<OVERFLOW>",33554440,0,20.724819,0,0,0.000000,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",0.000000
