256,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",5264400,5254128,2373360,2378000,14,0,4106,2,4115,4089,8,14,2359296,2359296,16384,16384,2359296,2359296,16384,16384,2359344,2359351,16384,16390,0,0,0,5,6633368,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,13243097,8436113,1190618,10815488,346095616,345899008,0,0,0,0,0,0,0,0,0,1048576,2048,0,141312,5827610,309557910,153828526,1024,0,0,0,0
512,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",42008576,42008576,18935280,18944528,10132,17425,19476,22300,19418,19631,10068,10224,18874368,18874368,65536,65536,18864320,18864308,61486,61502,18874416,18874423,65541,65537,0,0,1,4,45381556,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,99143179,67297498,9478679,86253568,2760114176,2759327744,0,0,0,0,0,0,0,0,0,8388608,8192,0,1089536,43946219,2672877414,1350625927,4096,0,0,0,0
768,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",141705216,141705216,63848448,63848448,59984,59780,51104,51063,50857,50980,60032,60288,63700992,63700992,147456,147456,63640732,63640176,138059,138055,63701040,63701047,147456,147462,0,0,0,5,155444968,0,0,905969664,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,18432,346465629,226916868,31943491,290801664,9305653248,9303883776,0,0,0,0,0,0,0,0,0,28311552,18432,0,3631104,152470509,9509018136,4766391592,9216,0,0,0,0
1024,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",335765472,335847456,151257088,151257088,2707471,2796539,87669,84627,87632,87526,2708635,2708764,150994944,150994944,262144,262144,148212555,148212580,229278,229269,150994992,150994999,262144,262150,0,0,0,5,348266572,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,771992696,537624793,75661863,688947200,22046310400,22043164672,0,0,0,0,0,0,0,0,0,67108864,32768,0,8552448,346836763,21808282222,10861716328,16384,0,0,0,0
1280,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",655718368,655820832,295356208,295286992,5609434,7001456,121633,125045,121553,121588,5611231,5612601,294912000,294912000,409600,409600,286115142,286111222,341776,341728,294912288,294912247,409605,409601,0,0,1,4,721281260,0,0,4194304000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,51200,1652902154,1049754145,147712873,1345177600,43045683200,43040768000,0,0,0,0,0,0,0,0,0,131072000,51200,0,16640000,719897690,45453528948,22719886415,25600,0,0,1,0
1536,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",1133113376,1132990432,510183920,510211600,10652427,10235900,171742,168481,171740,171926,10655255,10661705,509607936,509607936,589824,589824,499537391,499537027,508180,508038,509608224,509608183,589825,589829,0,0,1,4,1224337544,0,0,7247757312,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,73728,2788385519,1813635293,255173163,2323980288,74367369216,74360291328,0,0,0,0,0,0,0,0,0,226492416,73728,0,28680192,1216867455,76898498052,38776500351,36864,0,0,0,0
1792,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",1799003088,1799218224,810041344,810041344,35076355,36518978,229383,229216,229401,229187,35064006,35063999,809238528,809238528,802816,802816,775903076,775904295,644431,644532,809239136,809239143,802816,802822,0,0,0,5,2001686796,0,0,11509170176,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,100352,4711370835,2879601949,405122560,3689842688,118074966016,118065332224,0,0,0,0,0,0,0,0,0,359661568,100352,0,45459456,1991534751,124418957362,62520288218,50176,0,0,0,0
2048,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",2685198256,2685608016,1208989680,1209026576,61851749,60688421,297399,300881,297411,297400,61856314,61856350,1207959552,1207959552,1048576,1048576,1150167574,1150167734,791430,791399,1207960160,1207960167,1048576,1048582,0,0,0,5,2827376960,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,6380983804,4297982496,604636008,5507252224,176232071168,176219488256,0,0,0,0,0,0,0,0,0,536870912,131072,0,67764224,2818538526,178810989146,90118191665,65536,0,0,0,0
2304,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",3823386624,3823386624,1721129376,1721378400,94355698,94169671,377386,379672,377318,377197,94351416,94340168,1719926784,1719926784,1327104,1327104,1626147834,1626155822,976608,976613,1719927072,1719927035,1327105,1327109,0,0,1,4,4559197528,0,0,24461180928,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,165888,11536106079,6119110877,860793384,7840696320,250902282240,250886356992,0,0,0,0,0,0,0,0,0,764411904,165888,0,96380928,4546067563,288304752704,147168882711,82944,0,0,0,0
2560,"GeForce GTX TITAN X (0)","1","7","matMul(float*, float*, float*, int)",5244415968,5244620832,2360911344,2360957456,131834083,131507894,471009,466571,470900,470899,131831769,131817444,2359296000,2359296000,1638400,1638400,2227933887,2227939127,1195523,1196010,2359296488,2359296511,1638401,1638405,0,0,5,0,6350255132,0,0,33554432000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,204800,16048178499,8393318931,1180672860,10754662400,344149196800,344129536000,0,0,0,0,0,0,0,0,0,1048576000,204800,0,132096000,6335336411,403233254846,203142452788,102400,0,0,0,0
