256,"GeForce GTX 750 (0)","1","7","matSum(float*, float*, float*, int)",24576,24576,16384,16384,0,0,3462,0,1732,1730,1718,1725,0,0,8,12,4096,4096,4096,4096,2048,2048,2048,2048,4096,4096,4096,4096,2048,2048,2048,2048,4096,4104,4120,4112,2048,2048,2050,2052,0,0,0,0,0,0,1,4,47004,0,0,131072,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,44301,64247,2048,67584,2162688,2097152,0,0,0,0,0,0,0,0,0,4096,2048,0,4096,31558,1549104,48851,64,0,0,0,0
512,"GeForce GTX 750 (0)","1","7","matSum(float*, float*, float*, int)",98304,98304,65536,65536,26372,25825,22222,21676,11125,11097,11212,11104,13132,13240,13372,13117,16384,16384,16384,16384,8192,8192,8192,8192,3276,3312,3272,3260,0,0,0,0,16392,16384,16392,16392,8192,8193,8193,8196,0,0,0,0,0,1,0,4,231292,0,0,524288,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,578943,254859,8192,270336,8650752,8388608,0,0,0,0,0,0,0,0,0,16384,8192,0,16384,212935,11362908,387358,256,0,0,0,0
768,"GeForce GTX 750 (0)","1","7","matSum(float*, float*, float*, int)",221184,221184,147456,147456,73728,73736,45098,43894,22553,22545,22464,22496,36864,36864,36864,36873,36864,36864,36864,36864,18432,18432,18432,18432,0,0,0,0,0,0,0,0,36864,36864,36872,36880,18437,18432,18433,18432,0,0,0,0,4,0,1,0,528116,0,0,1179648,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,18432,1481114,572314,18432,608256,19464192,18874368,0,0,0,0,0,0,0,0,0,36864,18432,0,36864,511394,26554510,976385,576,0,0,0,0
1024,"GeForce GTX 750 (0)","1","7","matSum(float*, float*, float*, int)",393216,393216,262144,262144,131102,131081,73147,74612,36559,36588,36571,36572,65554,65548,65552,65556,65536,65536,65536,65536,32768,32768,32768,32768,0,0,0,0,0,0,0,0,65544,65536,65544,65544,32768,32768,32773,32769,0,0,0,0,0,0,5,0,890652,0,0,2097152,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,2432636,1016735,32768,1081344,34603008,33554432,0,0,0,0,0,0,0,0,0,65536,32768,0,65536,874192,46005112,1648573,1024,0,0,0,0
1280,"GeForce GTX 750 (0)","1","7","matSum(float*, float*, float*, int)",614400,614400,409600,409600,301328,204808,100343,111086,50237,50126,50234,49792,150642,150645,150673,150660,102400,102400,102400,102400,51200,51200,51200,51200,0,0,0,0,0,0,0,0,102441,102436,102440,102420,51200,51201,51205,51200,0,0,0,0,0,1,0,4,1789372,0,0,3276800,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,51200,3921435,1588128,51200,1689600,54067200,52428800,0,0,0,0,0,0,0,0,0,102400,51200,0,102400,1772111,90781758,2642030,1600,0,0,0,0
1536,"GeForce GTX 750 (0)","1","7","matSum(float*, float*, float*, int)",884736,884736,589824,589824,294913,294921,154668,154740,77305,77363,77284,77290,147456,147457,147456,147464,147456,147456,147456,147456,73728,73728,73728,73728,0,0,0,0,0,0,0,0,147456,147456,147464,147472,73729,73732,73729,73728,0,0,0,0,5,0,0,0,2057468,0,0,4718592,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,73728,5662840,2286468,73728,2433024,77856768,75497472,0,0,0,0,0,0,0,0,0,147456,73728,0,147456,2041775,103823636,3833252,2304,0,0,0,0
1792,"GeForce GTX 750 (0)","1","7","matSum(float*, float*, float*, int)",1204224,1204224,802816,802816,401408,401416,207882,207918,103936,103946,103956,103916,200704,200704,200704,200713,200704,200704,200704,200704,100352,100352,100352,100352,0,0,0,0,0,0,0,0,200704,200704,200720,200712,100357,100352,100352,100353,0,0,0,0,4,0,0,1,2800504,0,0,6422528,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,100352,7982073,3111842,100352,3311616,105971712,102760448,0,0,0,0,0,0,0,0,0,200704,100352,0,200704,2781655,140657034,5336572,3136,0,0,0,0
2048,"GeForce GTX 750 (0)","1","7","matSum(float*, float*, float*, int)",1572864,1572864,1048576,1048576,524289,524297,270840,269476,135404,135436,135496,135482,262144,262145,262144,262152,262144,262144,262144,262144,131072,131072,131072,131072,0,0,0,0,0,0,0,0,262197,262196,262232,262232,131072,131072,131073,131077,0,0,0,0,0,0,1,4,3409884,0,0,8388608,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,9434420,4064160,131072,4325376,138412032,134217728,0,0,0,0,0,0,0,0,0,262144,131072,0,262144,3393752,178016808,6460218,4096,0,0,0,0
2304,"GeForce GTX 750 (0)","1","7","matSum(float*, float*, float*, int)",1990656,1990656,1327104,1327104,663552,663560,339994,338814,170004,169990,170016,169956,331776,331776,331792,331793,331776,331776,331776,331776,165888,165888,165888,165888,0,0,0,0,0,0,0,0,331784,331776,331784,331784,165889,165888,165892,165889,0,0,0,0,0,0,0,5,4816284,0,0,10616832,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,165888,13688652,5143453,165888,5474304,175177728,169869312,0,0,0,0,0,0,0,0,0,331776,165888,0,331776,4799688,243113328,9084629,5184,0,0,0,0
2560,"GeForce GTX 750 (0)","1","7","matSum(float*, float*, float*, int)",2457600,2457600,1638400,1638400,819200,819209,417854,416724,208917,208937,209088,209040,409600,409600,409616,409617,409600,409600,409600,409600,204800,204800,204800,204800,0,0,0,0,0,0,0,0,409608,409604,409624,409616,204800,204801,204805,204800,0,0,0,0,0,0,5,0,5810136,0,0,13107200,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,204800,16087959,6349700,204800,6758400,216268800,209715200,0,0,0,0,0,0,0,0,0,409600,204800,0,409600,5793947,292269454,10817063,6400,0,0,0,0
2816,"GeForce GTX 750 (0)","1","7","matSum(float*, float*, float*, int)",2973696,2973696,1982464,1982464,991237,991265,503952,502612,251966,251986,251908,251910,495617,495620,495632,495632,495616,495616,495616,495616,247808,247808,247808,247808,0,0,0,0,0,0,0,0,495616,495616,495624,495632,247808,247813,247808,247809,0,0,0,0,4,0,0,1,7014780,0,0,15859712,0,0,0,0,7929856,0,0,0,0,0,0,0,0,0,0,247808,19777792,7682982,247808,8177664,261685248,253755392,0,0,0,0,0,0,0,0,0,495616,247808,0,495616,6997903,351681084,13189286,7744,0,0,0,0
3072,"GeForce GTX 750 (0)","1","7","matSum(float*, float*, float*, int)",3538944,3538944,2359296,2359296,1179649,1309409,598676,598676,299331,299345,299316,299294,589825,589824,589824,589832,589824,589824,589824,589824,294912,294912,294912,294912,0,0,0,0,0,0,0,0,589824,589824,589856,589840,294917,294912,294912,294913,0,0,0,0,1,4,0,0,7963836,0,0,18874368,0,0,0,0,9437184,0,0,0,0,0,0,0,0,0,0,294912,22216593,9143195,294912,9732096,311427072,301989888,0,0,0,0,0,0,0,0,0,589824,294912,0,589824,7948313,403766464,16131918,9216,0,0,0,0
3328,"GeForce GTX 750 (0)","1","7","matSum(float*, float*, float*, int)",4153344,4153344,2768896,2768896,1384448,1384480,698922,700322,349488,349434,349500,349504,692224,692224,692224,692233,692224,692224,692224,692224,346112,346112,346112,346112,0,0,0,0,0,0,0,0,692224,692224,692232,692240,346116,346113,346113,346112,0,0,0,0,0,4,1,0,9454296,0,0,22151168,0,0,0,0,11075584,0,0,0,0,0,0,0,0,0,0,346112,29098808,10730394,346112,11421696,365494272,354418688,0,0,0,0,0,0,0,0,0,692224,346112,0,692224,9438070,476724366,17962714,10816,0,0,0,0
3584,"GeForce GTX 750 (0)","1","7","matSum(float*, float*, float*, int)",4816896,4816896,3211264,3211264,1605632,1605665,809718,810976,404848,404870,404924,404908,802816,802816,802816,802825,802816,802816,802816,802816,401408,401408,401408,401408,0,0,0,0,0,0,0,0,867682,867688,867688,867688,401412,401408,401409,401409,0,0,0,0,0,4,0,1,11679992,0,0,25690112,0,0,0,0,12845056,0,0,0,0,0,0,0,0,0,0,401408,33417524,12444579,401408,13246464,423886848,411041792,0,0,0,0,0,0,0,0,0,802816,401408,0,802816,11664023,587108340,22254364,12544,0,0,0,0
3840,"GeForce GTX 750 (0)","1","7","matSum(float*, float*, float*, int)",5529600,5529600,3686400,3686400,1843200,1843208,928326,928258,464157,464169,464184,464212,921600,921600,921600,921609,921600,921600,921600,921600,460800,460800,460800,460800,0,0,0,0,0,0,0,0,921873,921872,921912,921892,460804,460801,460800,460801,0,0,0,0,4,0,0,1,12848508,0,0,29491200,0,0,0,0,14745600,0,0,0,0,0,0,0,0,0,0,460800,36578482,14285726,460800,15206400,486604800,471859200,0,0,0,0,0,0,0,0,0,921600,460800,0,921600,12830631,653484152,24368541,14400,0,0,0,0
4096,"GeForce GTX 750 (0)","1","7","matSum(float*, float*, float*, int)",6291456,6291456,4194304,4194304,2097153,2097161,1057124,1056812,528558,528566,528484,528514,1048577,1048576,1048576,1048584,1048576,1048576,1048576,1048576,524288,524288,524288,524288,0,0,0,0,0,0,0,0,1048576,1048576,1048600,1048600,524288,524292,524288,524290,0,0,0,0,0,4,0,1,14996632,0,0,33554432,0,0,0,0,16777216,0,0,0,0,0,0,0,0,0,0,524288,42741720,16253863,524288,17301504,553648128,536870912,0,0,0,0,0,0,0,0,0,1048576,524288,0,1048576,14979341,779608140,28414909,16384,0,0,0,0
4352,"GeForce GTX 750 (0)","1","7","matSum(float*, float*, float*, int)",7102464,7102464,4734976,4734976,2367489,2367497,1191424,1190120,595695,595729,595860,595834,1183745,1183744,1183744,1183752,1183744,1183744,1183744,1183744,591872,591872,591872,591872,0,0,0,0,0,0,0,0,1183744,1183744,1183752,1183760,591877,591873,591872,591872,0,0,0,0,0,5,0,0,16317788,0,0,37879808,0,0,0,0,18939904,0,0,0,0,0,0,0,0,0,0,591872,46276481,18348953,591872,19531776,625016832,606076928,0,0,0,0,0,0,0,0,0,1183744,591872,0,1183744,16301826,830980502,30880214,18496,0,0,0,0
4608,"GeForce GTX 750 (0)","1","7","matSum(float*, float*, float*, int)",7962624,7962624,5308416,5308416,2654208,2654216,1333918,1333894,666952,666966,666952,666908,1327104,1327104,1327104,1327113,1327104,1327104,1327104,1327104,663552,663552,663552,663552,0,0,0,0,0,0,0,0,1327104,1327104,1327120,1327112,663552,663556,663553,663553,0,0,0,0,0,4,1,0,19790108,0,0,42467328,0,0,0,0,21233664,0,0,0,0,0,0,0,0,0,0,663552,56805473,20571022,663552,21897216,700710912,679477248,0,0,0,0,0,0,0,0,0,1327104,663552,0,1327104,19773120,996026226,37520629,20736,0,0,0,0
4864,"GeForce GTX 750 (0)","1","7","matSum(float*, float*, float*, int)",8871936,8871936,5914624,5914624,3084206,2957344,1477656,1486462,738857,738827,738967,738856,1542085,1542096,1542111,1542136,1478656,1478656,1478656,1478656,739328,739328,739328,739328,0,0,0,0,0,0,0,0,1478656,1478656,1478664,1478672,739332,739329,739328,739329,0,0,0,0,0,5,0,0,20555676,0,0,47316992,0,0,0,0,23658496,0,0,0,0,0,0,0,0,0,0,739328,59145294,22920105,739328,24397824,780730368,757071872,0,0,0,0,0,0,0,0,0,1478656,739328,0,1478656,20537399,1038711528,38010763,23104,0,0,0,0
5120,"GeForce GTX 750 (0)","1","7","matSum(float*, float*, float*, int)",9830400,9830400,6553600,6553600,3276849,3276809,1645464,1645536,822725,822739,822788,822738,1638432,1638417,1638416,1638424,1638400,1638400,1638400,1638400,819200,819200,819200,819200,0,0,0,0,0,0,0,0,1693318,1693336,1693316,1693312,819204,819200,819200,819202,0,0,0,0,0,4,0,1,22428216,0,0,52428800,0,0,0,0,26214400,0,0,0,0,0,0,0,0,0,0,819200,64402495,25396136,819200,27033600,865075200,838860800,0,0,0,0,0,0,0,0,0,1638400,819200,0,1638400,22412318,1128946842,42209625,25600,0,0,0,0
