256,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,4193,4096,6755,6823,3392,3390,3408,3399,2105,2052,2056,2128,4096,4096,4096,4096,524288,524288,524288,524288,522240,522240,522240,522240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524588,524479,524435,524308,4096,4096,4096,4097,9204534,0,0,8388608,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4096,65536,6692864,8746778,45439,107085824,1310720,524288,0,0,524288,4096,9073149,142223290,4096,106954752,0,0,0,0,0,0,2097152,16384,262144,0,1572864,12288,0,0,1572864,524288,2097152,16384,0,0
512,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,616547,616992,19739,19859,9871,9930,10593,10001,308255,305596,309280,310576,16384,16384,16384,16384,4194304,4194304,4194304,4194304,3890256,3889884,3886620,3886660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2097201,4194327,4194329,4194839,16390,16385,16385,16388,75831403,0,0,67108864,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,262144,52985856,70633443,180608,847773696,10485760,4194304,0,0,4194304,16384,75683623,1201924984,16384,847249408,0,0,0,0,0,0,16777216,65536,2097152,0,12582912,49152,0,0,12582912,4194304,16777360,65536,0,0
768,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,7129252,7129292,37511,37492,18758,18760,18778,18749,3564651,3565636,3565117,3561960,36864,36864,36864,36864,14155776,14155776,14155776,14155776,10598428,10598400,10598400,10598480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,14157856,14157048,14158968,14157131,36864,36868,36866,36865,279302590,0,0,226492416,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36864,589824,178200576,241096339,405887,2851209216,35389440,14155776,0,0,14155776,36864,278592142,4447405498,36864,2850029568,0,0,0,0,0,0,56623104,147456,7077888,0,42467328,110592,0,0,42467328,14155776,56623289,147456,0,0
1024,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,16883787,16875477,66623,66684,33299,33301,33317,33932,8441891,8439772,8436856,8442320,65608,65536,65536,65536,33554432,16777216,33554432,33554432,25130188,25130480,25130528,25130616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33557493,33558631,33559017,33557177,65537,65537,65541,65536,659521517,0,0,536870912,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65536,1048576,421658624,571045268,721280,6746537984,83886080,33554432,0,0,33554432,65536,659389266,10530024644,65536,6744440832,0,0,0,0,0,0,134217728,262144,16777216,0,100663296,196608,0,0,100663296,33554432,134217928,262144,0,0
1280,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,32947976,32936765,104527,104569,52255,52249,52226,52259,16474007,16472352,16467384,16468993,102548,102400,102400,102400,65536000,65536000,65536000,65536000,49097916,49096724,49096732,49096852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,4,65544048,65547960,65544112,65546669,102405,102400,102400,102400,1292457047,0,0,1048576000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102400,1638400,822681600,1115151736,1126783,13162905600,163840000,65536000,0,0,65536000,102400,1292305512,20647088368,102400,13159628800,0,0,0,0,0,0,262144000,409600,32768000,0,196608000,307200,0,0,196608000,65536000,262144205,409600,0,0
1536,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,56908237,56883204,151447,151651,75766,75626,75790,75673,28453977,28448072,28446032,28453600,147456,147456,147456,147456,113246208,113246208,113246208,113246208,84851764,84854944,84857076,84856836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,113262441,113267592,113259537,113262801,147468,147457,147456,147461,2239654496,0,0,1811939328,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147456,2359296,1420591104,1926630037,1622398,22729457664,283115520,113246208,0,0,113246208,147456,2239442404,35793613564,147456,22724739072,0,0,0,0,0,0,452984832,589824,56623104,0,339738624,442368,0,0,339738624,113246208,452985375,589824,0,0
1792,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,90301087,90295744,204366,204241,102159,102096,102193,102098,45150667,45157701,45140080,45149864,200704,200704,200704,200704,179830784,179830784,179830784,179830784,134762812,134764312,134761248,134760396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,179850515,179857568,179858944,179846528,200704,200704,200709,200710,3548121452,0,0,2877292544,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200704,3211264,2254708736,3058698539,2208123,36075339776,449576960,179830784,0,0,179830784,200704,3547960713,56721263596,200704,36068917248,0,0,0,0,0,0,719323136,802816,89915392,0,539492352,602112,0,0,539492352,179830784,719323562,802816,0,0
2048,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,134763572,134731068,267263,267256,133725,133588,133595,133602,67381891,67380269,67362484,67367556,262144,262144,262144,262144,268435456,268435456,268435456,268435456,201186944,201184356,201179376,201182932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,268468332,268465543,268471783,268463053,262144,262145,262144,262144,5273846943,0,0,4294967296,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262144,4194304,3364356096,4564981363,2883968,53829697536,671088640,268435456,0,0,268435456,262144,5273585716,84320603094,262144,53821308928,0,0,0,0,0,0,1073741824,1048576,134217728,0,805306368,786432,0,0,805306368,268435456,1073742300,1048576,0,0
2304,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,191935308,191889328,338286,338381,169157,169195,168990,169092,95967799,95967092,95934836,95935108,331776,331776,331776,331776,382205952,382205952,382205952,382205952,286435592,286443000,286429308,286443544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,382256920,382250080,382261452,191127844,331777,331776,331776,331778,7533757866,0,0,6115295232,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331776,5308416,4788854784,6499479287,3649920,76621676544,955514880,382205952,0,0,382205952,331776,7533469078,120467724592,331776,76611059712,0,0,0,0,0,0,1528823808,1327104,191102976,0,1146617856,995328,0,0,1146617856,382205952,1528824638,1327104,0,0
2560,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,263604780,263453988,417258,417560,208594,208844,208784,208725,131804300,131753757,131757212,131727032,409600,409600,409600,409600,524288000,524288000,524288000,524288000,392788004,392769448,392768564,392807888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,524363684,524345787,524352917,524354652,409601,409600,409604,409605,10355775826,0,0,8388608000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409600,6553600,6567526400,8914442180,4505983,105080422400,1310720000,524288000,0,0,524288000,409600,10355496701,165605619890,409600,105067315200,0,0,0,0,0,0,2097152000,1638400,262144000,0,1572864000,1228800,0,0,1572864000,524288000,2097153140,1638400,0,0
2816,"Quadro K5200 (1)","1","7","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,350357996,350374732,505881,505744,252906,252947,252966,253129,175176191,175227281,175178160,175165404,495616,495616,495616,495616,697827328,697827328,697827328,697827328,522975256,522951564,522948768,522945884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,697908888,697906385,697927589,697916136,495616,495616,495617,495617,13760211429,0,0,11165237248,0,0,0,0,7929856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495616,7929856,8739692544,11864264134,5452157,139835080704,1744568320,697827328,0,0,697827328,495616,13759960023,220061656250,495616,139819220992,0,0,0,0,0,0,2791309312,1982464,348913664,0,2093481984,1486848,0,0,2093481984,697827328,2791310197,1982464,0,0
