256,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.274851,0.493214,2.199417,2.199148,2016.000000,100.000000,50.000000,49.950397,0.000047,51.378185,1.200000,1.000000,0.000000,0.000000,4.000000,4.000000,524288,1572864,0,0,2097152,16384,0,5,2097176,16390,0,6,0.000000,0.000000,38.668660,309.349277,77.337319,618.698555,0.000000,0.000000,100.000000,100.000000,0.000000,232.011719,38.668660,77.337319,618.698555,77.338204,618.925129,0.000000,193.342773,0.000000,0.000000,232.011958,77.337319,50.000000,50.000000,1048576,"Low (1)","Low (2)","Mid (4)","Idle (0)","Idle (0)","Mid (4)",0,0,0,0,33554432,0,16777216,0,0,8257536,8257920,"Low (1)","Low (1)","Low (2)","Low (3)",10.046739,23.810159,38.045785,0.000000,12.804231,11.490500,0.056576,1.032862,62.500000,"Mid (6)",16777216,0,64225280,0,4194304,37814272,8978432,0,7717120,270336,270336,3432448,2904064,0,0.000000,0.000000,0,0.000000,2.833882,0,2097152,16384,3.468552,0.000000,0.072992,2.640156
512,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.948223,0.498417,1.976407,1.976128,4000.000000,100.000000,50.000000,49.975000,0.000005,46.191913,1.200000,1.000000,0.000000,0.000000,4.000000,4.000000,4194304,12582912,0,0,16777216,65536,0,5,17036738,65542,195183,57510,0.000000,0.000000,35.222316,140.889261,70.444631,281.778523,0.000000,0.000000,99.609828,87.500000,839.208643,247.269941,35.222316,70.444631,281.778523,71.534319,281.804321,0.000000,22.013672,0.000000,0.000000,211.333893,70.444631,50.000000,50.000000,8388608,"Low (1)","Low (2)","Low (3)","Idle (0)","Idle (0)","Mid (4)",0,0,0,0,268435456,0,134217728,0,0,65536000,65536330,"Low (1)","Low (1)","Low (2)","Low (3)",8.674520,22.380685,41.891242,0.000000,13.602188,10.351241,0.004268,0.994978,62.500000,"Mid (6)",134217728,0,508559360,0,33554432,302252032,69468160,0,61276362,2129920,2129920,27361280,23150592,0,0.000000,0.000000,0,0.000000,2.468303,0,16777216,65536,3.160000,0.000000,0.032333,2.068545
768,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.982836,0.498966,1.591449,1.590667,5984.000000,100.000000,50.000000,49.983289,0.000001,37.188193,1.200000,1.000000,0.000000,0.000000,4.000000,4.000000,14155776,42467328,0,0,56623104,147456,0,5,56882746,147462,12318245,111742,0.000000,0.000000,28.414407,75.771752,56.828815,151.543506,0.000000,0.000000,79.164682,87.500000,12.362997,114.839507,28.414407,56.828815,151.543506,57.089400,151.549672,0.000000,5.261719,0.000000,0.000000,170.486444,56.828815,50.000000,50.000000,28311552,"Low (1)","Low (2)","Low (3)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,905969664,0,452984832,0,0,220594176,220594560,"Low (2)","Low (1)","Low (2)","Low (3)",6.559186,16.927817,58.954391,0.000000,9.230209,6.188590,0.001038,0.780795,62.500000,"Mid (5)",452984832,0,1710489600,0,113246208,1019805696,231800832,0,206291200,7151616,7151616,92233728,78041088,0,0.000000,0.000000,0,0.000000,1.895825,0,56623104,147456,2.549907,0.000000,0.016727,1.341247
1024,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.993622,0.499310,1.566437,1.564686,7968.000000,100.000000,50.000000,49.987450,0.000001,36.583956,1.200000,1.000000,0.000000,0.000000,4.000000,4.000000,33554432,100663296,0,0,134217728,262144,0,5,135515146,262150,34851682,170380,0.000000,0.000000,28.008451,56.016902,56.016902,112.033804,0.000000,0.000000,74.902272,87.500000,14.545644,72.816160,28.008451,56.016902,112.033804,56.558391,112.036368,0.000000,2.187500,0.000000,0.000000,168.050707,56.016902,50.000000,50.000000,67108864,"Low (1)","Low (2)","Low (3)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,2147483648,0,1073741824,0,0,522190848,522191178,"Low (2)","Low (1)","Low (2)","Low (3)",6.455822,16.634807,59.675675,0.000000,9.072946,6.073494,0.000521,0.765832,62.500000,"Mid (5)",1073741824,0,4047503360,0,268435456,2416967680,546308096,0,488374474,16908288,16908288,218497024,184877056,0,0.000000,0.000000,0,0.000000,1.861493,0,134217728,262144,2.514793,0.000000,0.012342,1.308561
1280,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.996060,0.499522,1.530738,1.531301,9952.000000,100.000000,50.000000,49.989952,0.000000,35.805239,1.200000,1.000000,0.000000,0.000000,4.000000,4.000000,65536000,196608000,0,0,262144000,409600,0,5,264479818,409606,68080627,243838,0.000000,0.000000,27.416948,43.867116,54.833895,87.734232,0.000000,0.000000,74.920419,87.500000,14.240745,52.228856,27.416948,54.833895,87.734232,55.322489,87.735517,0.000000,1.095703,0.000000,0.000000,164.501685,54.833895,50.000000,50.000000,131072000,"Low (1)","Low (1)","Low (3)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,4194304000,0,2097152000,0,0,1019084800,1019085184,"Low (2)","Low (1)","Low (1)","Low (2)",6.272173,16.185218,60.941620,0.000000,8.789469,5.804819,0.000217,0.745292,62.500000,"Mid (4)",2097152000,0,7897088000,0,524288000,4720230400,1063321600,0,953139456,32972800,32972800,426598400,360960000,0,0.000000,0.000000,0,0.000000,1.814419,0,262144000,409600,2.460808,0.000000,0.009618,1.251573
1536,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.998546,0.499639,1.527207,1.527476,11936.000000,100.000000,50.000000,49.991622,0.000000,35.717026,1.200000,1.000000,0.000000,0.000000,4.000000,4.000000,113246208,339738624,0,0,452984832,589824,0,5,456617948,589830,117311786,332888,0.000000,0.000000,27.361661,36.482214,54.723322,72.964429,0.000000,0.000000,74.933269,87.500000,14.171977,41.180052,27.361661,54.723322,72.964429,55.162224,72.965171,0.000000,648.000000,0.000000,0.000000,164.169966,54.723322,50.000000,50.000000,226492416,"Low (1)","Low (1)","Low (3)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,7247757312,0,3623878656,0,0,1760034816,1760035200,"Low (2)","Low (1)","Low (1)","Low (2)",6.250427,16.131253,61.101690,0.000000,8.756844,5.764347,0.000125,0.742909,62.500000,"Mid (4)",3623878656,0,13636730880,0,905969664,8156086272,1833172992,0,1646199040,56918016,56918016,736985088,623591424,0,0.000000,0.000000,0,0.000000,1.809039,0,452984832,589824,2.455069,0.000000,0.007984,1.244420
1792,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.998746,0.499711,1.524841,1.524801,13920.000000,100.000000,50.000000,49.992816,0.000000,35.655373,1.200000,1.000000,0.000000,0.000000,4.000000,4.000000,179830784,539492352,0,0,719323136,802816,0,5,725551392,802822,186478400,440924,0.000000,0.000000,27.327486,31.231413,54.654973,62.462826,0.000000,0.000000,74.938142,87.500000,14.168836,34.305942,27.327486,54.654973,62.462826,55.128203,62.463292,0.000000,407.000000,0.000000,0.000000,163.964919,54.654973,50.000000,50.000000,359661568,"Low (1)","Low (1)","Low (3)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,11509170176,0,5754585088,0,0,2793799680,2793800064,"Low (2)","Low (1)","Low (1)","Low (2)",6.240508,16.093496,61.209050,0.000000,8.733014,5.736333,0.000079,0.740613,62.500000,"Mid (4)",5754585088,0,21643919360,0,1438646272,12951027712,2906193920,0,2613166336,90316800,90316800,1170104320,990072832,0,0.000000,0.000000,0,0.000000,1.805204,0,719323136,802816,2.453695,0.000000,0.006831,1.240075
2048,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.998215,0.499755,1.581148,1.581335,15904.000000,100.000000,50.000000,49.993712,0.000000,36.978025,1.200000,1.000000,0.000000,0.000000,4.000000,4.000000,268435456,805306368,0,0,1073741824,1048576,0,5,1082565060,1048582,277716609,560886,0.000000,0.000000,28.347146,28.347145,56.694292,56.694291,0.000000,0.000000,74.949004,87.488937,14.663624,30.325922,28.347146,56.694292,56.694291,57.160165,56.694615,0.000000,283.000000,0.000000,0.000000,170.082876,56.694292,50.000000,50.000000,536870912,"Low (1)","Low (2)","Low (3)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,17179869184,0,8589934592,0,0,4169138176,4169138560,"Low (2)","Low (1)","Low (2)","Low (3)",6.521886,16.719420,59.423739,0.000000,9.122889,6.116614,0.000155,0.766743,62.500000,"Mid (5)",8589934592,0,32296140800,0,2147483648,19331547136,4332716032,0,3899654400,134742016,134742016,1746403328,1477705728,0,0.000000,0.000000,0,0.000000,1.882556,0,1073741824,1048576,2.545251,0.000000,0.006219,1.322335
2304,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.998576,0.499720,1.525224,1.525184,17888.000000,100.000000,50.000000,49.994410,0.000000,35.665499,1.200000,1.000000,0.000000,0.000000,4.000000,4.000000,382205952,1146617856,0,0,1528823808,1327104,0,5,1541799220,1327110,395937846,704633,0.000000,0.000000,27.345196,24.306840,54.690392,48.613681,0.000000,0.000000,74.954358,87.500000,14.163827,25.811695,27.345196,54.690392,48.613681,55.154559,48.613901,0.000000,192.000000,0.000000,0.000000,164.071175,54.690392,50.000000,50.000000,764411904,"Low (1)","Low (1)","Low (3)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,24461180928,0,12230590464,0,0,5934809088,5934809417,"Low (2)","Low (1)","Low (1)","Low (2)",6.245026,16.111492,61.144349,0.000000,8.747615,5.762679,0.000047,0.741484,62.500000,"Mid (4)",12230590464,0,45970882560,0,3057647616,27524136960,6163070976,0,5551276233,191766528,191766528,2486329344,2103791616,0,0.000000,0.000000,0,0.000000,1.806242,0,1528823808,1327104,2.455367,0.000000,0.005310,1.241999
2560,"GeForce GTX 750 (0)","1","7","matMul(float*, float*, float*, int)",99.999282,0.499828,1.523527,1.523520,19872.000000,100.000000,50.000000,49.994968,0.000000,35.627002,1.200000,1.000000,0.000000,0.000000,4.000000,4.000000,524288000,1572864000,0,0,2097152000,1638400,0,5,2115059242,1638406,543057047,858524,0.000000,0.000000,27.320223,21.856177,54.640445,43.712356,0.000000,0.000000,74.959144,87.500000,14.149131,22.905338,27.320223,54.640445,43.712356,55.107011,43.712516,0.000000,139.000000,0.000000,0.000000,163.921336,54.640445,50.000000,50.000000,1048576000,"Low (1)","Low (1)","Low (3)","Idle (0)","Idle (0)","Low (3)",0,0,0,0,33554432000,0,16777216000,0,0,8139571200,8139571584,"Low (2)","Low (1)","Low (1)","Low (2)",6.241844,16.109528,61.163777,0.000000,8.744493,5.753944,0.000032,0.740677,62.500000,"Mid (4)",16777216000,0,63045632000,0,4194304000,37755289600,8447590400,0,7613645056,262963200,262963200,3410329600,2885632000,0,0.000000,0.000000,0,0.000000,1.804368,0,2097152000,1638400,2.453231,0.000000,0.004770,1.240935
