gpu_id,l1_cache_used,max_clock_rate,num_of_cores,threads_launched,Instructions.Executed,Instructions.Issued,Executed.IPC,Achieved.Occupancy,Global.Hit.Rate,Shared.Load.Transactions,Shared.Store.Transactions,Global.Load.Transactions,Global.Store.Transactions,Duration
7,0,1110,512,31719424,32710656,32711513,1.063258,0.854477,50,0,0,15859712,7929856,0.006889744
7,0,1110,512,9437184,9732096,9732964,1.081401,0.854073,50,0,0,4718592,2359296,0.001999281
7,0,1110,512,5308416,5474304,5475157,1.070019,0.849701,50,0,0,2654208,1327104,0.001152617
7,0,1110,512,4194304,4325376,4326234,1.056356,0.858158,50,0,0,2097152,1048576,0.000933889
7,0,1110,512,3211264,3311616,3312467,1.061124,0.843585,50,0,0,1605632,802816,0.000696281
7,0,1110,512,2359296,2433024,2433965,1.058443,0.850594,50,0,0,1179648,589824,0.000518539
7,0,1110,512,1638400,1689600,1690458,1.044766,0.842379,50,0,0,819200,409600,0.000362812
7,0,1110,512,1048576,1081344,1082281,1.088311,0.812257,50,0,0,524288,262144,0.00022145
7,0,1110,512,589824,608256,609205,1.022501,0.858903,50,0,0,294912,147456,0.000132275
7,0,1110,512,262144,270336,271192,1.054883,0.843633,50,0,0,131072,65536,0.000059034
7,0,1110,512,16777216,17301504,17302444,1.245951,0.894146,50,0,0,8388608,2097152,0.003112856
7,0,1110,512,7929856,8177664,8178603,1.048352,0.851282,50,0,0,3964928,1982464,0.001797127
7,0,1110,512,34668544,35751936,35752889,1.052159,0.857438,50,0,0,17334272,8667136,0.007459093
7,0,1110,512,6553600,6758400,6759250,1.069312,0.853745,50,0,0,3276800,1638400,0.001421485
7,0,1110,512,40960000,42240000,42240850,1.066143,0.859152,50,0,0,20480000,10240000,0.008893342
7,0,1110,512,12845056,13246464,13247411,1.236013,0.883746,50,0,0,6422528,1605632,0.002356649
7,0,1110,512,37748736,38928384,38929246,1.076043,0.852343,50,0,0,18874368,9437184,0.007974111
7,0,1110,512,11075584,11421696,11422638,1.262172,0.882569,50,0,0,5537792,1384448,0.00211469
7,0,1110,512,9437184,9732096,9733031,1.276051,0.883485,50,0,0,4718592,1179648,0.001675217
7,0,1110,512,7929856,8177664,8178602,1.254342,0.879693,50,0,0,3964928,991232,0.001436298
7,0,1110,512,6553600,6758400,6759337,1.167234,0.880702,50,0,0,3276800,819200,0.001181892
7,0,1110,512,4194304,4325376,4326324,1.280712,0.896948,50,0,0,2097152,524288,0.00073378
7,0,1110,512,3211264,3311616,3312566,1.258197,0.882184,50,0,0,1605632,401408,0.000577732
7,0,1110,512,2359296,2433024,2433976,1.25393,0.884688,50,0,0,1179648,294912,0.000425972
7,0,1110,512,1638400,1689600,1690535,1.245243,0.891159,50,0,0,819200,204800,0.000300033
7,0,1110,512,1048576,1081344,1082288,1.24322,0.890099,50,0,0,524288,131072,0.000190669
7,0,1110,512,5308416,5474304,5475246,1.100967,0.880002,50,0,0,2654208,663552,0.000964891
7,0,1110,512,262144,270336,271268,1.229829,0.875711,50,0,0,131072,32768,0.000044059
7,0,1110,512,65536,67584,68366,2.741633,0.790054,50,0,0,32768,8192,0.000008735
7,0,1110,512,67108864,69206016,69206869,1.066963,0.85234,50,0,0,33554432,16777216,0.014606
7,0,1110,512,62980096,64948224,64949166,1.032615,0.859551,50,0,0,31490048,15745024,0.014015
7,0,1110,512,58982400,60825600,60826552,1.13536,0.85759,50,0,0,29491200,14745600,0.01293
7,0,1110,512,55115776,56838144,56839087,1.045754,0.863106,50,0,0,27557888,13778944,0.01211
7,0,1110,512,51380224,52985856,52986720,1.056677,0.856553,50,0,0,25690112,12845056,0.011212
7,0,1110,512,589824,608256,609196,1.194826,0.888766,50,0,0,294912,73728,0.000112501
7,0,1110,512,44302336,45686784,45687734,1.065882,0.857829,50,0,0,22151168,11075584,0.009605235
7,0,1110,512,47775744,49268736,49269580,1.049988,0.851911,50,0,0,23887872,11943936,0.010581
7,0,1110,512,65536,67584,68665,0.722762,0.845544,50,0,0,65536,32768,0.000024094
7,0,1110,512,2359296,2433024,2434177,0.237301,0.799885,0,0,0,4718592,2359296,0.002463234
7,0,1110,512,1638400,1689600,1690773,0.235881,0.800037,0,0,0,3276800,1638400,0.001729646
7,0,1110,512,1048576,1081344,1082490,0.23982,0.78589,0,0,0,2097152,1048576,0.001076307
7,0,1110,512,589824,608256,609410,0.237806,0.802734,0,0,0,1179648,589824,0.000602819
7,0,1110,512,262144,270336,271487,0.241254,0.74277,0,0,0,524288,262144,0.000268037
7,0,1110,512,65536,67584,68742,0.279336,0.74157,0,0,0,131072,65536,0.000060697
7,0,1110,512,67108864,69206016,69207162,0.251401,0.840737,50,0,0,134217728,67108864,0.067843
7,0,1110,512,62980096,64948224,64949377,0.312545,0.836802,50,0,0,125960192,62980096,0.047918
7,0,1110,512,58982400,60825600,60826758,0.314275,0.836086,50,0,0,117964800,58982400,0.044554
7,0,1110,512,3211264,3311616,3312770,0.228897,0.800222,0,0,0,6422528,3211264,0.003404992
7,0,1110,512,55115776,56838144,56839291,0.314888,0.836695,50,0,0,110231552,55115776,0.042867
7,0,1110,512,47775744,49268736,49269901,0.314728,0.836454,50,0,0,95551488,47775744,0.037299
7,0,1110,512,44302336,45686784,45687946,0.318151,0.836489,50,0,0,88604672,44302336,0.034205
7,0,1110,512,40960000,42240000,42241151,0.317543,0.836359,50,0,0,81920000,40960000,0.031671
7,0,1110,512,37748736,38928384,38929534,0.321938,0.83671,50,0,0,75497472,37748736,0.028825
7,0,1110,512,34668544,35751936,35753090,0.318011,0.836212,50,0,0,69337088,34668544,0.026782
7,0,1110,512,31719424,32710656,32711816,0.316504,0.836845,50,0,0,63438848,31719424,0.024637
7,0,1110,512,28901376,29804544,29805718,0.318036,0.836494,50,0,0,57802752,28901376,0.022295
7,0,1110,512,26214400,27033600,27034754,0.317943,0.835671,50,0,0,52428800,26214400,0.020218
7,0,1110,512,23658496,24397824,24398987,0.318858,0.835555,50,0,0,47316992,23658496,0.018222
7,0,1110,512,51380224,52985856,52987012,0.315101,0.836248,50,0,0,102760448,51380224,0.040125
7,0,1110,512,4194304,4325376,4326544,0.238169,0.795093,0,0,0,8388608,4194304,0.004295297
7,0,1110,512,5308416,5474304,5475458,0.228681,0.806992,0,0,0,10616832,5308416,0.005658416
7,0,1110,512,6553600,6758400,6759568,0.228219,0.805478,0,0,0,13107200,6553600,0.006977926
7,0,1110,512,67108864,69206016,69207191,0.115084,0.685032,0,0,0,134217728,67108864,0.127477
7,0,1110,512,62980096,64948224,64949390,0.189804,0.819155,0,0,0,125960192,62980096,0.07425
7,0,1110,512,58982400,60825600,60826757,0.199547,0.819845,0,0,0,117964800,58982400,0.065747
7,0,1110,512,55115776,56838144,56839300,0.209201,0.815293,0,0,0,110231552,55115776,0.058235
7,0,1110,512,51380224,52985856,52987015,0.217429,0.810316,0,0,0,102760448,51380224,0.052122
7,0,1110,512,47775744,49268736,49269890,0.218357,0.808716,0,0,0,95551488,47775744,0.053078
7,0,1110,512,44302336,45686784,45687943,0.22742,0.805108,0,0,0,88604672,44302336,0.047158
7,0,1110,512,40960000,42240000,42241157,0.22652,0.805735,0,0,0,81920000,40960000,0.0437
7,0,1110,512,37748736,38928384,38929535,0.232923,0.804462,0,0,0,75497472,37748736,0.039321
7,0,1110,512,34668544,35751936,35753093,0.22961,0.804417,0,0,0,69337088,34668544,0.036509
7,0,1110,512,31719424,32710656,32711829,0.22749,0.803527,0,0,0,63438848,31719424,0.033784
7,0,1110,512,28901376,29804544,29805703,0.229385,0.805181,0,0,0,57802752,28901376,0.030465
7,0,1110,512,26214400,27033600,27034765,0.230042,0.804607,0,0,0,52428800,26214400,0.027748
7,0,1110,512,23658496,24397824,24398976,0.230887,0.805413,0,0,0,47316992,23658496,0.02488
7,0,1110,512,21233664,21897216,21898381,0.225029,0.807313,0,0,0,42467328,21233664,0.022758
7,0,1110,512,18939904,19531776,19532930,0.230678,0.800956,0,0,0,37879808,18939904,0.019972
7,0,1110,512,14745600,15206400,15207560,0.232401,0.799803,0,0,0,29491200,14745600,0.015472
7,0,1110,512,12845056,13246464,13247608,0.226879,0.804811,0,0,0,25690112,12845056,0.01369
7,0,1110,512,11075584,11421696,11422854,0.231975,0.803136,0,0,0,22151168,11075584,0.011556
7,0,1110,512,9437184,9732096,9733252,0.232473,0.803851,0,0,0,18874368,9437184,0.009849141
7,0,1110,512,7929856,8177664,8178836,0.228993,0.807214,0,0,0,15859712,7929856,0.008336693
