256,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int, int)",99.368711,0.930749,4.044317,4.038269,5285.000000,100.000000,100.000000,99.943236,0.000071,89.856581,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,6291456,8192,0,5,2097176,8198,0,0,66.666667,0.000000,60.938036,433.337146,108.334287,433.337146,0.000000,66.623377,100.000000,100.000000,0.000000,0.000000,216.668573,108.334287,433.337146,108.335526,433.654531,0.000000,270.834961,0.000000,0.000000,0.000000,0.000000,56.250000,100.000000,4194304,"Low (1)","High (8)","Low (1)","Idle (0)","Idle (0)","High (9)",0,0,0,0,33554432,0,16777216,0,0,10823680,10824448,"Idle (0)","Low (1)","High (8)","Mid (4)",3.541053,2.504958,4.148087,0.003145,0.000000,75.539583,0.032882,4.823111,0.000000,"Idle (0)",16777216,0,244383744,0,4325376,33619968,47054848,0,9634304,141312,141312,4210688,1058816,0,0.000000,0.000000,0,0.000000,8.837908,0,2097152,8192,4.867397,0.000000,0.036530,9.370651
512,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int, int)",99.514518,0.935146,4.069770,4.069812,10533.000000,100.000000,100.000000,99.971518,0.000009,90.568864,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,50331648,32768,0,5,16777240,32774,194603,57676,66.666667,0.000000,61.795382,219.716912,109.858456,219.716912,0.000000,66.644993,99.612761,50.000000,1.274275,386.730732,219.716912,109.858456,219.716912,109.858613,219.757143,0.000000,34.330078,0.000000,0.000000,0.000000,0.000000,56.250000,100.000000,33554432,"Low (1)","High (8)","Low (1)","Idle (0)","Idle (0)","High (9)",0,0,0,0,268435456,0,134217728,0,0,86286336,86287104,"Low (1)","Low (1)","High (8)","Mid (4)",3.533843,2.435061,5.839892,0.003341,0.000000,73.769467,0.007958,4.901692,0.000000,"Idle (0)",134217728,0,1950613504,0,34078720,268697600,372768768,0,76808704,1089536,1089536,33619968,8429568,0,0.000000,0.000000,0,0.000000,8.964322,0,16777216,32768,4.926662,0.000000,0.018419,9.490328
768,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int, int)",99.847835,0.922121,4.052121,4.051768,15781.000000,100.000000,100.000000,99.980990,0.000003,90.170456,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,169869312,73728,0,5,56882586,73734,3432075,110708,66.666667,0.000000,61.533322,145.856763,109.392573,145.856763,0.000000,66.652212,94.387923,49.967448,6.630571,219.014628,218.785145,109.392573,145.856763,109.893877,145.868633,0.000000,10.128906,0.000000,0.000000,0.000000,0.000000,56.250000,100.000000,113246208,"Low (1)","High (8)","Low (1)","Idle (0)","Idle (0)","High (9)",0,0,0,0,905969664,0,452984832,0,0,290875392,290876160,"Low (1)","Low (1)","High (8)","Mid (4)",3.694188,2.481613,13.863341,0.003776,0.000000,65.527303,0.002467,4.889283,0.000000,"Idle (0)",452984832,0,6578307072,0,114425856,906559488,1253965824,0,258933248,3631104,3631104,113393664,28403712,0,0.000000,0.000000,0,0.000000,8.866841,0,56623104,73728,4.923005,0.000000,0.012990,9.525038
1024,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int, int)",99.888348,0.919171,4.053524,4.054705,21029.000000,100.000000,100.000000,99.985734,0.000001,90.237364,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,402653184,131072,0,5,134736836,131078,9038764,169374,66.666667,0.000000,61.066055,108.561875,108.561876,108.561875,0.000000,66.655823,93.652529,49.612427,7.310995,140.285943,217.123752,108.561876,108.561875,108.981756,108.566845,0.000000,4.240234,0.000000,0.000000,0.000000,0.000000,56.250000,100.000000,268435456,"Low (1)","High (8)","Low (1)","Idle (0)","Idle (0)","High (9)",0,0,0,0,2147483648,0,1073741824,0,0,689078272,689079040,"Low (1)","Low (1)","High (8)","Mid (4)",3.698539,2.491734,14.232824,0.003616,0.000000,65.074078,0.001019,4.917957,0.000000,"Idle (0)",1073741824,0,15587082240,0,270532608,2148532224,2967470080,0,613417472,8552448,8552448,268697600,67272704,0,0.000000,0.000000,0,0.000000,8.876859,0,134217728,131072,4.928783,0.000000,0.009835,9.570398
1280,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int, int)",99.870985,0.917405,4.054938,4.056570,26277.000000,100.000000,100.000000,99.988583,0.000001,90.279788,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,786432000,204800,0,5,263182104,204806,17683235,241916,66.666667,0.000000,60.147403,85.542973,106.928717,85.542973,0.000000,66.657991,93.650736,47.444336,7.213004,101.045966,213.857433,106.928717,85.542973,107.352160,85.545479,0.000000,2.137695,0.000000,0.000000,0.000000,0.000000,56.250000,100.000000,524288000,"Low (1)","High (8)","Low (1)","Idle (0)","Idle (0)","High (9)",0,0,0,0,4194304000,0,2097152000,0,0,1345382400,1345383168,"Low (1)","Low (1)","High (8)","Mid (4)",3.696191,2.479229,14.046443,0.003714,0.000000,65.268551,0.000485,4.921367,0.000000,"Idle (0)",2097152000,0,30436556800,0,527564800,4195942400,5790105600,0,1197670912,16640000,16640000,524697600,131328000,0,0.000000,0.000000,0,0.000000,8.883538,0,262144000,204800,4.934277,0.000000,0.007837,9.576184
1536,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int, int)",99.950178,0.916809,4.056840,4.057081,31525.000000,100.000000,100.000000,99.990484,0.000000,90.291769,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,1358954496,294912,0,5,454801518,294918,30617342,330854,66.666667,0.000000,59.984164,71.092342,106.638514,71.092342,0.000000,66.659436,93.645363,43.969048,7.207720,79.756625,213.277027,106.638514,71.092342,107.066185,71.093788,0.000000,1.233398,0.000000,0.000000,0.000000,0.000000,56.250000,100.000000,905969664,"Low (1)","High (8)","Low (1)","Idle (0)","Idle (0)","High (9)",0,0,0,0,7247757312,0,3623878656,0,0,2324275200,2324275968,"Low (1)","Low (1)","High (8)","Mid (4)",3.703756,2.475454,14.087504,0.003678,0.000000,65.171577,0.000289,4.945554,0.000000,"Idle (0)",3623878656,0,52586348544,0,910688256,7250116608,9998696448,0,2069103104,28680192,28680192,906559488,226861056,0,0.000000,0.000000,0,0.000000,8.886652,0,452984832,294912,4.938099,0.000000,0.006551,9.605637
1792,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int, int)",99.974954,0.909050,4.057446,4.056746,36773.000000,100.000000,100.000000,99.991842,0.000000,90.284727,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,2157969408,401408,0,5,722437584,401414,49256412,443408,66.666667,0.000000,59.818933,60.768439,106.344770,60.768439,0.000000,66.660469,93.581885,39.164640,7.282071,67.126744,212.689541,106.344770,60.768439,106.805210,60.769348,0.000000,793.000000,0.000000,0.000000,0.000000,0.000000,56.250000,100.000000,1438646272,"Low (1)","High (8)","Low (1)","Idle (0)","Idle (0)","High (9)",0,0,0,0,11509170176,0,5754585088,0,0,3690244096,3690245632,"Low (1)","Low (1)","High (8)","Mid (4)",3.732672,2.495353,14.200283,0.003715,0.000000,64.890094,0.000183,4.988359,0.000000,"Idle (0)",5754585088,0,83496075264,0,1445068800,11512381440,15870066688,0,3285124096,45459456,45459456,1439449088,360163328,0,0.000000,0.000000,0,0.000000,8.887179,0,719323136,401408,4.940650,0.000000,0.005698,9.683643
2048,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int, int)",99.982250,0.910640,4.058261,4.057739,42021.000000,100.000000,100.000000,99.992861,0.000000,90.307154,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,3221225472,524288,0,5,1078389044,524294,73425318,562672,66.666667,0.000000,59.940615,53.280546,106.561093,53.280546,0.000000,66.661243,93.597910,33.226395,7.286931,57.181304,213.122187,106.561093,53.280546,107.022296,53.281156,0.000000,532.000000,0.000000,0.000000,0.000000,0.000000,56.250000,100.000000,2147483648,"Low (1)","High (8)","Low (1)","Idle (0)","Idle (0)","High (9)",0,0,0,0,17179869184,0,8589934592,0,0,5507776512,5507777280,"Low (1)","Low (1)","High (8)","Mid (4)",3.727428,2.483211,14.124681,0.003671,0.000000,64.986892,0.000128,4.989738,0.000000,"Idle (0)",8589934592,0,124625354752,0,2155872256,17184063488,23681040384,0,4903141888,67764224,67764224,2148532224,537526272,0,0.000000,0.000000,0,0.000000,8.891465,0,1073741824,524288,4.941889,0.000000,0.004951,9.679301
2304,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int, int)",99.981438,0.915552,4.057057,4.056618,47269.000000,100.000000,100.000000,99.993653,0.000000,90.282466,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,4586471424,663552,0,5,1535571084,663558,109388474,702086,66.666667,0.000000,59.847206,47.286680,106.395032,47.286680,0.000000,66.661846,93.276928,28.490608,7.612643,50.032727,212.790065,106.395032,47.286680,106.864594,47.287108,0.000000,373.000000,0.000000,0.000000,0.000000,0.000000,56.250000,100.000000,3057647616,"Low (1)","High (8)","Low (1)","Idle (0)","Idle (0)","High (9)",0,0,0,0,24461180928,0,12230590464,0,0,7841359872,7841360640,"Low (2)","Low (1)","High (8)","Mid (4)",3.708549,2.476712,14.488479,0.003809,0.000000,64.760036,0.000091,4.950142,0.000000,"Idle (0)",12230590464,0,177433804800,0,3068264448,24466489344,33708441600,0,6980567552,96380928,96380928,3058974720,765241344,0,0.000000,0.000000,0,0.000000,8.883979,0,1528823808,663552,4.942862,0.000000,0.004419,9.607763
2560,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int, int)",99.991763,0.916710,4.056775,4.056359,52517.000000,100.000000,100.000000,99.994288,0.000000,90.276897,0.000000,0.000000,0.000000,0.000000,6.000000,4.000000,0,0,0,0,6291456000,819200,0,5,2106235198,819206,154880570,859395,66.666667,0.000000,59.717585,42.465837,106.164595,42.465837,0.000000,66.662328,93.053533,25.834473,7.840554,44.549474,212.329190,106.164595,42.465837,106.624416,42.466148,0.000000,271.000000,0.000000,0.000000,0.000000,0.000000,56.250000,100.000000,4194304000,"Low (1)","High (8)","Low (1)","Idle (0)","Idle (0)","High (9)",0,0,0,0,33554432000,0,16777216000,0,0,10755481600,10755483136,"Low (2)","Low (1)","High (8)","Mid (4)",3.698585,2.473665,14.596679,0.003866,0.000000,64.712220,0.000064,4.932771,0.000000,"Idle (0)",16777216000,0,243381043200,0,4207411200,33560985600,46229094400,0,9574810624,132096000,132096000,4195942400,1049600000,0,0.000000,0.000000,0,0.000000,8.882896,0,2097152000,819200,4.943392,0.000000,0.003971,9.578178
