256,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int, int)",3153920,3153920,1056768,1056768,0,0,136,508,52,84,92,52,0,0,0,0,524288,524288,524288,524288,2048,2048,2048,2048,524288,524288,524288,524288,2048,2048,2048,2048,524296,524288,524296,524296,2048,2049,2053,2048,0,0,0,0,0,1,0,4,2695128,0,0,33554432,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,1031176,8444160,1190144,10823680,346357760,346161152,0,0,0,0,0,0,0,0,0,1048576,2048,0,141312,2672577,159142030,20678856,256,0,0,0,0
512,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int, int)",25198592,25198592,8421376,8421376,32372,31959,29246,27850,14613,14633,14544,14536,16188,16184,16220,16212,4194304,4194304,4194304,4194304,8192,8192,8192,8192,4178088,4178088,4178096,4178088,4096,4096,4096,4096,4194320,4194320,4194336,4194336,8197,8192,8193,8192,0,0,0,0,1,4,0,0,21210136,0,0,268435456,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,7917326,67330304,9478400,86286336,2761162752,2760376320,0,0,0,0,0,0,0,0,0,8388608,8192,0,1089536,21187652,1273305154,171824392,1024,0,0,0,0
768,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int, int)",85008384,85008384,28385280,28385280,1716530,1711740,54871,55816,27424,27447,27446,27420,858234,858296,858293,858719,14155776,14155776,14155776,14155776,18432,18432,18432,18432,13365376,13364928,13365376,13364822,9214,9216,9210,9212,14220642,14220648,14220648,14220648,18432,18436,18433,18433,0,0,0,0,4,0,1,0,71893112,0,0,905969664,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,18432,28171726,226990336,31942912,290875392,9308012544,9306243072,0,0,0,0,0,0,0,0,0,28311552,18432,0,3631104,71790228,4244077856,578814113,2304,0,0,0,0
1024,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int, int)",201457664,201457664,67239936,67239936,4519010,4518931,83374,84728,41685,41689,41712,41692,2259510,2259500,2259508,2259516,33554432,33554432,33554432,33554432,32768,32768,32768,32768,31424722,31424740,31424712,31424734,16300,16290,16294,16288,33684228,33684208,33684216,33684216,32768,32769,32772,32769,0,0,0,0,0,0,0,5,170115796,0,0,2147483648,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,66174808,537755904,75661568,689078272,22050504704,22047358976,0,0,0,0,0,0,0,0,0,67108864,32768,0,8552448,169897311,9909020548,1371776885,4096,0,0,0,0
1280,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int, int)",393420800,393420800,131276800,131276800,8846583,8842759,121816,121534,60905,60911,60728,60738,4423038,4423545,4423926,4421993,65536000,65536000,65536000,65536000,51200,51200,51200,51200,61375314,61374704,61375254,61376950,24200,24248,24214,24102,65860378,65860360,65860360,65860368,51206,51200,51200,51200,0,0,0,0,1,4,0,0,331982008,0,0,4194304000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,51200,128847722,1049958656,147712256,1345382400,43052236800,43047321600,0,0,0,0,0,0,0,0,0,131072000,51200,0,16640000,331770446,19494131784,2675757289,6400,0,0,0,0
1536,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int, int)",679772160,679772160,226787328,226787328,15424119,15300390,166726,166832,83355,83371,83354,83338,7712189,7711930,7715008,7715672,113246208,113246208,113246208,113246208,73728,73728,73728,73728,106050005,106048781,106048721,106047667,32610,32370,32518,32456,113700334,113700320,113700352,113700328,73729,73728,73733,73728,0,0,0,0,0,0,5,0,573221684,0,0,7247757312,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,73728,222841180,1813930496,255173120,2324275200,74376806400,74369728512,0,0,0,0,0,0,0,0,0,226492416,73728,0,28680192,572813350,33576959710,4625613891,9216,0,0,0,0
1792,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int, int)",1079386112,1079386112,360062976,360062976,24589084,24641360,218750,220066,109371,109379,109358,109334,12295918,12293166,12307942,12301452,179830784,179830784,179830784,179830784,100352,100352,100352,100352,168295438,168298441,168284969,168290611,39042,39020,39184,39148,180609424,180609392,180609432,180609448,100353,100352,100353,100356,0,0,0,0,0,0,5,0,909722228,0,0,11509170176,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,100352,353084660,2880002304,405121280,3690244096,118087811072,118078177280,0,0,0,0,0,0,0,0,0,359661568,100352,0,45459456,909569001,52953870472,7354070609,12544,0,0,0,0
2048,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int, int)",1611137024,1611137024,537395200,537395200,36718862,36699964,280170,281372,140084,140086,140112,140102,18359560,18359302,18359293,18359274,268435456,268435456,268435456,268435456,131072,131072,131072,131072,251252764,251252767,251252961,251252862,42812,42898,42876,42810,269627856,269627796,269627852,269627884,131073,131073,131080,131092,0,0,0,0,0,1,0,4,1357683540,0,0,17179869184,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,525892384,4298506496,604635392,5507776512,176248848384,176236265472,0,0,0,0,0,0,0,0,0,536870912,131072,0,67764224,1357183716,79024301134,10985284017,16384,0,0,0,0
2304,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int, int)",2293899264,2293899264,765075456,765075456,54841312,54603664,349826,349824,174912,174914,174862,174874,27420072,27421264,27402447,27399395,382205952,382205952,382205952,382205952,165888,165888,165888,165888,356486890,356487168,356502763,356506586,47464,47432,47100,47362,383828058,383827976,383828016,383828016,165894,165889,165892,165907,0,0,0,0,4,1,0,0,1933202036,0,0,24461180928,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,165888,751123852,6119774464,860793088,7841359872,250923515904,250907590656,0,0,0,0,0,0,0,0,0,764411904,165888,0,96380928,1932786709,112975124698,15637794619,20736,0,0,0,0
2560,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int, int)",3146547200,3146547200,1049395200,1049395200,77634632,77267090,429054,428850,214524,214530,214528,214504,38816960,38817672,38842167,38824153,524288000,524288000,524288000,524288000,204800,204800,204800,204800,487737959,487741824,487724982,487734479,53078,52916,53082,53134,526558790,526558648,526558720,526558728,204801,204800,204805,204800,0,0,0,0,0,0,1,4,2651629748,0,0,33554432000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,204800,1029873906,8394137856,1180672256,10755481600,344175411200,344155750400,0,0,0,0,0,0,0,0,0,1048576000,204800,0,132096000,2651084774,155431039840,21438302410,25600,0,0,0,0
2816,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int, int)",4187955200,4187955200,1396645888,1396645888,108045927,107717869,514886,513752,257421,257465,257482,257484,54038195,54007732,54047465,54020488,697827328,697827328,697827328,697827328,247808,247808,247808,247808,646871897,646895160,646859540,646881756,58988,58748,58950,58670,700876820,700876690,700876792,700876760,247808,247812,247809,247809,0,0,0,0,0,4,0,1,3529237716,0,0,44660948992,0,0,0,0,7929856,0,0,0,0,0,0,0,0,0,0,247808,1374475406,11171928576,1571351040,14314629120,458068131840,458044342272,0,0,0,0,0,0,0,0,0,1395654656,247808,0,175695872,3528956699,207510010406,28540221172,30976,0,0,0,0
