256,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",1081344,1081344,557056,557056,8,0,4094,0,2048,2046,2054,2049,0,8,12,8,262144,262144,262144,262144,16384,16384,16384,16384,262144,262144,262144,262144,16384,16384,16384,16384,262152,262144,262152,262152,16384,16389,16385,16384,0,0,0,0,4,0,1,0,3253812,0,0,2097152,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,11488210,901376,532736,1966080,62914560,62783488,0,0,655360,65536,0,0,0,0,0,65536,2048,0,36864,3235022,203023656,25377096,256,1572864,458752,2621440,524288
512,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",8519680,8519680,4325376,4325376,145390,22225,17450,27577,8717,8733,8740,8748,72690,72700,72700,72709,2097152,2097152,2097152,2097152,65536,65536,65536,65536,2089476,2089464,2089468,2089448,63488,63488,63488,63488,2097160,2097152,2097160,2097160,65536,65537,65536,65541,0,0,0,0,0,1,4,0,25788248,0,0,16777216,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,91776496,7012608,4227328,15466496,494927872,494403584,0,0,5242880,524288,0,0,0,0,0,524288,8192,0,278528,25759751,1638942922,204793173,1024,12582912,3670016,20971520,4194304
768,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",28606464,28606464,14450688,14450688,1866207,1601335,54538,54444,27283,27255,27238,27212,933050,933176,928218,930073,7077888,7077888,7077888,7077888,147456,147456,147456,147456,6304996,6303372,6308146,6306212,138440,138448,138402,138433,7142778,7142776,7142800,7142800,147460,147456,147457,147457,0,0,0,0,0,4,1,0,87065332,0,0,56623104,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,18432,309832195,23445760,14229760,51904512,1660944384,1659764736,0,0,17694720,1769472,0,0,0,0,0,1769472,18432,0,921600,86900706,5545670718,693605639,2304,42467328,12386304,70778880,14155776
1024,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",67633152,67633152,34078720,34078720,4649517,4649621,84330,84732,42147,42183,42288,42264,2324754,2324763,2324772,2324778,16777216,16777216,16777216,16777216,262144,262144,262144,262144,14647090,14647088,14647098,14647094,245760,245760,245760,245760,16971886,16971864,16971864,16971896,262145,262145,262148,262144,0,0,0,0,0,1,0,4,205871188,0,0,134217728,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,734437324,55312640,33685760,122683392,3925868544,3923771392,0,0,41943040,4194304,0,0,0,0,0,4194304,32768,0,2162688,205829018,13145928586,1644485202,4096,100663296,29360128,167772160,33554432
1280,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",131891200,131891200,66355200,66355200,8946272,8945937,121690,120264,60843,60847,60746,60826,4473306,4472966,4472995,4473106,32768000,32768000,32768000,32768000,409600,409600,409600,409600,28619190,28619470,28619430,28619406,384000,384000,384000,384000,33092458,33092408,33092424,33092400,409601,409604,409601,409600,0,0,0,0,4,0,1,0,402207060,0,0,262144000,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,51200,1434565060,107725056,65741056,239206400,7654604800,7651328000,0,0,81920000,8192000,0,0,0,0,0,8192000,51200,0,4198400,401975500,25690701194,3212982320,6400,196608000,57344000,327680000,65536000
1536,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",227672064,227672064,114425856,114425856,15475471,15476296,165353,166768,82672,82681,82690,82687,7737721,7737750,7738042,7738083,56623104,56623104,56623104,56623104,589824,589824,589824,589824,49469584,49469490,49469290,49469254,552960,552960,552960,552960,57207066,57207072,57207080,57207080,589825,589828,589825,589824,0,0,0,0,1,4,0,0,694807224,0,0,452984832,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,73728,2478758687,185794816,113541376,412876800,13212057600,13207339008,0,0,141557760,14155776,0,0,0,0,0,14155776,73728,0,7225344,694532216,44403458250,5552293922,9216,339738624,99090432,566231040,113246208
1792,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",361267200,361267200,181436416,181436416,24517481,24507391,221783,220122,110880,110903,110908,110891,12258538,12258943,12258848,12258313,89915392,89915392,89915392,89915392,802816,802816,802816,802816,78568964,78568482,78568562,78569006,752640,752640,752640,752640,90888582,90888520,90888544,90888552,802820,802818,802816,802816,0,0,0,0,0,5,0,0,1103066308,0,0,719323136,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,100352,3936200945,294633728,180232448,655097856,20963131392,20956708864,0,0,224788480,22478848,0,0,0,0,0,22478848,100352,0,11440128,1102899501,70500934014,8817021112,12544,539492352,157351936,899153920,179830784
2048,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",538968064,538968064,270532608,270532608,36557027,36554429,280441,280136,140206,140235,140236,140216,18278549,18278478,18278558,18278517,134217728,134217728,134217728,134217728,1048576,1048576,1048576,1048576,117302998,117302990,117302974,117302984,983040,983040,983040,983040,135580218,135580176,135580200,135580224,1048581,1048576,1048577,1048576,0,0,0,0,4,0,1,0,1646067896,0,0,1073741824,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,5875736012,439353600,268960000,977272832,31272730624,31264342016,0,0,335544320,33554432,0,0,0,0,0,33554432,131072,0,17039360,1646004263,105281089058,13161942807,16384,805306368,234881024,1342177280,268435456
2304,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",767066112,767066112,384860160,384860160,52035077,52037575,349814,349700,174898,174916,174898,174866,26017659,26017418,26017938,26018040,191102976,191102976,191102976,191102976,1327104,1327104,1327104,1327104,167029924,167030192,167029422,167029344,1244160,1244160,1244160,1244160,193080426,193080368,193080428,193080408,1327104,1327109,1327105,1327104,0,0,0,0,4,0,1,0,2344126648,0,0,1528823808,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,165888,8366813356,625066240,382869760,1390804992,44505759744,44495142912,0,0,477757440,47775744,0,0,0,0,0,47775744,165888,0,24219648,2343786125,149920284858,18743182600,20736,1146617856,334430208,1911029760,382205952
2560,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",1051852800,1051852800,527564800,527564800,71320594,71337099,427550,428766,213800,213750,213838,213844,35660708,35659886,35659374,35659479,262144000,262144000,262144000,262144000,1638400,1638400,1638400,1638400,229139178,229139930,229140886,229140948,1536000,1536000,1536000,1536000,264868956,264868836,264868888,264868857,1638402,1638405,1638404,1638419,0,0,0,0,1,4,0,0,3214880916,0,0,2097152000,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,204800,11476949180,856883456,525107456,1907097600,61027123200,61014016000,0,0,655360000,65536000,0,0,0,0,0,65536000,204800,0,33177600,3214620316,205643665770,25710739307,25600,1572864000,458752000,2621440000,524288000
