2816,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",4187921400,4187989000,1745475024,1745644080,178846082,179054480,509351,509584,509315,509378,178853276,178851118,1744568320,1744568320,991232,991232,1566852167,1566854798,764673,764757,1746445001,1746445213,991233,991237,0,0,1,4,5307475956,0,0,44660948992,0,0,0,0,7929856,0,0,0,0,0,0,0,0,0,0,247808,8356082727,11170937028,1571351033,14313637888,458036412416,458012622848,0,0,0,0,0,0,0,0,0,1395654656,247808,0,175695872,5303643845,334704091548,164695838038,123904,0,0,0,0
3072,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",5436887016,5437108248,2266042336,2266165280,232240384,233209112,603582,603803,603581,603567,232225092,232226295,2264924160,2264924160,1179648,1179648,2035102680,2035109199,934953,934631,2267242004,2267242305,1179648,1179654,0,0,4,1,6477563196,0,0,57982058496,0,0,0,0,9437184,0,0,0,0,0,0,0,0,0,0,294912,8598035234,14502297799,2039906795,18582110208,594627526656,594599215104,0,0,0,0,0,0,0,0,0,1811939328,294912,0,227966976,6473262933,405985273010,196731130915,147456,0,0,0,0
3328,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",6912389088,6912708640,2880986344,2881086232,299797039,300256086,706156,706227,706207,706197,299787601,299789353,2879651840,2879651840,1384448,1384448,2581552999,2581553505,1028739,1028811,2882742776,2882743175,1384448,1384454,0,0,4,1,8904865948,0,0,73719087104,0,0,0,0,11075584,0,0,0,0,0,0,0,0,0,0,346112,14083840170,18437732547,2593417705,23624566784,755986137088,755952910336,0,0,0,0,0,0,0,0,0,2303721472,346112,0,289695744,8898477263,545981988414,273044992402,173056,0,0,0,0
3584,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",8633397232,8633569296,3598185456,3598257168,375750566,374730000,816627,816822,816578,816601,375728257,375729045,3596615680,3596615680,1605632,1605632,3225260840,3225257810,1229298,1229620,3600368488,3600368955,1605633,1605637,0,0,1,4,10300780548,0,0,92073361408,0,0,0,0,12845056,0,0,0,0,0,0,0,0,0,0,401408,15002634160,23027573261,3238961968,29505495040,944175841280,944137306112,0,0,0,0,0,0,0,0,0,2877292544,401408,0,361668608,10294627014,624761933124,315765140192,200704,0,0,0,0
3840,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",10618490848,10618859552,4425484784,4425561616,466062777,459172149,935568,954282,935541,935528,466061809,466066818,4423680000,4423680000,1843200,1843200,3959207585,3959212418,1404929,1404907,4428867716,4428868357,1843204,1843202,0,0,4,1,14366972768,0,0,113246208000,0,0,0,0,14745600,0,0,0,0,0,0,0,0,0,0,460800,25570530885,28322150597,3983616500,36289382400,1161260236800,1161216000000,0,0,0,0,0,0,0,0,0,3538944000,460800,0,444672000,14357304313,884066303600,473763099067,230400,0,0,0,0
4096,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",12886949880,12887048200,5370765296,5370847248,565043839,568129776,1062340,1062507,1062340,1062372,565134654,565122908,5368709120,5368709120,2097152,2097152,4806476035,4806506030,1577701,1577715,5374338596,5374339333,2097153,2097157,0,0,1,4,15222954744,0,0,137438953472,0,0,0,0,16777216,0,0,0,0,0,0,0,0,0,0,524288,20745512004,34371797507,4834460471,44040716288,1409302921216,1409252589568,0,0,0,0,0,0,0,0,0,4294967296,524288,0,539492352,15214137417,918250138440,440332438630,262144,0,0,0,0
4352,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",15457329152,15457329152,6441913080,6441956616,692675930,686290570,1197686,1197700,1197710,1197731,692839584,692844910,6439567360,6439567360,2367488,2367488,5757239798,5757240403,1796605,1796589,6447184060,6447185049,2367489,2367493,0,0,5,0,19745240840,0,0,164852924416,0,0,0,0,18939904,0,0,0,0,0,0,0,0,0,0,591872,31721318063,41226844356,5798570479,52823984128,1690367492096,1690310672384,0,0,0,0,0,0,0,0,0,5151653888,591872,0,646916096,19736739806,1247385710322,630959941006,295936,0,0,0,0
4608,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",18348539904,18348539904,7646681056,7646865440,800017280,804919046,1350576,1341168,1350695,1350630,800142992,800125974,7644119040,7644119040,2654208,2654208,6849740761,6849723468,2114861,2115548,7652397756,7652398733,2654249,2654221,0,0,5,0,21882995812,0,0,195689447424,0,0,0,0,21233664,0,0,0,0,0,0,0,0,0,0,663552,31642333343,48937624384,6883026319,62703673344,2006517547008,2006453846016,0,0,0,0,0,0,0,0,0,6115295232,663552,0,767729664,21856125431,1393489033510,691755214961,331776,0,0,0,0
4864,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",21579447288,21579564040,8993210120,8993161464,970248474,975979778,1492736,1492741,1492728,1492768,970251786,970259163,8990228480,8990228480,2957312,2957312,8033362604,8033348042,2138693,2137936,8999942192,8999943455,2957313,2957317,0,0,5,0,25367536072,0,0,230149849088,0,0,0,0,23658496,0,0,0,0,0,0,0,0,0,0,739328,34776611422,57554467309,8094903075,73744271360,2359816683520,2359745708032,0,0,0,0,0,0,0,0,0,7192182784,739328,0,902719488,25361671258,1564970264296,781815248139,369664,0,0,0,0
5120,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",25168793560,25169408040,10489036800,10489036800,1153460696,1137020981,1661931,1661978,1661932,1661955,1153582677,1153514773,10485760000,10485760000,3276800,3276800,9351561245,9351588129,2499187,2499458,10496908148,10496909577,3276805,3276801,0,0,5,0,29099569540,0,0,268435456000,0,0,0,0,26214400,0,0,0,0,0,0,0,0,0,0,819200,39389506929,67127706445,9441281452,86010265600,2752328499200,2752249856000,0,0,0,0,0,0,0,0,0,8388608000,819200,0,1052672000,29085034179,1752012042532,893757224113,409600,0,0,0,0
5376,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",29136135160,29136264200,12142109928,12142271256,1334193157,1354394641,1820559,1829989,1820551,1820550,1334202470,1334175580,12138577920,12138577920,3612672,3612672,10796050190,10796076568,2699439,2699862,12151602880,12151604555,3612708,3612690,0,0,0,5,33585850976,0,0,310747594752,0,0,0,0,28901376,0,0,0,0,0,0,0,0,0,0,903168,46898277926,77707672576,10929236992,99566143488,3186116591616,3186029887488,0,0,0,0,0,0,0,0,0,9710862336,903168,0,1218373632,33582065268,2032289118568,1009605419114,451584,0,0,0,0
5632,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",33499609080,33499744264,13960455152,13960567824,1592543154,1572390936,1996653,1996594,1996633,1996641,1592577863,1592575918,13956546560,13956546560,3964928,3964928,12404506943,12404537585,2597076,2596683,13971448228,13971450093,3964969,3964941,0,0,5,0,38849032760,0,0,357287591936,0,0,0,0,31719424,0,0,0,0,0,0,0,0,0,0,991232,51636335438,89344697175,12565849513,114476392448,3663244558336,3663149400064,0,0,0,0,0,0,0,0,0,11165237248,991232,0,1400610816,38846162206,2220921452778,1108699074356,495616,0,0,0,0
5888,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",38278123488,38278688800,15951834360,15951893256,1846322448,1798068544,2180957,2180887,2180931,2180954,1846348910,1846421255,15947530240,15947530240,4333568,4333568,14141768475,14141718326,2953564,2952484,15964749488,15964751663,4333605,4333585,0,0,5,0,44713566780,0,0,408256774144,0,0,0,0,34668544,0,0,0,0,0,0,0,0,0,0,1083392,60787972611,102089112384,14358195607,130805499904,4185775996928,4185671991296,0,0,0,0,0,0,0,0,0,12758024192,1083392,0,1600169984,44711019600,2433143644496,1349704208087,541696,0,0,0,0
6144,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",43491114992,43491409936,18124019688,18124204056,2119589489,2114400799,2373480,2382648,2373457,2373460,2119514924,2119482744,18119393280,18119393280,4718592,4718592,16013917245,16013893929,3131519,3132866,18138930840,18138933277,4718593,4718597,0,0,1,4,51239031684,0,0,463856467968,0,0,0,0,37748736,0,0,0,0,0,0,0,0,0,0,1179648,71884356015,115991249088,16313352683,148617953280,4755774504960,4755661258752,0,0,0,0,0,0,0,0,0,14495514624,1179648,0,1817837568,51234665133,2865324810628,1455556968620,589824,0,0,0,0
6400,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",49156966384,49157273616,20485120000,20485120000,2407317191,2415939494,2574059,2583657,2574059,2574075,2407166528,2407196971,20480000000,20480000000,5120000,5120000,18101332706,18101330711,3223896,3224306,20502407020,20502409885,5120040,5120014,0,0,4,1,58253610760,0,0,524288000000,0,0,0,0,40960000,0,0,0,0,0,0,0,0,0,0,1280000,82584973209,131101440845,18438401452,167978240000,5375303680000,5375180800000,0,0,0,0,0,0,0,0,0,16384000000,1280000,0,2054400000,58247284410,3426624864364,1683953176133,640000,0,0,0,0
6656,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",55294693360,55295012880,23042685936,23042819088,2692679301,2693291855,2783009,2792537,2782994,2783025,2692608014,2692643472,23037214720,23037214720,5537792,5537792,20393501888,20393516916,3808343,3807139,23062401704,23062404859,5537793,5537797,0,0,5,0,64922175432,0,0,589752696832,0,0,0,0,44302336,0,0,0,0,0,0,0,0,0,0,1384448,91386587455,147470017341,20740416974,188950847488,6046427119616,6046294212608,0,0,0,0,0,0,0,0,0,18429771776,1384448,0,2310643712,64918523546,3854022006960,1916573589729,692224,0,0,0,0
6912,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)",61923087336,61923585048,25804908296,25804839160,2971228372,2953787851,3009400,3009647,3009455,3009464,2971175808,2971147654,25798901760,25798901760,5971968,5971968,22831851143,22831814756,4287202,4287947,25827048744,25827052305,5972005,5971985,0,0,5,0,"<OVERFLOW>",0,0,660451885056,0,0,0,0,47775744,0,0,0,0,0,0,0,0,0,0,1492992,102399911849,165147311854,23226479209,211600263168,6771208421376,6771065094144,0,0,0,0,0,0,0,0,0,20639121408,1492992,0,2587355136,72553351661,4533133723660,2284977700282,746496,0,0,0,0
7168,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)","<OVERFLOW>","<OVERFLOW>",28779347968,28779347968,3464767320,3359350783,3234910,3244520,3234875,3234916,3464831830,3464780880,28772925440,28772925440,6422528,6422528,25365319901,25365322538,4035339,4034167,28804383412,28804387465,6422568,6422542,0,0,4,1,"<OVERFLOW>",0,0,736586891264,0,0,0,0,51380224,0,0,0,0,0,0,0,0,0,0,1605632,115665485982,184183653187,25903662492,235990974464,7551711182848,7551557042176,0,0,0,0,0,0,0,0,0,23018340352,1605632,0,2885320704,81821781177,4870092503804,2521180752044,802816,0,0,0,0
7424,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)","<OVERFLOW>","<OVERFLOW>",31974002424,31974076680,3875720035,3717897788,3458817,3468265,3458793,3458769,3875746661,3875759840,31967150080,31967150080,6889472,6889472,28134627943,28134642836,4416038,4417213,32002361472,32002365913,6889512,6889486,0,0,4,1,"<OVERFLOW>",0,0,818359042048,0,0,0,0,55115776,0,0,0,0,0,0,0,0,0,0,1722368,128613585944,204629375826,28779048361,262187468800,8389999001600,8389833654272,0,0,0,0,0,0,0,0,0,25573720064,1722368,0,3205326848,92178956442,5467677945362,2825216726821,861184,0,0,0,0
7680,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)","<OVERFLOW>","<OVERFLOW>",35396928024,35396697576,4317741041,4402311164,3719438,3710191,3719532,3719449,4317680714,4317796872,"<OVERFLOW>","<OVERFLOW>",7372800,7372800,31046434714,31046400864,4882809,4884818,"<OVERFLOW>","<OVERFLOW>",7372841,7372813,0,0,5,0,"<OVERFLOW>",0,0,905969664000,0,0,0,0,58982400,0,0,0,0,0,0,0,0,0,0,1843200,157237266938,226534809796,31859712495,290254233600,9288135475200,9287958528000,0,0,0,0,0,0,0,0,0,28311552000,1843200,0,3548160000,104478434940,6258990254196,3020543264433,921600,0,0,0,0
7936,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)","<OVERFLOW>","<OVERFLOW>",39055532032,39055532032,4772539025,4702057706,3969377,3959916,3969507,3969458,4772544326,4772563240,"<OVERFLOW>","<OVERFLOW>",7872512,7872512,34221591622,34221572404,4852973,4850619,"<OVERFLOW>","<OVERFLOW>",7872553,7872525,0,0,1,4,"<OVERFLOW>",0,0,999620083712,0,0,0,0,62980096,0,0,0,0,0,0,0,0,0,0,1968128,168977380233,249950288999,35152735937,320255756288,10248184201216,10247995260928,0,0,0,0,0,0,0,0,0,31238127616,1968128,0,3914606592,113088090510,6739035052530,3434700426444,984064,0,0,0,0
8192,"GeForce GTX 980 (0)","1","7","matMul(float*, float*, float*, int)","<OVERFLOW>","<OVERFLOW>",42958020600,42958102536,5452204989,5462538089,4227639,4217875,4227646,4227712,5452268703,5452156102,"<OVERFLOW>","<OVERFLOW>",8388608,8388608,"<OVERFLOW>","<OVERFLOW>",5171478,5175009,"<OVERFLOW>","<OVERFLOW>",8388648,8388622,0,0,0,5,"<OVERFLOW>",0,0,1099511627776,0,0,0,0,67108864,0,0,0,0,0,0,0,0,0,0,2097152,169895430972,274926142585,38665193162,352256524288,11272208777216,11272007450624,0,0,0,0,0,0,0,0,0,34359738368,2097152,0,4305453056,122883037409,7083026374432,3538443076776,1048576,0,0,0,0
