"","gpu_name","gpu_id","AppName","AppId","Input.Size","Duration","max_clock_rate","num_of_cores","Achieved.Occupancy","Executed.Load.Store.Instructions","Shared.Load.Transactions","Shared.Store.Transactions","Global.Load.Transactions","Global.Store.Transactions","Global.Load.Transactions.Per.Request","Global.Store.Transactions.Per.Request","Unified.Cache.Throughput","Floating.Point.Operations.Single.Precision.","Instructions.Issued","warps_launched","Block.X"
"68","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,1024,0.044142,1110,512,0.998144,54689792,167772160,33554432,134217728,1048576,32,32,11.330387,2147483648,122684160,32768,16
"69","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,1280,0.09348,1110,512,0.998744,106752000,327680000,65536000,262144000,1638400,32,32,11.335712,4194304000,239207168,51200,16
"70","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,1536,0.159256,1110,512,0.99886,184393728,566231040,113246208,452984832,2359296,32,32,11.340229,7247757312,412877568,73728,16
"71","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,1792,0.236218,1110,512,0.999239,292726784,899153920,179830784,719323136,3211264,32,32,11.343575,11509170176,655098624,100352,16
"72","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,2048,0.352547,1110,512,0.99937,436862976,1342177280,268435456,1073741824,4194304,32,32,11.345023,17179869184,977273600,131072,16
"73","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,2304,0.501912,1110,512,0.999443,621914112,1911029760,382205952,1528823808,5308416,32,32,11.342855,24461180928,1390806528,165888,16
"74","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,2560,0.688407,1110,512,0.999533,852992000,2621440000,524288000,2097152000,6553600,32,32,11.345946,33554432000,1907098368,204800,16
"75","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,2816,0.916252,1110,512,0.999597,1135208448,3489136640,697827328,2791309312,7929856,32,32,11.345605,44660948992,2537554688,247808,16
"76","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,3072,1.189624,1110,512,0.999643,1473675264,4529848320,905969664,3623878656,9437184,32,32,11.346455,57982058496,3293577984,294912,16
"77","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,3328,1.51251,1110,512,0.999666,1873504256,5759303680,1151860736,4607442944,11075584,32,32,11.344707,73719087104,4186571520,346112,16
"78","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,3584,1.889226,1110,512,0.999719,2339807232,7193231360,1438646272,5754585088,12845056,32,32,11.346989,92073361408,5227938560,401408,16
"79","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,3840,2.323235,1110,512,0.999729,2877696000,8847360000,1769472000,7077888000,14745600,32,32,11.346435,113246208000,6429083136,460800,16
"80","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,4096,2.819813,1110,512,0.999762,3492282368,10737418240,2147483648,8589934592,16777216,32,32,11.347343,137438953472,7801406208,524288,16
"81","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,4352,3.382102,1110,512,0.999688,4188678144,12879134720,2575826944,10303307776,18939904,32,32,11.347271,164852924416,9356313344,591872,16
"82","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,4608,4.014392,1110,512,0.999782,4971995136,15288238080,3057647616,12230590464,21233664,32,32,11.346892,195689447424,11105207808,663552,16
"83","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,4864,4.721404,1110,512,0.999796,5847345152,17980456960,3596091392,14384365568,23658496,32,32,11.347538,230149849088,13059490560,739328,16
"84","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,5120,5.506598,1110,512,0.999817,6819840000,20971520000,4194304000,16777216000,26214400,32,32,11.347323,268435456000,15230567936,819200,16
"85","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,5376,6.374354,1110,512,0.999776,7894591488,24277155840,4855431168,19421724672,28901376,32,32,11.347252,310747594752,17629840128,903168,16
"86","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,5632,7.328777,1110,512,0.999787,9076711424,27913093120,5582618624,22330474496,31719424,32,32,11.347791,357287591936,20268713472,991232,16
"87","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,5888,8.373426,1110,512,0.9998,10371311616,31895060480,6379012096,25516048384,34668544,32,32,11.34745,408256774144,23158589696,1083392,16
"88","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,6144,9.515274,1110,512,0.999809,11783503872,36238786560,7247757312,28991029248,37748736,32,32,11.348204,463856467968,26310870528,1179648,16
"89","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,6400,10.754618,1110,512,0.999821,13318400000,4.096e+10,8.192e+09,3.2768e+10,40960000,32,32,11.347765,5.24288e+11,29736961536,1280000,16
"90","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,6656,12.096902,1110,512,0.999832,14981111808,46074429440,9214885888,36859543552,44302336,32,32,11.345604,589752696832,33448265984,1384448,16
"91","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,6912,13.54665,1110,512,0.99981,16776751104,51597803520,10319560704,41278242816,47775744,32,32,11.346486,660451885056,37456185600,1492992,16
"92","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,7168,15.108711,1110,512,0.999799,18710429696,57545850880,11509170176,46036680704,51380224,32,32,11.346692,736586891264,41772125184,1605632,16
"93","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,7424,16.786845,1110,512,0.999837,20787259392,63934300160,12786860032,51147440128,55115776,32,32,11.344867,818359042048,46407486464,1722368,16
"94","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,7680,18.584327,1110,512,0.999847,23012352000,70778880000,14155776000,56623104000,58982400,32,32,11.346694,905969664000,51373674240,1843200,16
"95","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,7936,20.504933,1110,512,0.999846,25390819328,78095319040,15619063808,62476255232,62980096,32,32,11.347175,999620083712,56682089472,1968128,16
"96","GTX-750",7,"matMul_gpu_sharedmem_uncoalesced",3,8192,22.559893,1110,512,0.999837,27927773184,85899345920,17179869184,NA,67108864,NA,32,11.342652,1099511627776,62344138496,2097152,16
"97","GTX-750",7,"matMul_gpu_sharedmem",4,256,0.000213002,1110,512,0.966675,862208,786432,65536,524288,8192,8,4,36.686327,33554432,1966848,2048,16
"98","GTX-750",7,"matMul_gpu_sharedmem",4,512,0.001673679,1110,512,0.990168,6856704,6291456,524288,4194304,32768,8,4,37.581665,268435456,15467264,8192,16
"99","GTX-750",7,"matMul_gpu_sharedmem",4,768,0.005652011,1110,512,0.994824,23095296,21233664,1769472,14155776,73728,8,4,37.413002,905969664,51905280,18432,16
"100","GTX-750",7,"matMul_gpu_sharedmem",4,1024,0.013364,1110,512,0.996888,54689792,50331648,4194304,33554432,131072,8,4,37.511893,2147483648,122684160,32768,16
"101","GTX-750",7,"matMul_gpu_sharedmem",4,1280,0.026237,1110,512,0.997936,106752000,98304000,8192000,65536000,204800,8,4,37.550704,4194304000,239207168,51200,16
"102","GTX-750",7,"matMul_gpu_sharedmem",4,1536,0.050714,1110,512,0.998412,184393728,169869312,14155776,113246208,294912,8,4,37.566855,7247757312,412877568,73728,16
"103","GTX-750",7,"matMul_gpu_sharedmem",4,1792,0.080927,1110,512,0.998788,292726784,269746176,22478848,179830784,401408,8,4,37.445723,11509170176,655098624,100352,16
"104","GTX-750",7,"matMul_gpu_sharedmem",4,2048,0.120713,1110,512,0.99893,436862976,402653184,33554432,268435456,524288,8,4,37.414601,17179869184,977273600,131072,16
"105","GTX-750",7,"matMul_gpu_sharedmem",4,2304,0.156057,1110,512,0.99923,621914112,573308928,47775744,382205952,663552,8,4,37.323336,24461180928,1390805760,165888,16
