"","Gpus","Apps","InputSize","ThreadBlock","Measured","Predicted","accuracy","Min","max","Mean","Median","SD","mse","mae","mape"
"375","Tesla-K40","matMul_gpu_sharedmem",5376,256,1.092631,0.741590602925969,0.678720082924582,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"376","Tesla-K40","matMul_gpu_sharedmem",5632,256,1.255045,0.875318396893001,0.697439850278676,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"377","Tesla-K40","matMul_gpu_sharedmem",5888,256,1.434295,1.01931545842674,0.710673507490956,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"378","Tesla-K40","matMul_gpu_sharedmem",6144,256,1.628808,1.17398452812534,0.720762992400174,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"379","Tesla-K40","matMul_gpu_sharedmem",6400,256,1.84103,1.33963997241523,0.727657872177658,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"380","Tesla-K40","matMul_gpu_sharedmem",6656,256,2.069449,1.51675687491316,0.732927883177192,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"381","Tesla-K40","matMul_gpu_sharedmem",6912,256,2.31975,1.70560553021312,0.735254027465511,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"382","Tesla-K40","matMul_gpu_sharedmem",7168,256,2.582645,1.92305193256782,0.744605601067055,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"383","Tesla-K40","matMul_gpu_sharedmem",7424,256,2.918587,2.13646042170962,0.732018754866524,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"384","Tesla-K40","matMul_gpu_sharedmem",7680,256,3.180975,2.36266225612334,0.742747822954703,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"385","Tesla-K40","matMul_gpu_sharedmem",7936,256,3.562422,2.60199559491413,0.730400720328509,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"386","Tesla-K40","matMul_gpu_sharedmem",8192,256,3.855625,2.85487866586166,0.740445107047925,-1715.56516822268,0.744605601067055,-68.7582178179625,0.478447158216769,306.038824459932,0.213769266031659,0.411318849099142,0.9539103333125
"613","Tesla-K20","matMul_gpu_sharedmem",256,256,0.000175204,0.150288447960651,857.791191757326,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"614","Tesla-K20","matMul_gpu_sharedmem",512,256,0.001341409,0.089874455122145,67.0000388562661,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"615","Tesla-K20","matMul_gpu_sharedmem",768,256,0.004544337,0.0856608446837159,18.8500202964076,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"616","Tesla-K20","matMul_gpu_sharedmem",1024,256,0.010729,0.0922723421916965,8.60027422795195,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"617","Tesla-K20","matMul_gpu_sharedmem",1280,256,0.020908,0.104804265536595,5.01263944598215,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"618","Tesla-K20","matMul_gpu_sharedmem",1536,256,0.036137,0.122823211928277,3.39882148291991,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"619","Tesla-K20","matMul_gpu_sharedmem",1792,256,0.05727,0.145664702084207,2.54347305891753,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"620","Tesla-K20","matMul_gpu_sharedmem",2048,256,0.085391,0.173380940063207,2.03043576094912,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"621","Tesla-K20","matMul_gpu_sharedmem",2304,256,0.121582,0.206240597876691,1.69630864664746,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"622","Tesla-K20","matMul_gpu_sharedmem",2560,256,0.166761,0.24466266946751,1.46714561238845,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"623","Tesla-K20","matMul_gpu_sharedmem",2816,256,0.221944,0.288930009690517,1.30181491588201,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"624","Tesla-K20","matMul_gpu_sharedmem",3072,256,0.288065,0.339699223859743,1.17924504490217,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"625","Tesla-K20","matMul_gpu_sharedmem",3328,256,0.366095,0.396677845635265,1.08353800416631,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"626","Tesla-K20","matMul_gpu_sharedmem",3584,256,0.457084,0.460593592627562,1.00767822244393,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"627","Tesla-K20","matMul_gpu_sharedmem",3840,256,0.561818,0.531548887074638,0.946122920722792,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"628","Tesla-K20","matMul_gpu_sharedmem",4096,256,0.681462,0.609990158541493,0.895119843133575,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"629","Tesla-K20","matMul_gpu_sharedmem",4352,256,0.816876,0.696313066968262,0.852409750033374,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"630","Tesla-K20","matMul_gpu_sharedmem",4608,256,0.969434,0.790769294156781,0.815702042796911,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"631","Tesla-K20","matMul_gpu_sharedmem",4864,256,1.139427,0.893643247347815,0.784291795216205,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"632","Tesla-K20","matMul_gpu_sharedmem",5120,256,1.329286,1.00531674416265,0.756283255945408,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"633","Tesla-K20","matMul_gpu_sharedmem",5376,256,1.537543,1.12614159898774,0.732429336277256,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"634","Tesla-K20","matMul_gpu_sharedmem",5632,256,1.767257,1.25639830995009,0.710931296325373,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"635","Tesla-K20","matMul_gpu_sharedmem",5888,256,2.019724,1.39646794380077,0.69141523485425,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"636","Tesla-K20","matMul_gpu_sharedmem",6144,256,2.293772,1.54664077132967,0.67427833774659,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"637","Tesla-K20","matMul_gpu_sharedmem",6400,256,2.592986,1.70724497315839,0.65840886651852,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"638","Tesla-K20","matMul_gpu_sharedmem",6656,256,2.914516,1.87862758731581,0.64457617913774,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"639","Tesla-K20","matMul_gpu_sharedmem",6912,256,3.261677,2.06110928155648,0.631917041925513,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"640","Tesla-K20","matMul_gpu_sharedmem",7168,256,3.636622,2.25504201994428,0.620092497912701,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"641","Tesla-K20","matMul_gpu_sharedmem",7424,256,4.041193,2.46074351012105,0.608915117422268,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"642","Tesla-K20","matMul_gpu_sharedmem",7680,256,4.473028,2.67857332392915,0.598827756930909,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
