"","Gpus","Apps","InputSize","ThreadBlock","Measured","Predicted","accuracy","Min","max","Mean","Median","SD","mse","mae","mape"
"81","GTX-680","matMul_gpu_uncoalesced",4352,1024,20.333017,13.0916771917429,0.643862993462449,0.437954851610287,0.643862993462449,0.501865544605552,0.477780044221449,0.0706535331523872,525.962505577675,21.4695717257878,41.8937785
"82","GTX-680","matMul_gpu_uncoalesced",4608,1024,24.119139,13.2235927622651,0.548261393670192,0.437954851610287,0.643862993462449,0.501865544605552,0.477780044221449,0.0706535331523872,525.962505577675,21.4695717257878,41.8937785
"83","GTX-680","matMul_gpu_uncoalesced",4864,1024,28.362351,13.2963727440762,0.468803617305074,0.437954851610287,0.643862993462449,0.501865544605552,0.477780044221449,0.0706535331523872,525.962505577675,21.4695717257878,41.8937785
"84","GTX-680","matMul_gpu_uncoalesced",5120,1024,32.71017,15.1396038450762,0.462840879306839,0.437954851610287,0.643862993462449,0.501865544605552,0.477780044221449,0.0706535331523872,525.962505577675,21.4695717257878,41.8937785
"85","GTX-680","matMul_gpu_uncoalesced",5376,1024,37.834873,16.6226756719794,0.439347997070834,0.437954851610287,0.643862993462449,0.501865544605552,0.477780044221449,0.0706535331523872,525.962505577675,21.4695717257878,41.8937785
"86","GTX-680","matMul_gpu_uncoalesced",5632,1024,43.495914,19.0492465615238,0.437954851610287,0.437954851610287,0.643862993462449,0.501865544605552,0.477780044221449,0.0706535331523872,525.962505577675,21.4695717257878,41.8937785
"87","GTX-680","matMul_gpu_uncoalesced",5888,1024,49.939214,21.9783281211572,0.440101602743631,0.437954851610287,0.643862993462449,0.501865544605552,0.477780044221449,0.0706535331523872,525.962505577675,21.4695717257878,41.8937785
"88","GTX-680","matMul_gpu_uncoalesced",6144,1024,56.488475,27.4961307509572,0.486756471137824,0.437954851610287,0.643862993462449,0.501865544605552,0.477780044221449,0.0706535331523872,525.962505577675,21.4695717257878,41.8937785
"89","GTX-680","matMul_gpu_uncoalesced",6400,1024,63.850074,31.9040896710794,0.499671929449595,0.437954851610287,0.643862993462449,0.501865544605552,0.477780044221449,0.0706535331523872,525.962505577675,21.4695717257878,41.8937785
"90","GTX-680","matMul_gpu_uncoalesced",6656,1024,71.804558,42.4403504222651,0.591053710298796,0.437954851610287,0.643862993462449,0.501865544605552,0.477780044221449,0.0706535331523872,525.962505577675,21.4695717257878,41.8937785
"177","GTX-680","matMul_gpu",4352,1024,1.622531,2.65461832741667,1.63609713923288,1.2975044325652,1.73086435060235,1.55925382913983,1.55563312903631,0.125593086387385,3.43331248152123,1.80377256062762,2.4889507
"178","GTX-680","matMul_gpu",4608,1024,1.948557,3.37268784641666,1.73086435060235,1.2975044325652,1.73086435060235,1.55925382913983,1.55563312903631,0.125593086387385,3.43331248152123,1.80377256062762,2.4889507
"179","GTX-680","matMul_gpu",4864,1024,2.272806,3.87927067706666,1.70681997366544,1.2975044325652,1.73086435060235,1.55925382913983,1.55563312903631,0.125593086387385,3.43331248152123,1.80377256062762,2.4889507
"180","GTX-680","matMul_gpu",5120,1024,2.656119,4.2555619938,1.60217294247735,1.2975044325652,1.73086435060235,1.55925382913983,1.55563312903631,0.125593086387385,3.43331248152123,1.80377256062762,2.4889507
