256,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,94.393975,1.248103,0.891046,28.281772,1.767611,94.393975,1.248103,0.110967,0.086721,0.000000,0.000000,0.000000,0.000000,1.565647,2.167438,1.767611,28.281772,0.000000,65.609085,100.000000,100.000000,95.648193,0.000000,28.281772,0.000000,0.000000,100.000000,0.000000,1.390372,738.000000,32.623276,0.000000,0.000000,1.200000,1.148956,1.000000,1.000000,0,0,786432,37649,32768,2048,0,5,0,7256,10045,131278,8440,0.000000,0.000000,1357.525033,64.989039,28.326221,1.821122,0.000000,1.104756,99.728997,60878,53248,884285,722944,33554432,0,0,16777216,0,0,0,0,0,3.335597,11.199826,5.298673,0.000000,11.133501,0.209906,"High (7)","Low (1)","Idle (0)","Low (1)","Low (1)","High (8)","Low (2)","Low (1)","Idle (0)",1511424,1679881,1576649,0.000000,0,0.000000,0.000000,0.000000,0.000000,16777216,0,5767168,0,524288,23134208,2031616,0,0.000000,0,0.000000,131072,8192,0,1.767611,0,3435,758.967853,46.842835,0.496668,6.826773,0.000000,1.304967,20.178027,11.588337,0.000000
512,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,98.097510,1.268645,0.986578,30.270243,968.647777,98.097510,1.268645,0.112552,0.088766,0.000000,0.000000,0.000000,0.000000,5.108011,1.158067,968.647777,30.270243,0.000000,65.565455,100.000000,100.000000,86.463928,0.000000,30.270243,0.000000,0.000000,100.000000,0.000000,1.411283,1442.000000,33.301012,0.000000,0.000000,1.200000,1.165691,1.000000,1.000000,0,0,6291456,305579,262144,8192,0,9,0,176944,40116,1049082,31152,0.000000,0.000000,1452.971666,70.571523,30.284850,920.877549,0.000000,272.431641,99.861304,445874,409600,7083691,5775360,268435456,0,0,134217728,0,0,0,0,0,3.597687,10.566551,5.024803,0.000000,12.919475,0.158867,"High (8)","Low (1)","Idle (0)","Low (1)","Low (1)","High (8)","Low (2)","Low (1)","Idle (0)",11812864,13142421,12404309,0.000000,0,0.000000,0.000000,0.000000,0.000000,134217728,0,41943040,0,4194304,184811520,12320768,0,0.000000,0,0.000000,1048576,32768,0,968.647777,0,43076,1.243516,46.013846,0.058189,7.362158,0.000000,1.290028,20.370555,12.635774,0.000000
768,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,98.214278,1.259119,0.993341,30.266435,645.683947,98.214278,1.259119,0.113484,0.089469,0.000000,0.000000,0.000000,0.000000,19.502344,802.507168,645.683947,30.266435,0.000000,65.781774,100.000000,100.000000,48.399297,0.000000,30.266435,0.000000,0.000000,100.000000,0.000000,1.399829,2146.000000,33.091076,0.000000,0.000000,1.200000,1.082935,1.000000,1.000000,0,0,21233664,958112,884736,18432,0,14,0,2280338,91635,3539462,73752,0.000000,0.000000,1452.788881,65.553192,30.270865,645.894131,0.000000,125.548828,99.906803,1441000,1363968,23928855,19482624,905969664,0,0,452984832,0,0,0,0,0,3.504460,10.483573,6.036378,0.000000,12.550886,0.138912,"High (8)","Low (1)","Idle (0)","Low (2)","Low (1)","High (8)","Low (2)","Low (1)","Idle (0)",39555072,44041891,41644899,0.000000,0,0.000000,0.000000,0.000000,0.000000,452984832,0,136839168,0,14155776,623443968,37158912,0,0.000000,0,0.000000,3538944,73728,0,645.683947,0,566549,4.845349,45.853422,0.016901,7.364888,0.000000,1.138713,20.276754,12.678131,0.000000
1024,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.455802,1.256587,0.995342,30.588314,489.413017,99.455802,1.256587,0.113853,0.089825,0.000000,0.000000,0.000000,0.000000,20.111080,600.710119,489.413017,30.588314,0.000000,65.793395,100.000000,100.000000,46.974516,0.000000,30.588314,0.000000,0.000000,100.000000,0.000000,1.399030,2850.000000,33.102505,0.000000,0.000000,1.200000,1.078505,1.000000,1.000000,0,0,50331648,2261789,2097152,32768,0,12,0,5515308,160879,8392848,131080,0.000000,0.000000,1468.239053,65.979301,30.603774,489.442888,0.000000,45.881836,99.929825,3355461,3211264,56723082,46170112,2147483648,0,0,1073741824,0,0,0,0,0,3.516362,10.460335,6.027359,0.000000,12.586039,0.132031,"High (8)","Low (1)","Idle (0)","Low (2)","Low (1)","High (8)","Low (2)","Low (1)","Idle (0)",93388800,104021389,98449997,0.000000,0,0.000000,0.000000,0.000000,0.000000,1073741824,0,318767104,0,33554432,1477443584,82837504,0,0.000000,0,0.000000,8388608,131072,0,489.413017,0,1077866,3.930343,45.857327,0.007091,7.480303,0.000000,1.132435,20.281021,12.710717,0.000000
1280,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.251071,1.253376,0.996589,30.628334,392.042675,99.251071,1.253376,0.114077,0.090039,0.000000,0.000000,0.000000,0.000000,20.403621,489.153636,392.042675,30.628334,0.000000,65.785221,100.000000,100.000000,46.746826,0.000000,30.628334,0.000000,0.000000,100.000000,0.000000,1.395791,3554.000000,33.043924,0.000000,0.000000,1.200000,1.081621,1.000000,1.000000,0,0,98304000,4430321,4096000,51200,0,0,0,10914499,255530,16388497,204814,0.000000,0.000000,1470.160032,66.256519,30.636741,392.069474,0.000000,0.000000,99.943725,6491501,6246400,110771020,90163200,4194304000,0,0,2097152000,0,0,0,0,0,3.507969,10.438959,6.058103,0.000000,12.615779,0.125481,"High (8)","Low (1)","Idle (0)","Low (2)","Idle (0)","High (8)","Low (2)","Low (1)","Idle (0)",181964800,202727652,191974820,0.000000,0,0.000000,0.000000,0.000000,0.000000,2097152000,0,616038400,0,65536000,2885222400,155648000,0,0.000000,0,0.000000,16384000,204800,0,392.042675,0,2241501,4.190274,45.838520,0.003708,7.463993,0.000000,1.130264,20.281219,12.711649,0.000000
1536,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.570875,1.252039,0.997442,30.743437,327.929994,99.570875,1.252039,0.114041,0.090183,0.000000,0.000000,0.000000,0.000000,20.306473,407.364995,327.929994,30.743437,0.000000,65.804024,100.000000,100.000000,47.043595,0.000000,30.743437,0.000000,0.000140,100.000000,0.000000,1.394645,4258.000000,33.028585,0.000000,0.000000,1.200000,1.074455,1.000000,1.000000,0,0,169869312,7604869,7077888,73728,0,2,0,18700179,366349,28318180,294925,0.000000,0.000000,1475.684975,66.064852,30.750634,327.944449,0.000000,2.276367,99.953030,11142264,10764288,191376266,155787264,7247757312,0,0,3623878656,0,0,0,0,0,3.512762,10.426410,5.995930,0.000000,12.650817,0.122654,"High (8)","Low (1)","Idle (0)","Low (2)","Low (1)","High (8)","Low (2)","Low (1)","Idle (0)",313933824,349750590,331317758,0.000000,0,0.000000,0.000000,0.000000,0.000000,3623878656,0,1056964608,0,113246208,4985192448,261881856,0,0.000000,0,0.000000,28311552,294952,0,327.974472,0,3774810,4.099056,45.841098,0.002118,7.493936,0.000000,1.125200,20.323012,12.743037,0.000000
1792,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.711591,1.250556,0.997646,30.768178,281.309054,99.711591,1.250556,0.114228,0.090286,0.000000,0.000000,0.000000,0.000000,20.599616,351.405052,281.309054,30.768178,0.000000,65.798121,100.000000,100.000000,46.564797,0.000000,30.768178,0.000000,0.000000,100.000000,0.000000,1.393005,4962.000000,32.998409,0.000000,0.000000,1.200000,1.076704,1.000000,1.000000,0,0,269746176,12101533,11239424,100352,0,9,0,30099647,501430,42723895,401429,0.000000,0.000000,1476.872538,66.256442,29.239408,281.323771,0.000000,6.458008,99.959694,17622758,17059840,303889698,247367680,11509170176,0,0,5754585088,0,0,0,0,0,3.507761,10.403114,6.108885,0.000000,12.729056,0.119787,"High (8)","Low (1)","Idle (0)","Low (2)","Low (1)","High (8)","Low (2)","Low (1)","Idle (0)",497946624,554825015,525722103,0.000000,0,0.000000,0.000000,0.000000,0.000000,5754585088,0,1669857280,0,179830784,7915765760,407830528,0,0.000000,0,0.000000,44957696,401408,0,281.309054,0,6133089,4.197368,45.724590,0.001595,7.503350,0.000000,1.129906,20.275306,12.727397,0.000000
2048,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.776591,1.250385,0.998250,30.811865,246.494919,99.776591,1.250385,0.114242,0.090364,0.000000,0.000000,0.000000,0.000000,20.233624,302.906547,246.494919,30.811865,0.000000,65.805415,100.000000,100.000000,46.999747,0.000000,30.811865,0.000000,0.000000,100.000000,0.000000,1.393033,5666.000000,33.005423,0.000000,0.000000,1.200000,1.073925,1.000000,1.000000,0,0,402653184,18017464,16777216,131072,0,5,0,44069242,644274,67134097,524301,0.000000,0.000000,1478.969516,66.179236,30.823450,246.501031,0.000000,2.406250,99.964702,26179547,25427968,453580731,369229824,17179869184,0,0,8589934592,0,0,0,0,0,3.507435,10.398279,6.004563,0.000000,12.725457,0.118384,"High (8)","Low (1)","Idle (0)","Low (2)","Low (1)","High (8)","Low (2)","Low (1)","Idle (0)",742653952,827501989,784247397,0.000000,0,0.000000,0.000000,0.000000,0.000000,8589934592,0,2483027968,0,268435456,11815354368,599785472,0,0.000000,0,0.000000,67108864,524288,0,246.494919,0,8572649,3.935982,45.819898,0.000884,7.514663,0.000000,1.123267,20.301833,12.752373,0.000000
2304,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.926482,1.249362,0.998395,30.841713,219.318850,99.926482,1.249362,0.114321,0.090424,0.000000,0.000000,0.000000,0.000000,20.342971,273.927773,219.318850,30.841713,0.000000,65.804272,100.000000,100.000000,47.365596,0.000000,30.841713,0.000000,0.000000,100.000000,0.000000,1.392159,6370.000000,32.989686,0.000000,0.000000,1.200000,1.074360,1.000000,1.000000,0,0,573308928,25664170,23887872,165888,0,5,0,63025071,828772,95576226,663570,0.000000,0.000000,1480.402236,66.270195,30.849698,219.324799,0.000000,1.691406,99.968603,37185072,36163584,645775121,525699072,24461180928,0,0,12230590464,0,0,0,0,0,3.508525,10.394762,5.994842,0.000000,12.772874,0.117056,"High (8)","Low (1)","Idle (0)","Low (2)","Low (1)","High (8)","Low (2)","Low (1)","Idle (0)",1056706560,1177453946,1116074554,0.000000,0,0.000000,0.000000,0.000000,0.000000,12230590464,0,3524788224,0,382205952,16822370304,844038144,0,0.000000,0,0.000000,95551488,663552,0,219.318850,0,12666125,4.088319,45.776067,0.000624,7.526131,0.000000,1.123698,20.311553,12.754015,0.000000
2560,"Tesla K20c (0)","1","7","matMul(float*, float*, float*, int)",0.000000,0.000000,99.853343,1.249201,0.999151,30.842299,197.390711,99.853343,1.249201,0.114267,0.090472,0.000000,0.000000,0.000000,0.000000,20.913466,246.737665,197.390711,30.842299,0.000000,65.806365,100.000000,100.000000,45.802048,0.000000,30.842299,0.000000,0.000000,100.000000,0.000000,1.391804,7074.000000,32.985214,0.000000,0.000000,1.200000,1.073562,1.000000,1.000000,0,0,786432000,35178494,32768000,204800,0,6,0,88876963,1023997,131113819,819214,0.000000,0.000000,1480.430334,66.222267,30.852139,197.394084,0.000000,1.479492,99.971727,50899312,49561600,885717978,721100800,33554432000,0,0,16777216000,0,0,0,0,0,3.507131,10.378773,6.039323,0.000000,12.905974,0.116173,"High (8)","Low (1)","Idle (0)","Low (2)","Low (1)","High (8)","Low (2)","Low (1)","Idle (0)",1448755200,1614300130,1530331298,0.000000,0,0.000000,0.000000,0.000000,0.000000,16777216000,0,4823449600,0,524288000,23075225600,1146880000,0,0.000000,0,0.000000,131072000,819200,0,197.390711,0,21494248,5.057770,45.689477,0.000458,7.522676,0.000000,1.121258,20.241433,12.729077,0.000000
