32768,"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
32768,6.319399,3.616000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [448]"
32768,6.319409,3.552000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [454]"
32768,6.319419,3.520000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [460]"
32768,6.319429,3.488000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [466]"
32768,6.319440,3.552000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [472]"
32768,6.319449,3.585000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [478]"
32768,6.319462,3.616000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [484]"
32768,6.319472,3.392000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [490]"
32768,6.319483,3.392000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [496]"
32768,6.319493,3.456000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [502]"
32768,6.319503,3.488000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [508]"
32768,6.319513,3.552000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [514]"
32768,6.319523,3.552000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [520]"
32768,6.319533,3.520000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [526]"
32768,6.319543,3.009000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [532]"
32768,6.319553,3.424000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [538]"
32768,6.319563,3.456000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [544]"
32768,6.319575,3.488000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [550]"
32768,6.319585,3.488000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [556]"
32768,6.319595,3.584000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [562]"
32768,6.319605,3.552000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [568]"
32768,6.319615,3.488000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [574]"
32768,6.319625,3.008000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [580]"
32768,6.319635,3.008000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [586]"
32768,6.319645,3.424000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [592]"
32768,6.319655,3.424000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [598]"
32768,6.319665,3.456000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [604]"
32768,6.319675,3.488000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [610]"
32768,6.319685,3.584000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [616]"
32768,6.319697,3.552000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [622]"
32768,6.319707,3.520000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [628]"
32768,6.319717,3.008000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [634]"
32768,6.319727,3.072000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [640]"
32768,6.319738,2.976000e-06,256,1,1,128,1,1,8,0,0,,,"Tesla K20c (0)","2","14","Bitonic_Sort(int*, int, int, int) [646]"
